s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.9311162E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9311162E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-1.3154220E-005,-1.6566881E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7882303E-004, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-1.0496279E-005,-1.4150704E-004, 1.1836117E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3931125E-005,-1.5200214E-004, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-1.0496233E-005,-4.2998939E-005, 2.1380661E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1561527E-005,-5.3493033E-005, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-8.5588401E-006, 3.2356616E-005, 3.1062307E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1842378E-005, 2.3800882E-005, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-8.5587995E-006, 5.2168197E-005, 3.9100792E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0099564E-005, 4.3613307E-005, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-7.3365927E-006, 3.3297200E-005, 4.7235578E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0304795E-005, 2.5965331E-005, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-7.3365554E-006, 6.2457481E-006, 5.4525935E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2722820E-006,-1.0853547E-006, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-6.9178217E-006,-9.5644454E-006, 6.1927326E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4983119E-006,-1.6476074E-005, 0.0000000E+000, 0.0000000E+000
