s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7107236E-003, 4.3289943E-003, 2.2638514E+000, 2.9454004E-003, 2.0000000E+000, 1.2100000E+002, 7.9957444E-001, 6.8355774E-009
 4.0000000E-003, 7.4235306E-003, 8.6582122E-003, 2.2667843E+000, 2.7231868E-003, 1.0000000E+000, 1.2000000E+002, 7.9962727E-001, 8.1871301E-009
 6.0000000E-003, 1.1136201E-002, 1.2986564E-002, 2.2668602E+000, 1.5678595E-003, 1.0000000E+000, 1.1900000E+002, 8.0006077E-001, 5.7769738E-009
 8.0000000E-003, 1.4849183E-002, 1.7315697E-002, 2.2669646E+000, 1.7874644E-004, 1.0000000E+000, 1.1500000E+002, 8.0533987E-001, 5.3938263E-009
 1.0000000E-002, 1.8561893E-002, 2.1645308E-002, 2.2670874E+000, 8.7777195E-004, 1.0000000E+000, 1.1800000E+002, 8.0511137E-001, 9.2460583E-009
 1.2000000E-002, 2.2274697E-002, 2.5975931E-002, 2.2672181E+000, 9.2449478E-004, 1.0000000E+000, 1.1800000E+002, 8.0419846E-001, 8.2196476E-009
 1.4000000E-002, 2.5987339E-002, 3.0306868E-002, 2.2673512E+000, 4.5412046E-004, 1.0000000E+000, 1.1500000E+002, 8.0219062E-001, 6.6274855E-009
 1.6000000E-002, 2.9700035E-002, 3.4638184E-002, 2.2674866E+000, 1.4726953E-004, 1.0000000E+000, 1.1400000E+002, 8.0410916E-001, 8.2995643E-009
 1.8000000E-002, 3.3412731E-002, 3.8969585E-002, 2.2676271E+000, 4.4010582E-004, 1.0000000E+000, 1.1600000E+002, 8.0314132E-001, 6.7646964E-009
 2.0000000E-002, 3.7125655E-002, 4.3301431E-002, 2.2677763E+000, 4.5337703E-004, 1.0000000E+000, 1.1500000E+002, 8.0355630E-001, 9.6840556E-009
 2.2000000E-002, 4.0838394E-002, 4.7633270E-002, 2.2679364E+000, 3.2383691E-004, 1.0000000E+000, 1.1400000E+002, 8.0114116E-001, 8.4756797E-009
 2.4000000E-002, 4.4551251E-002, 5.1965598E-002, 2.2681081E+000, 2.0490027E-004, 1.0000000E+000, 1.1400000E+002, 7.9817754E-001, 5.8858548E-009
 2.6000000E-002, 4.8263960E-002, 5.6298167E-002, 2.2682911E+000, 1.7915509E-004, 1.0000000E+000, 1.1400000E+002, 7.9893455E-001, 7.2280256E-009
 2.8000000E-002, 5.1976704E-002, 6.0631227E-002, 2.2684850E+000, 2.4838667E-004, 1.0000000E+000, 1.1400000E+002, 7.9803881E-001, 7.0267289E-009
 3.0000000E-002, 5.5689351E-002, 6.4964611E-002, 2.2686897E+000, 3.7040174E-004, 1.0000000E+000, 1.1400000E+002, 7.9792377E-001, 7.6669895E-009
 3.2000000E-002, 5.9401993E-002, 6.9298459E-002, 2.2689056E+000, 5.0082333E-004, 1.0000000E+000, 1.1400000E+002, 7.9848687E-001, 9.2250000E-009
 3.4000000E-002, 6.3114561E-002, 7.3632679E-002, 2.2691335E+000, 6.1651399E-004, 1.0000000E+000, 1.1500000E+002, 7.9687661E-001, 6.4386388E-009
 3.6000000E-002, 6.6827100E-002, 7.7967361E-002, 2.2693743E+000, 7.1713383E-004, 1.0000000E+000, 1.1500000E+002, 7.9686863E-001, 7.0281912E-009
 3.8000000E-002, 7.0539561E-002, 8.2302544E-002, 2.2696288E+000, 8.1453172E-004, 1.0000000E+000, 1.1500000E+002, 7.9702681E-001, 7.8120206E-009
 4.0000000E-002, 7.4251992E-002, 8.6638321E-002, 2.2698976E+000, 9.2076616E-004, 1.0000000E+000, 1.1500000E+002, 7.9643612E-001, 7.7732607E-009
 4.2000000E-002, 7.7964310E-002, 9.0974660E-002, 2.2701813E+000, 1.0414175E-003, 1.0000000E+000, 1.1500000E+002, 7.9640588E-001, 8.3786182E-009
 4.4000000E-002, 8.1676584E-002, 9.5311701E-002, 2.2704803E+000, 1.1748838E-003, 1.0000000E+000, 1.1500000E+002, 7.9644035E-001, 9.1094555E-009
 4.6000000E-002, 8.5388725E-002, 9.9649403E-002, 2.2707953E+000, 1.3152559E-003, 1.0000000E+000, 1.1500000E+002, 7.9643460E-001, 9.8334442E-009
 4.8000000E-002, 8.9100782E-002, 1.0398789E-001, 2.2711268E+000, 1.4556940E-003, 1.0000000E+000, 1.1700000E+002, 7.9747141E-001, 7.8290810E-009
 5.0000000E-002, 9.2812713E-002, 1.0832718E-001, 2.2714753E+000, 1.5903249E-003, 1.0000000E+000, 1.1700000E+002, 7.9732699E-001, 8.2378147E-009
 5.2000000E-002, 9.6165346E-002, 1.1224807E-001, 2.0525527E+000, 1.4990039E-003, 1.0000000E+000, 1.1900000E+002, 7.9917954E-001, 7.3660154E-009
 5.4000000E-002, 9.9517806E-002, 1.1617027E-001, 2.0529274E+000, 1.2401715E-003, 1.0000000E+000, 1.1800000E+002, 7.9742015E-001, 7.0290638E-009
 5.6000000E-002, 1.0287012E-001, 1.2009370E-001, 2.0533061E+000, 1.4093520E-003, 1.0000000E+000, 1.1500000E+002, 7.9343622E-001, 7.9744915E-009
 5.8000000E-002, 1.0622227E-001, 1.2401812E-001, 2.0536927E+000, 1.4729143E-003, 1.0000000E+000, 1.1700000E+002, 7.9704055E-001, 8.7985513E-009
 6.0000000E-002, 1.0957432E-001, 1.2794350E-001, 2.0540897E+000, 2.0425004E-003, 1.0000000E+000, 1.1800000E+002, 7.9696445E-001, 7.9240662E-009
 6.2000000E-002, 1.1292627E-001, 1.3186982E-001, 2.0544966E+000, 1.8622290E-003, 1.0000000E+000, 1.1800000E+002, 7.9601252E-001, 7.0423698E-009
 6.4000000E-002, 1.1627812E-001, 1.3579727E-001, 2.0549203E+000, 1.9969363E-003, 1.0000000E+000, 1.1700000E+002, 7.9547281E-001, 8.6938205E-009
 6.6000000E-002, 1.1962983E-001, 1.3972586E-001, 2.0553545E+000, 1.5675873E-003, 1.0000000E+000, 1.1700000E+002, 7.9603806E-001, 9.3480413E-009
 6.8000000E-002, 1.2298145E-001, 1.4365566E-001, 2.0557988E+000, 1.6026296E-003, 1.0000000E+000, 1.1700000E+002, 7.9612771E-001, 9.8800554E-009
 7.0000000E-002, 1.2633295E-001, 1.4758663E-001, 2.0562497E+000, 1.5805231E-003, 1.0000000E+000, 1.1800000E+002, 7.9472207E-001, 6.5226859E-009
 7.2000000E-002, 1.2968438E-001, 1.5151877E-001, 2.0567049E+000, 1.4542229E-003, 1.0000000E+000, 1.1800000E+002, 7.9449929E-001, 6.3620322E-009
 7.4000000E-002, 1.3303572E-001, 1.5545197E-001, 2.0571629E+000, 1.2780323E-003, 1.0000000E+000, 1.1800000E+002, 7.9436132E-001, 6.2615684E-009
 7.6000000E-002, 1.3638704E-001, 1.5938623E-001, 2.0576222E+000, 1.1571528E-003, 1.0000000E+000, 1.1800000E+002, 7.9430701E-001, 6.2268485E-009
 7.8000000E-002, 1.3973832E-001, 1.6332149E-001, 2.0580820E+000, 1.1198334E-003, 1.0000000E+000, 1.1800000E+002, 7.9445527E-001, 6.3698697E-009
 8.0000000E-002, 1.4308960E-001, 1.6725774E-001, 2.0585419E+000, 1.0929546E-003, 1.0000000E+000, 1.1800000E+002, 7.9425836E-001, 6.1883639E-009
 8.2000000E-002, 1.4644089E-001, 1.7119492E-001, 2.0590020E+000, 1.0804818E-003, 1.0000000E+000, 1.1800000E+002, 7.9404685E-001, 6.0120022E-009
 8.4000000E-002, 1.4979220E-001, 1.7513304E-001, 2.0594629E+000, 1.0842016E-003, 1.0000000E+000, 1.1800000E+002, 7.9394590E-001, 5.9686840E-009
 8.5797095E-002, 1.5280841E-001, 1.7867809E-001, 2.0633799E+000, 7.6610405E-004, 1.0000000E+000, 1.1700000E+002, 7.9590128E-001, 9.1270215E-009
 8.7594191E-002, 1.5582464E-001, 1.8222392E-001, 2.0638042E+000, 8.8142756E-004, 1.0000000E+000, 1.1700000E+002, 7.9537983E-001, 8.6584044E-009
 8.9391286E-002, 1.5884089E-001, 1.8577056E-001, 2.0642351E+000, 9.7665612E-004, 1.0000000E+000, 1.1700000E+002, 7.9567759E-001, 9.3762292E-009
 9.1188381E-002, 1.6185715E-001, 1.8931809E-001, 2.0646747E+000, 1.0348203E-003, 1.0000000E+000, 1.1800000E+002, 7.9426686E-001, 6.3196831E-009
 9.2985476E-002, 1.6487340E-001, 1.9286654E-001, 2.0651257E+000, 1.0840370E-003, 1.0000000E+000, 1.1800000E+002, 7.9455294E-001, 6.9412488E-009
 9.4782572E-002, 1.6788963E-001, 1.9641602E-001, 2.0655908E+000, 1.1360236E-003, 1.0000000E+000, 1.1800000E+002, 7.9448477E-001, 7.2728456E-009
 9.6380722E-002, 1.7057066E-001, 1.9957209E-001, 2.0652949E+000, 9.5059686E-004, 1.0000000E+000, 1.1600000E+002, 7.9337854E-001, 9.2665872E-009
 9.7978873E-002, 1.7325166E-001, 2.0272914E-001, 2.0657422E+000, 1.1321839E-003, 1.0000000E+000, 1.1700000E+002, 7.9448108E-001, 9.0325636E-009
 9.9577024E-002, 1.7593260E-001, 2.0588725E-001, 2.0662061E+000, 1.3937780E-003, 1.0000000E+000, 1.1800000E+002, 7.9401031E-001, 7.0774104E-009
 1.0117517E-001, 1.7818240E-001, 2.0854329E-001, 1.7374448E+000, 1.2664245E-003, 1.0000000E+000, 1.2000000E+002, 7.9796646E-001, 8.5245599E-009
 1.0277333E-001, 1.8028840E-001, 2.1103333E-001, 1.6281667E+000, 9.0505579E-004, 1.0000000E+000, 1.2000000E+002, 7.9890192E-001, 9.7824516E-009
 1.0437148E-001, 1.8239425E-001, 2.1352509E-001, 1.6286228E+000, 1.1355169E-003, 1.0000000E+000, 1.1800000E+002, 7.9357977E-001, 6.9391843E-009
 1.0596963E-001, 1.8449995E-001, 2.1601821E-001, 1.6290760E+000, 1.5840981E-003, 1.0000000E+000, 1.1800000E+002, 7.9349461E-001, 7.0601058E-009
 1.0756778E-001, 1.8660553E-001, 2.1851254E-001, 1.6295308E+000, 1.5987827E-003, 1.0000000E+000, 1.1900000E+002, 7.9468252E-001, 6.9799821E-009
 1.0900420E-001, 1.8844781E-001, 2.2069684E-001, 1.5874783E+000, 1.4068399E-003, 1.0000000E+000, 1.1800000E+002, 7.9348799E-001, 6.8808083E-009
 1.1044062E-001, 1.9029003E-001, 2.2288220E-001, 1.5879003E+000, 1.4588102E-003, 1.0000000E+000, 1.1700000E+002, 7.9380837E-001, 9.1666409E-009
 1.1187704E-001, 1.9213218E-001, 2.2506866E-001, 1.5883259E+000, 1.3600493E-003, 1.0000000E+000, 1.1800000E+002, 7.9325325E-001, 6.7165407E-009
 1.1331346E-001, 1.9423767E-001, 2.2756376E-001, 1.8126136E+000, 1.6302850E-003, 1.0000000E+000, 1.2000000E+002, 7.9770854E-001, 8.5714676E-009
 1.1474988E-001, 1.9607964E-001, 2.2975207E-001, 1.5892001E+000, 1.3676221E-003, 1.0000000E+000, 1.2000000E+002, 7.9838315E-001, 9.5712808E-009
 1.1618631E-001, 1.9792155E-001, 2.3194156E-001, 1.5896342E+000, 1.0658536E-003, 1.0000000E+000, 1.1500000E+002, 7.9107534E-001, 9.9605134E-009
 1.1762273E-001, 1.9976340E-001, 2.3413215E-001, 1.5900583E+000, 9.4091968E-004, 1.0000000E+000, 1.1700000E+002, 7.9320319E-001, 8.4107458E-009
 1.1905915E-001, 2.0160519E-001, 2.3632369E-001, 1.5904718E+000, 8.9332900E-004, 1.0000000E+000, 1.1500000E+002, 7.8963073E-001, 7.9597021E-009
 1.2049557E-001, 2.0344696E-001, 2.3851601E-001, 1.5908736E+000, 9.0108481E-004, 1.0000000E+000, 1.1700000E+002, 7.9388559E-001, 9.3958793E-009
 1.2193199E-001, 2.0555216E-001, 2.4101655E-001, 1.8151170E+000, 1.2618656E-003, 1.0000000E+000, 1.2000000E+002, 7.9672808E-001, 7.5425543E-009
 1.2336841E-001, 2.0739396E-001, 2.4320987E-001, 1.5916695E+000, 1.0642508E-003, 1.0000000E+000, 1.2000000E+002, 7.9819027E-001, 9.5018464E-009
 1.2466004E-001, 2.0897260E-001, 2.4509222E-001, 1.5188702E+000, 5.0948556E-004, 1.0000000E+000, 1.1900000E+002, 7.9526703E-001, 6.8286795E-009
 1.2595168E-001, 2.1081467E-001, 2.4728280E-001, 1.7681587E+000, 5.4331790E-004, 1.0000000E+000, 1.2000000E+002, 7.9898216E-001, 9.8836419E-009
 1.2724331E-001, 2.1239331E-001, 2.4916612E-001, 1.5195406E+000, 5.3621348E-004, 1.0000000E+000, 1.2000000E+002, 7.9838941E-001, 9.0802032E-009
 1.2853494E-001, 2.1423542E-001, 2.5135759E-001, 1.7688197E+000, 5.6642194E-004, 1.0000000E+000, 1.2000000E+002, 7.9791069E-001, 8.7565022E-009
 1.2982657E-001, 2.1581411E-001, 2.5324175E-001, 1.5201985E+000, 6.3007945E-004, 1.0000000E+000, 1.2000000E+002, 7.9752735E-001, 8.3636042E-009
 1.3111821E-001, 2.1765629E-001, 2.5543407E-001, 1.7694736E+000, 5.5180370E-004, 1.0000000E+000, 1.2000000E+002, 7.9754918E-001, 8.7091711E-009
 1.3240984E-001, 2.1923504E-001, 2.5731914E-001, 1.5208591E+000, 5.4086786E-004, 1.0000000E+000, 1.2000000E+002, 7.9719692E-001, 8.3812443E-009
 1.3370147E-001, 2.2107724E-001, 2.5951245E-001, 1.7701403E+000, 6.4911763E-004, 1.0000000E+000, 1.2000000E+002, 7.9743621E-001, 9.0346676E-009
 1.3499310E-001, 2.2265600E-001, 2.6139862E-001, 1.5215425E+000, 5.2964255E-004, 1.0000000E+000, 1.2000000E+002, 7.9687032E-001, 8.4320411E-009
 1.3628473E-001, 2.2423475E-001, 2.6328562E-001, 1.5218904E+000, 5.0509349E-004, 1.0000000E+000, 1.1800000E+002, 7.9164372E-001, 6.2132513E-009
