Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 4.771E+01, 1.862E+00, 6.177E-01, 2.193E+00, 1.319E+00, 1.383E+00, 1.256E+01, 0.000E+00, 6.698E-01, 0.000E+00, 1.615E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    1, 4.819E+01, 1.311E+00, 5.195E-01, 1.812E+00, 9.152E-01, 9.167E-01, 1.333E+01, 0.000E+00, 6.596E-01, 0.000E+00, 1.682E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    2, 4.766E+01, 1.890E+00, 6.290E-01, 2.179E+00, 1.389E+00, 1.462E+00, 1.148E+01, 0.000E+00, 6.588E-01, 0.000E+00, 1.712E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    3, 4.819E+01, 1.427E+00, 5.261E-01, 1.755E+00, 9.456E-01, 1.051E+00, 1.174E+01, 0.000E+00, 6.418E-01, 0.000E+00, 1.820E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    4, 4.778E+01, 1.918E+00, 6.379E-01, 2.087E+00, 1.363E+00, 1.543E+00, 1.156E+01, 0.000E+00, 6.631E-01, 0.000E+00, 1.692E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    5, 4.828E+01, 1.442E+00, 5.290E-01, 1.737E+00, 9.516E-01, 1.151E+00, 1.274E+01, 0.000E+00, 6.518E-01, 0.000E+00, 1.699E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    6, 4.766E+01, 1.973E+00, 6.327E-01, 2.190E+00, 1.377E+00, 1.564E+00, 1.118E+01, 0.000E+00, 6.862E-01, 0.000E+00, 1.721E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    7, 4.823E+01, 1.384E+00, 5.154E-01, 1.768E+00, 9.075E-01, 1.092E+00, 1.123E+01, 0.000E+00, 6.484E-01, 0.000E+00, 1.869E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    8, 4.777E+01, 1.866E+00, 6.351E-01, 2.127E+00, 1.348E+00, 1.482E+00, 1.306E+01, 0.000E+00, 6.700E-01, 0.000E+00, 1.552E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
    9, 4.827E+01, 1.443E+00, 5.231E-01, 1.728E+00, 8.986E-01, 1.108E+00, 1.164E+01, 0.000E+00, 6.504E-01, 0.000E+00, 1.821E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
   10, 4.777E+01, 1.954E+00, 6.513E-01, 2.094E+00, 1.369E+00, 1.557E+00, 1.251E+01, 0.000E+00, 6.906E-01, 0.000E+00, 1.587E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
   11, 4.824E+01, 1.402E+00, 5.133E-01, 1.741E+00, 9.246E-01, 1.108E+00, 1.187E+01, 0.000E+00, 6.499E-01, 0.000E+00, 1.802E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
   12, 4.782E+01, 1.855E+00, 6.406E-01, 2.059E+00, 1.340E+00, 1.451E+00, 1.126E+01, 0.000E+00, 6.820E-01, 0.000E+00, 1.736E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
   13, 4.828E+01, 1.269E+00, 5.187E-01, 1.721E+00, 9.175E-01, 9.396E-01, 1.172E+01, 0.000E+00, 6.564E-01, 0.000E+00, 1.845E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
   14, 4.785E+01, 1.911E+00, 6.322E-01, 2.067E+00, 1.312E+00, 1.514E+00, 1.268E+01, 0.000E+00, 6.718E-01, 0.000E+00, 1.584E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
   15, 4.779E+01, 1.926E+00, 6.342E-01, 2.094E+00, 1.296E+00, 1.498E+00, 1.230E+01, 0.000E+00, 6.792E-01, 0.000E+00, 1.626E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.447E+01
