Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 4.133E-01, 2.085E+00, 6.598E-01, 1.727E+00, 2.886E+00, 1.555E+00, 5.957E+00, 0.000E+00, 6.920E-01, 0.000E+00, 1.997E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.594E+01
    1, 3.411E-01, 1.208E+00, 4.925E-01, 1.395E+00, 2.825E+00, 8.198E-01, 5.477E+00, 0.000E+00, 6.475E-01, 0.000E+00, 2.274E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    2, 4.256E-01, 2.163E+00, 6.723E-01, 1.779E+00, 2.854E+00, 1.641E+00, 9.254E+00, 0.000E+00, 7.274E-01, 0.000E+00, 1.643E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    3, 3.440E-01, 1.177E+00, 4.948E-01, 1.399E+00, 2.819E+00, 8.260E-01, 5.397E+00, 0.000E+00, 6.404E-01, 0.000E+00, 2.285E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    4, 3.851E-01, 2.104E+00, 6.811E-01, 1.698E+00, 2.866E+00, 1.648E+00, 5.393E+00, 0.000E+00, 6.992E-01, 0.000E+00, 2.048E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    5, 3.396E-01, 1.263E+00, 5.128E-01, 1.400E+00, 2.827E+00, 9.180E-01, 5.320E+00, 0.000E+00, 6.591E-01, 0.000E+00, 2.271E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    6, 3.928E-01, 2.136E+00, 6.841E-01, 1.684E+00, 2.873E+00, 1.661E+00, 5.862E+00, 0.000E+00, 7.029E-01, 0.000E+00, 1.995E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    7, 3.372E-01, 1.170E+00, 5.070E-01, 1.391E+00, 2.829E+00, 8.705E-01, 5.489E+00, 0.000E+00, 6.502E-01, 0.000E+00, 2.271E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    8, 3.897E-01, 2.047E+00, 6.587E-01, 1.702E+00, 2.883E+00, 1.607E+00, 5.073E+00, 0.000E+00, 6.994E-01, 0.000E+00, 2.089E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
    9, 3.515E-01, 1.256E+00, 5.126E-01, 1.437E+00, 2.845E+00, 8.778E-01, 7.813E+00, 0.000E+00, 6.820E-01, 0.000E+00, 2.017E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
   10, 3.902E-01, 2.017E+00, 6.754E-01, 1.674E+00, 2.878E+00, 1.611E+00, 5.266E+00, 0.000E+00, 6.905E-01, 0.000E+00, 2.075E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
   11, 3.559E-01, 1.256E+00, 5.029E-01, 1.483E+00, 2.854E+00, 8.738E-01, 8.800E+00, 0.000E+00, 6.946E-01, 0.000E+00, 1.913E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
   12, 3.886E-01, 2.079E+00, 6.805E-01, 1.687E+00, 2.881E+00, 1.632E+00, 4.768E+00, 0.000E+00, 6.897E-01, 0.000E+00, 2.114E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
   13, 3.847E-01, 2.091E+00, 6.770E-01, 1.692E+00, 2.893E+00, 1.696E+00, 5.202E+00, 0.000E+00, 6.888E-01, 0.000E+00, 2.062E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
   14, 4.144E-01, 2.117E+00, 6.732E-01, 1.749E+00, 2.891E+00, 1.604E+00, 8.497E+00, 0.000E+00, 7.404E-01, 0.000E+00, 1.726E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
   15, 4.061E-01, 2.135E+00, 6.781E-01, 1.733E+00, 2.893E+00, 1.608E+00, 6.056E+00, 0.000E+00, 7.196E-01, 0.000E+00, 1.972E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.595E+01
