s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7109820E-003, 4.3267976E-003, 2.2637748E+000, 5.9847960E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-003, 7.4238048E-003, 8.6563152E-003, 2.2668035E+000, 6.0715322E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.1136349E-002, 1.2985720E-002, 2.2668962E+000, 6.2450045E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-003, 1.4849183E-002, 1.7315794E-002, 2.2669969E+000, 6.2450045E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-002, 1.8561811E-002, 2.1645831E-002, 2.2671057E+000, 6.2450045E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 2.2274615E-002, 2.5976401E-002, 2.2672227E+000, 6.2450045E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 2.5987302E-002, 3.0307059E-002, 2.2673481E+000, 6.2450045E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-002, 2.9700044E-002, 3.4638115E-002, 2.2674821E+000, 6.2450045E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-002, 3.3412762E-002, 3.8969397E-002, 2.2676251E+000, 6.2450045E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 3.7125685E-002, 4.3301260E-002, 2.2677772E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 4.0838409E-002, 4.7633184E-002, 2.2679388E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 4.4551250E-002, 5.1965593E-002, 2.2681104E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000000E-002, 4.8263950E-002, 5.6298201E-002, 2.2682923E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-002, 5.1976692E-002, 6.0631258E-002, 2.2684850E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-002, 5.5689341E-002, 6.4964617E-002, 2.2686890E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000000E-002, 5.9401986E-002, 6.9298441E-002, 2.2689047E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000000E-002, 6.3114554E-002, 7.3632649E-002, 2.2691328E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E-002, 6.6827090E-002, 7.7967331E-002, 2.2693739E+000, 6.9388939E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000000E-002, 7.0539548E-002, 8.2302521E-002, 2.2696284E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-002, 7.4251974E-002, 8.6638304E-002, 2.2698971E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000000E-002, 7.7964289E-002, 9.0974645E-002, 2.2701806E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 8.1676560E-002, 9.5311685E-002, 2.2704795E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 8.5388698E-002, 9.9649384E-002, 2.2707944E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 8.9100754E-002, 1.0398786E-001, 2.2711258E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-002, 9.2812683E-002, 1.0832716E-001, 2.2714742E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2000000E-002, 9.6165280E-002, 1.1224849E-001, 2.0525718E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4000000E-002, 9.9517718E-002, 1.1617067E-001, 2.0529317E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6000000E-002, 1.0287006E-001, 1.2009385E-001, 2.0533024E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8000000E-002, 1.0622225E-001, 1.2401803E-001, 2.0536876E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-002, 1.0957434E-001, 1.2794329E-001, 2.0540867E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2000000E-002, 1.1292628E-001, 1.3186964E-001, 2.0544987E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4000000E-002, 1.1627812E-001, 1.3579714E-001, 2.0549224E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 1.1962983E-001, 1.3972579E-001, 2.0553564E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8000000E-002, 1.2298145E-001, 1.4365560E-001, 2.0557991E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 1.2633296E-001, 1.4758655E-001, 2.0562486E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2000000E-002, 1.2968440E-001, 1.5151865E-001, 2.0567030E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4000000E-002, 1.3303577E-001, 1.5545182E-001, 2.0571606E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E-002, 1.3638709E-001, 1.5938608E-001, 2.0576199E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E-002, 1.3973838E-001, 1.6332134E-001, 2.0580798E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-002, 1.4308967E-001, 1.6725759E-001, 2.0585396E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2000000E-002, 1.4644095E-001, 1.7119478E-001, 2.0589995E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4000000E-002, 1.4979226E-001, 1.7513292E-001, 2.0594603E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5797096E-002, 1.5280845E-001, 1.7867800E-001, 2.0633781E+000, 8.3266727E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.7594192E-002, 1.5582467E-001, 1.8222386E-001, 2.0638023E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.9391287E-002, 1.5884089E-001, 1.8577052E-001, 2.0642330E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1188383E-002, 1.6185713E-001, 1.8931806E-001, 2.0646725E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2985479E-002, 1.6487336E-001, 1.9286653E-001, 2.0651236E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4782575E-002, 1.6788958E-001, 1.9641603E-001, 2.0655890E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.6380725E-002, 1.7057062E-001, 1.9957211E-001, 2.0652947E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.7978876E-002, 1.7325161E-001, 2.0272917E-001, 2.0657422E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9577026E-002, 1.7593254E-001, 2.0588729E-001, 2.0662061E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0117518E-001, 1.7818228E-001, 2.0854387E-001, 1.7374754E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0277333E-001, 1.8028824E-001, 2.1103408E-001, 1.6281853E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0437148E-001, 1.8239410E-001, 2.1352553E-001, 1.6286222E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596963E-001, 1.8449987E-001, 2.1601827E-001, 1.6290696E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0756778E-001, 1.8660552E-001, 2.1851235E-001, 1.6295281E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0900420E-001, 1.8844783E-001, 2.2069668E-001, 1.5874863E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1044062E-001, 1.9029005E-001, 2.2288211E-001, 1.5879071E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1187704E-001, 1.9213218E-001, 2.2506862E-001, 1.5883305E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1331346E-001, 1.9423769E-001, 2.2756340E-001, 1.8125951E+000, 2.2204460E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1474989E-001, 1.9607966E-001, 2.2975203E-001, 1.5892156E+000, 2.2204460E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1618631E-001, 1.9792157E-001, 2.3194165E-001, 1.5896415E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1762273E-001, 1.9976343E-001, 2.3413220E-001, 1.5900582E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1905915E-001, 2.0160525E-001, 2.3632362E-001, 1.5904679E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2049557E-001, 2.0344705E-001, 2.3851585E-001, 1.5908691E+000, 2.2204460E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2193199E-001, 2.0555230E-001, 2.4101601E-001, 1.8150925E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2336841E-001, 2.0739408E-001, 2.4320967E-001, 1.5916820E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2466005E-001, 2.0897267E-001, 2.4509231E-001, 1.5188819E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2595168E-001, 2.1081474E-001, 2.4728260E-001, 1.7681369E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2724331E-001, 2.1239337E-001, 2.4916616E-001, 1.5195522E+000, 2.2204460E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2853494E-001, 2.1423549E-001, 2.5135734E-001, 1.7687988E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2982658E-001, 2.1581418E-001, 2.5324177E-001, 1.5202117E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3111821E-001, 2.1765634E-001, 2.5543384E-001, 1.7694544E+000, 5.5511151E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3240984E-001, 2.1923507E-001, 2.5731921E-001, 1.5208737E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3370147E-001, 2.2107726E-001, 2.5951228E-001, 1.7701221E+000, 2.2204460E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3499311E-001, 2.2265600E-001, 2.6139874E-001, 1.5215576E+000, 1.1102230E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3628474E-001, 2.2423472E-001, 2.6328582E-001, 1.5218957E+000, 2.2204460E-016, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
