s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.9311162E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9311162E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-1.3154220E-005,-2.2833068E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3382550E-005, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-1.0496279E-005,-1.8679557E-007, 1.1892628E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4026211E-005,-1.0681885E-005, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-1.0496232E-005,-1.9048368E-007, 2.1433787E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1556606E-005,-1.0684573E-005, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-8.5588400E-006,-1.6100675E-007, 3.1083995E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1790304E-005,-8.7167383E-006, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-8.5587995E-006,-1.6444674E-007, 3.9094816E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0053578E-005,-8.7193368E-006, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-7.3365928E-006,-1.4691563E-007, 4.7218953E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0287191E-005,-7.4787866E-006, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-7.3365555E-006,-1.5014699E-007, 5.4512446E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2777394E-006,-7.4812513E-006, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-6.9178217E-006,-1.4612328E-007, 6.1921426E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5112359E-006,-7.0577528E-006, 0.0000000E+000, 0.0000000E+000
