,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-20T15:37:08.946+01:00,   0.200E-02,   0.00200
      2,2020-02-20T15:37:09.027+01:00,   0.200E-02,   0.00400
      3,2020-02-20T15:37:09.127+01:00,   0.200E-02,   0.00600
      4,2020-02-20T15:37:09.210+01:00,   0.200E-02,   0.00800
      5,2020-02-20T15:37:09.291+01:00,   0.200E-02,   0.01000
      6,2020-02-20T15:37:09.374+01:00,   0.200E-02,   0.01200
      7,2020-02-20T15:37:09.495+01:00,   0.200E-02,   0.01400
      8,2020-02-20T15:37:09.604+01:00,   0.200E-02,   0.01600
      9,2020-02-20T15:37:09.686+01:00,   0.200E-02,   0.01800
     10,2020-02-20T15:37:09.770+01:00,   0.200E-02,   0.02000
     20,2020-02-20T15:37:10.688+01:00,   0.200E-02,   0.04000
     30,2020-02-20T15:37:11.594+01:00,   0.200E-02,   0.06000
     40,2020-02-20T15:37:12.499+01:00,   0.200E-02,   0.08000
     50,2020-02-20T15:37:13.506+01:00,   0.160E-02,   0.09798
     60,2020-02-20T15:37:14.561+01:00,   0.144E-02,   0.11331
     70,2020-02-20T15:37:15.740+01:00,   0.129E-02,   0.12724
     80,2020-02-20T15:37:16.659+01:00,   0.129E-02,   0.14016
     90,2020-02-20T15:37:17.891+01:00,   0.116E-02,   0.15185
    100,2020-02-20T15:37:19.113+01:00,   0.116E-02,   0.16341
    200,2020-02-20T15:37:36.610+01:00,   0.933E-03,   0.26072
    300,2020-02-20T15:37:51.562+01:00,   0.750E-03,   0.33907
    400,2020-02-20T15:38:07.590+01:00,   0.750E-03,   0.41406
    500,2020-02-20T15:38:24.073+01:00,   0.825E-03,   0.49122
    511,2020-02-20T15:38:25.682+01:00,   0.533E-03,   0.50000
