s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003,-9.0288377E-009, 2.6738146E-005,-2.8872672E-007, 6.2494803E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-003, 1.8730946E-005, 3.0522330E-004, 2.3345173E-003, 1.2475072E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.7237703E-003, 3.0767654E-003, 2.3174882E-001, 1.2140116E-002, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-003, 3.6228456E-003, 5.9517332E-003, 2.6487527E-001, 1.1766742E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-002, 6.6832190E-003, 9.3566277E-003, 6.7065279E-001, 1.2364608E-002, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 1.0314703E-002, 1.3289850E-002, 1.4451052E+000, 1.2387565E-002, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 1.4024641E-002, 1.7486982E-002, 2.0090158E+000, 1.2480343E-002, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-002, 1.7796411E-002, 2.1853610E-002, 2.4761341E+000, 1.2413616E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-002, 2.1622743E-002, 2.6337836E-002, 2.7661446E+000, 1.2267213E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 2.5479697E-002, 3.0885429E-002, 2.8871161E+000, 1.2112797E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 2.9353616E-002, 3.5468645E-002, 2.9262348E+000, 1.2097079E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 3.3253992E-002, 4.0090991E-002, 2.9643080E+000, 1.2047368E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000000E-002, 3.7191251E-002, 4.4757291E-002, 3.0011868E+000, 1.1927178E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-002, 4.1175365E-002, 4.9473232E-002, 3.0366839E+000, 1.1727931E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-002, 4.5214948E-002, 5.4244851E-002, 3.0705774E+000, 1.1445307E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000000E-002, 4.9316825E-002, 5.9078013E-002, 3.1026233E+000, 1.1079670E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000000E-002, 5.3485969E-002, 6.3977917E-002, 3.1325737E+000, 1.0635519E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E-002, 5.7725645E-002, 6.8948653E-002, 3.1601947E+000, 1.0120002E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000000E-002, 6.2037582E-002, 7.3992858E-002, 3.1852817E+000, 9.5408762E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-002, 6.6422091E-002, 7.9111451E-002, 3.2076695E+000, 8.9045301E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000000E-002, 7.0878079E-002, 8.4303483E-002, 3.2272367E+000, 8.2230009E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 7.5402976E-002, 8.9566069E-002, 3.2439043E+000, 7.4795506E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 7.9992631E-002, 9.4894425E-002, 3.2576321E+000, 6.6723262E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 8.4641226E-002, 1.0028197E-001, 3.2684126E+000, 5.8103832E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-002, 8.9341268E-002, 1.0572050E-001, 3.2762646E+000, 4.8855116E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2000000E-002, 9.4083689E-002, 1.1119782E-001, 3.2812280E+000, 3.2894081E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4000000E-002, 9.8857443E-002, 1.1669082E-001, 3.2833393E+000, 1.7761600E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6000000E-002, 1.0364843E-001, 1.2218257E-001, 3.2824647E+000, 6.2994803E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8000000E-002, 1.0843975E-001, 1.2765652E-001, 3.2784789E+000, 1.7098319E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-002, 1.1321205E-001, 1.3309686E-001, 3.2712361E+000, 3.2728294E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2000000E-002, 1.1794458E-001, 1.3848884E-001, 3.2605938E+000, 4.7573331E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4000000E-002, 1.2261686E-001, 1.4381914E-001, 3.2464413E+000, 6.1588011E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 1.2721087E-001, 1.4907628E-001, 3.2287263E+000, 7.4655892E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8000000E-002, 1.3171289E-001, 1.5425083E-001, 3.2074715E+000, 8.6600586E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 1.3611474E-001, 1.5933565E-001, 3.1827751E+000, 9.7249061E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2000000E-002, 1.4041374E-001, 1.6432589E-001, 3.1547961E+000, 1.0649519E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4000000E-002, 1.4461169E-001, 1.6921900E-001, 3.1237284E+000, 1.1433239E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E-002, 1.4871330E-001, 1.7401445E-001, 3.0897747E+000, 1.2084962E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E-002, 1.5261241E-001, 1.7859402E-001, 2.9146674E+000, 1.2490572E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-002, 1.5605962E-001, 1.8268796E-001, 2.6587455E+000, 1.2394867E-002, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2000000E-002, 1.5943905E-001, 1.8670844E-001, 2.6199355E+000, 1.2230127E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4000000E-002, 1.6276210E-001, 1.9066570E-001, 2.5799285E+000, 1.2007527E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.6000000E-002, 1.6603967E-001, 1.9456891E-001, 2.5388991E+000, 1.1740047E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.8000000E-002, 1.6928136E-001, 1.9842607E-001, 2.4970565E+000, 1.1454717E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-002, 1.7249456E-001, 2.0224386E-001, 2.4546573E+000, 1.1197955E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2000000E-002, 1.7568412E-001, 2.0602739E-001, 2.4120094E+000, 1.0941765E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4000000E-002, 1.7885244E-001, 2.0978009E-001, 2.3694626E+000, 1.0693788E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.6000000E-002, 1.8200000E-001, 2.1350375E-001, 2.3273909E+000, 1.0469173E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.8000000E-002, 1.8512583E-001, 2.1719851E-001, 2.2861711E+000, 1.0228806E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 1.8822778E-001, 2.2086310E-001, 2.2461655E+000, 9.9679153E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0200000E-001, 1.9130271E-001, 2.2448971E-001, 2.2077091E+000, 1.0828127E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0400000E-001, 1.9434540E-001, 2.2805002E-001, 2.1710656E+000, 1.1670036E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0600000E-001, 1.9728770E-001, 2.3142662E-001, 2.0025402E+000, 1.2394484E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0800000E-001, 1.9991946E-001, 2.3441653E-001, 1.7762212E+000, 1.2416129E-002, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1000000E-001, 2.0245458E-001, 2.3731141E-001, 1.7437321E+000, 1.2282067E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1200000E-001, 2.0487573E-001, 2.4010644E-001, 1.7124379E+000, 1.1992629E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1400000E-001, 2.0717242E-001, 2.4279826E-001, 1.6824107E+000, 1.1554206E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1600000E-001, 2.0934236E-001, 2.4538605E-001, 1.6538002E+000, 1.0973913E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1800000E-001, 2.1139126E-001, 2.4787211E-001, 1.6268251E+000, 1.0258865E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-001, 2.1333140E-001, 2.5026190E-001, 1.6017405E+000, 9.4191102E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2200000E-001, 2.1517941E-001, 2.5256384E-001, 1.5787898E+000, 8.4706272E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2400000E-001, 2.1695388E-001, 2.5478890E-001, 1.5581564E+000, 7.4356224E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2600000E-001, 2.1867314E-001, 2.5695006E-001, 1.5399336E+000, 6.3801919E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2800000E-001, 2.2035389E-001, 2.5906172E-001, 1.5241226E+000, 5.3286833E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 2.2201062E-001, 2.6113901E-001, 1.5106555E+000, 4.2153834E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3200000E-001, 2.2365582E-001, 2.6319716E-001, 1.4994335E+000, 3.0626553E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3400000E-001, 2.2530069E-001, 2.6525089E-001, 1.4903653E+000, 1.8907032E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3600000E-001, 2.2695576E-001, 2.6731401E-001, 1.4833957E+000, 1.4062586E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3800000E-001, 2.2863126E-001, 2.6939898E-001, 1.4785188E+000, 1.3298192E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 2.3033703E-001, 2.7151669E-001, 1.4757757E+000, 1.5872536E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4200000E-001, 2.3208219E-001, 2.7367630E-001, 1.4752419E+000, 2.6495309E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4400000E-001, 2.3387463E-001, 2.7588512E-001, 1.4770098E+000, 3.6622123E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4600000E-001, 2.3572057E-001, 2.7814865E-001, 1.4811711E+000, 4.6116564E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4800000E-001, 2.3762427E-001, 2.8047057E-001, 1.4878020E+000, 5.4819509E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E-001, 2.3958795E-001, 2.8285287E-001, 1.4969541E+000, 6.2615134E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5200000E-001, 2.4161187E-001, 2.8528901E-001, 1.5086493E+000, 5.5566304E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5400000E-001, 2.4369297E-001, 2.8774502E-001, 1.5228303E+000, 5.6364625E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
