,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:04:18.762+01:00,   0.200E-02,   0.00200
      2,2020-02-19T19:04:18.766+01:00,   0.200E-02,   0.00400
      3,2020-02-19T19:04:18.780+01:00,   0.200E-02,   0.00600
      4,2020-02-19T19:04:18.783+01:00,   0.200E-02,   0.00800
      5,2020-02-19T19:04:18.786+01:00,   0.200E-02,   0.01000
      6,2020-02-19T19:04:18.790+01:00,   0.200E-02,   0.01200
      7,2020-02-19T19:04:18.793+01:00,   0.200E-02,   0.01400
      8,2020-02-19T19:04:18.796+01:00,   0.200E-02,   0.01600
      9,2020-02-19T19:04:18.799+01:00,   0.200E-02,   0.01800
     10,2020-02-19T19:04:18.802+01:00,   0.200E-02,   0.02000
     20,2020-02-19T19:04:18.857+01:00,   0.200E-02,   0.04000
     30,2020-02-19T19:04:18.895+01:00,   0.200E-02,   0.06000
     40,2020-02-19T19:04:18.922+01:00,   0.200E-02,   0.08000
     50,2020-02-19T19:04:18.957+01:00,   0.200E-02,   0.10000
     60,2020-02-19T19:04:18.995+01:00,   0.200E-02,   0.12000
     70,2020-02-19T19:04:19.032+01:00,   0.200E-02,   0.14000
     80,2020-02-19T19:04:19.058+01:00,   0.200E-02,   0.16000
     90,2020-02-19T19:04:19.096+01:00,   0.200E-02,   0.18000
    100,2020-02-19T19:04:19.144+01:00,   0.200E-02,   0.20000
    200,2020-02-19T19:04:19.480+01:00,   0.200E-02,   0.40000
    250,2020-02-19T19:04:19.674+01:00,   0.200E-02,   0.50000
