s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7399365E-003, 4.4052161E-003, 2.2656938E+000, 9.9392556E-006, 6.7300000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-003, 7.4893571E-003, 8.8207697E-003, 2.2736829E+000, 9.9628316E-006, 5.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.1238942E-002, 1.3236503E-002, 2.2737341E+000, 9.9320660E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-003, 1.4988615E-002, 1.7652354E-002, 2.2737416E+000, 9.8193330E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-002, 1.8738268E-002, 2.2068241E-002, 2.2737080E+000, 9.8281670E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 2.2487797E-002, 2.6484068E-002, 2.2736382E+000, 9.8987148E-006, 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 2.6237028E-002, 3.0899718E-002, 2.2736011E+000, 9.8337585E-006, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-002, 2.9985871E-002, 3.5315100E-002, 2.2736153E+000, 9.9075350E-006, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-002, 3.3734446E-002, 3.9730254E-002, 2.2737507E+000, 9.8257789E-006, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 3.7482844E-002, 4.4145275E-002, 2.2737689E+000, 9.8608331E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 4.1231191E-002, 4.8560343E-002, 2.2739571E+000, 9.8949545E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 4.4979675E-002, 5.2975595E-002, 2.2741562E+000, 9.9209474E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000000E-002, 4.8728197E-002, 5.7390901E-002, 2.2741566E+000, 9.9053728E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-002, 5.2476528E-002, 6.1806063E-002, 2.2740519E+000, 9.7818890E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-002, 5.6224475E-002, 6.6220900E-002, 2.2740026E+000, 9.7690786E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000000E-002, 5.9971923E-002, 7.0635336E-002, 2.2741713E+000, 9.7841755E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000000E-002, 6.3719072E-002, 7.5049552E-002, 2.2745325E+000, 9.8313908E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E-002, 6.7466203E-002, 7.9463797E-002, 2.2749559E+000, 9.8789601E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000000E-002, 7.1213193E-002, 8.3877921E-002, 2.2748723E+000, 9.8684435E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-002, 7.4959885E-002, 8.8291791E-002, 2.2749233E+000, 9.9108881E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000000E-002, 7.8706261E-002, 9.2705424E-002, 2.2752613E+000, 9.8663363E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 8.2452442E-002, 9.7118896E-002, 2.2755409E+000, 9.8934408E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 8.6198384E-002, 1.0153216E-001, 2.2756964E+000, 9.9441916E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 8.9944058E-002, 1.0594521E-001, 2.2759732E+000, 9.9149705E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-002, 9.3689545E-002, 1.1035810E-001, 2.2762759E+000, 9.9221547E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2000000E-002, 9.7091333E-002, 1.1436463E-001, 2.0734860E+000, 9.9617960E-006, 3.6000000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4000000E-002, 1.0047359E-001, 1.1834988E-001, 2.0566612E+000, 9.9727891E-006, 9.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6000000E-002, 1.0385478E-001, 1.2233376E-001, 2.0553149E+000, 9.8703587E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8000000E-002, 1.0723482E-001, 1.2631633E-001, 2.0541520E+000, 9.6148625E-006, 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-002, 1.1061296E-001, 1.3029694E-001, 2.0531149E+000, 9.6445369E-006, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2000000E-002, 1.1398748E-001, 1.3427425E-001, 2.0528769E+000, 9.9393140E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4000000E-002, 1.1736294E-001, 1.3825262E-001, 2.0555759E+000, 9.9989114E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 1.2074484E-001, 1.4223767E-001, 2.0590533E+000, 9.9657944E-006, 4.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8000000E-002, 1.2412692E-001, 1.4622264E-001, 2.0582737E+000, 9.9487018E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 1.2750812E-001, 1.5020677E-001, 2.0578434E+000, 9.8452420E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2000000E-002, 1.3088867E-001, 1.5419034E-001, 2.0590301E+000, 9.9416196E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4000000E-002, 1.3426972E-001, 1.5817442E-001, 2.0602499E+000, 9.9812268E-006, 1.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E-002, 1.3765109E-001, 1.6215887E-001, 2.0597737E+000, 9.9923338E-006, 2.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E-002, 1.4103268E-001, 1.6614340E-001, 2.0596829E+000, 9.9563567E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-002, 1.4441430E-001, 1.7012792E-001, 2.0604284E+000, 9.8997879E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2000000E-002, 1.4779565E-001, 1.7411220E-001, 2.0606799E+000, 9.9790608E-006, 1.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4000000E-002, 1.5117728E-001, 1.7809681E-001, 2.0619493E+000, 9.9826444E-006, 1.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.6000000E-002, 1.5455930E-001, 1.8208186E-001, 2.0615436E+000, 9.9845811E-006, 2.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.8000000E-002, 1.5794173E-001, 1.8606718E-001, 2.0617266E+000, 9.9668163E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-002, 1.6132418E-001, 1.9005252E-001, 2.0622074E+000, 9.8653796E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2000000E-002, 1.6470671E-001, 1.9403798E-001, 2.0631881E+000, 9.9411509E-006, 1.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4000000E-002, 1.6808964E-001, 1.9802396E-001, 2.0637149E+000, 9.9857456E-006, 2.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.6000000E-002, 1.7147317E-001, 2.0201045E-001, 2.0636406E+000, 9.9881943E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.8000000E-002, 1.7485711E-001, 2.0599736E-001, 2.0643401E+000, 9.9487438E-006, 1.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 1.7824136E-001, 2.0998472E-001, 2.0649300E+000, 9.9750384E-006, 1.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0200000E-001, 1.8092017E-001, 2.1313947E-001, 1.6422052E+000, 9.9369188E-006, 4.5300000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0400000E-001, 1.8358006E-001, 2.1627363E-001, 1.6256303E+000, 9.9619245E-006, 8.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0600000E-001, 1.8623898E-001, 2.1940653E-001, 1.6237299E+000, 9.5168477E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0800000E-001, 1.8889678E-001, 2.2253817E-001, 1.6221598E+000, 8.3350119E-006, 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1000000E-001, 1.9155211E-001, 2.2566751E-001, 1.6210811E+000, 9.7016295E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1200000E-001, 1.9420707E-001, 2.2879698E-001, 1.6237309E+000, 9.9726793E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1400000E-001, 1.9687110E-001, 2.3193608E-001, 1.6290100E+000, 9.9443020E-006, 5.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1600000E-001, 1.9953605E-001, 2.3507599E-001, 1.6279309E+000, 9.9685345E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1800000E-001, 2.0220082E-001, 2.3821596E-001, 1.6277030E+000, 9.9889881E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-001, 2.0486657E-001, 2.4135729E-001, 1.6301004E+000, 9.9547267E-006, 1.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2200000E-001, 2.0753374E-001, 2.4450038E-001, 1.6302301E+000, 9.9977869E-006, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2400000E-001, 2.1020185E-001, 2.4764452E-001, 1.6298301E+000, 9.9796153E-006, 1.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2600000E-001, 2.1287091E-001, 2.5078999E-001, 1.6312459E+000, 9.9278652E-006, 1.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2800000E-001, 2.1554074E-001, 2.5393664E-001, 1.6315174E+000, 9.9983662E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 2.1821188E-001, 2.5708494E-001, 1.6323369E+000, 9.9728189E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3200000E-001, 2.2088398E-001, 2.6023463E-001, 1.6325415E+000, 9.9949483E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3400000E-001, 2.2355727E-001, 2.6338594E-001, 1.6333989E+000, 9.9506669E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3600000E-001, 2.2623154E-001, 2.6653872E-001, 1.6337100E+000, 9.9780205E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3800000E-001, 2.2890704E-001, 2.6969319E-001, 1.6345054E+000, 9.9722600E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 2.3158356E-001, 2.7284926E-001, 1.6349870E+000, 9.9946035E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4200000E-001, 2.3426133E-001, 2.7600710E-001, 1.6356519E+000, 9.9867042E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4400000E-001, 2.3694027E-001, 2.7916671E-001, 1.6362259E+000, 9.9721391E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4600000E-001, 2.3962039E-001, 2.8232808E-001, 1.6368317E+000, 9.9868361E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4800000E-001, 2.4230172E-001, 2.8549132E-001, 1.6375114E+000, 9.9745127E-006, 2.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E-001, 2.4498428E-001, 2.8865641E-001, 1.6380572E+000, 9.9707428E-006, 1.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5200000E-001, 2.4672007E-001, 2.9070523E-001, 1.0690457E+000, 9.9760905E-006, 4.9100000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5400000E-001, 2.4843755E-001, 2.9273469E-001, 1.0526674E+000, 9.9370064E-006, 8.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
