,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-22T18:04:57.928+02:00,   0.200E-02,   0.00200,   1.72966
      2,2020-06-22T18:04:57.951+02:00,   0.200E-02,   0.00400,   1.82302
      3,2020-06-22T18:04:57.966+02:00,   0.200E-02,   0.00600,   1.87299
      4,2020-06-22T18:04:57.969+02:00,   0.200E-02,   0.00800,   1.88696
      5,2020-06-22T18:04:57.972+02:00,   0.200E-02,   0.01000,   1.89958
      6,2020-06-22T18:04:57.975+02:00,   0.200E-02,   0.01200,   1.91216
      7,2020-06-22T18:04:57.979+02:00,   0.200E-02,   0.01400,   1.92514
      8,2020-06-22T18:04:57.982+02:00,   0.200E-02,   0.01600,   1.93899
      9,2020-06-22T18:04:57.986+02:00,   0.200E-02,   0.01800,   1.95333
     10,2020-06-22T18:04:57.989+02:00,   0.200E-02,   0.02000,   1.96777
     20,2020-06-22T18:04:58.042+02:00,   0.200E-02,   0.04000,   2.17063
     30,2020-06-22T18:04:58.178+02:00,   0.200E-02,   0.06000,   2.70522
     40,2020-06-22T18:04:58.237+02:00,   0.200E-02,   0.08000,   2.94075
     50,2020-06-22T18:04:58.309+02:00,   0.200E-02,   0.10000,   3.21986
     60,2020-06-22T18:04:58.477+02:00,   0.200E-02,   0.12000,   3.88851
     70,2020-06-22T18:04:58.554+02:00,   0.200E-02,   0.14000,   4.18713
     80,2020-06-22T18:04:58.712+02:00,   0.200E-02,   0.16000,   4.82029
     90,2020-06-22T18:04:58.795+02:00,   0.200E-02,   0.18000,   5.14255
    100,2020-06-22T18:04:58.880+02:00,   0.200E-02,   0.20000,   5.46590
    200,2020-06-22T18:04:59.832+02:00,   0.200E-02,   0.40000,   9.20174
    250,2020-06-22T18:05:00.264+02:00,   0.200E-02,   0.50000,  10.88878
