,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:04:18.864+01:00,   0.200E-02,   0.00200
      2,2020-02-19T19:04:18.873+01:00,   0.200E-02,   0.00400
      3,2020-02-19T19:04:18.893+01:00,   0.200E-02,   0.00600
      4,2020-02-19T19:04:18.902+01:00,   0.200E-02,   0.00800
      5,2020-02-19T19:04:18.911+01:00,   0.200E-02,   0.01000
      6,2020-02-19T19:04:18.920+01:00,   0.200E-02,   0.01200
      7,2020-02-19T19:04:18.928+01:00,   0.200E-02,   0.01400
      8,2020-02-19T19:04:18.936+01:00,   0.200E-02,   0.01600
      9,2020-02-19T19:04:18.945+01:00,   0.200E-02,   0.01800
     10,2020-02-19T19:04:18.953+01:00,   0.200E-02,   0.02000
     20,2020-02-19T19:04:19.039+01:00,   0.200E-02,   0.04000
     30,2020-02-19T19:04:19.126+01:00,   0.200E-02,   0.06000
     40,2020-02-19T19:04:19.201+01:00,   0.200E-02,   0.08000
     50,2020-02-19T19:04:19.288+01:00,   0.200E-02,   0.10000
     60,2020-02-19T19:04:19.373+01:00,   0.200E-02,   0.12000
     70,2020-02-19T19:04:19.461+01:00,   0.200E-02,   0.14000
     80,2020-02-19T19:04:19.537+01:00,   0.200E-02,   0.16000
     90,2020-02-19T19:04:19.626+01:00,   0.200E-02,   0.18000
    100,2020-02-19T19:04:19.734+01:00,   0.200E-02,   0.20000
    200,2020-02-19T19:04:20.768+01:00,   0.200E-02,   0.40000
    250,2020-02-19T19:04:21.188+01:00,   0.200E-02,   0.50000
