s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000, 0.0000000E+000,-3.9424438E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9424438E-009, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000, 0.0000000E+000,-7.8845359E-009, 9.8701343E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4802656E-007,-7.8746658E-009, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000, 0.0000000E+000,-1.1826467E-008, 2.3334994E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8307311E-007,-1.1803132E-008, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000, 0.0000000E+000,-1.5768215E-008, 4.0395048E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1181180E-006,-1.5727820E-008, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000, 0.0000000E+000,-1.9709729E-008, 6.1050996E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3531619E-006,-1.9648678E-008, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000, 0.0000000E+000,-2.3650961E-008, 8.5303704E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5882040E-006,-2.3565657E-008, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000, 0.0000000E+000,-2.7591859E-008, 1.1315435E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8232448E-006,-2.7478704E-008, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000, 0.0000000E+000,-3.1532393E-008, 1.4460427E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0582830E-006,-3.1387788E-008, 0.0000000E+000, 0.0000000E+000
 1.7999999E-002, 0.0000000E+000, 0.0000000E+000,-3.5472519E-008, 1.7965520E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2933197E-006,-3.5292864E-008, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000, 0.0000000E+000,-3.9412206E-008, 2.1830920E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5283552E-006,-3.9193897E-008, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 0.0000000E+000, 0.0000000E+000,-4.3351375E-008, 2.6056855E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7633899E-006,-4.3090807E-008, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 0.0000000E+000, 0.0000000E+000,-4.7290018E-008, 3.0643567E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9984235E-006,-4.6983582E-008, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000, 0.0000000E+000,-5.1228056E-008, 3.5591317E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2334570E-006,-5.0872143E-008, 0.0000000E+000, 0.0000000E+000
 2.8000001E-002, 0.0000000E+000, 0.0000000E+000,-5.5165447E-008, 4.0900369E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4684899E-006,-5.4756443E-008, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000, 0.0000000E+000,-5.9102137E-008, 4.6570981E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7035227E-006,-5.8636427E-008, 0.0000000E+000, 0.0000000E+000
 3.2000002E-002, 0.0000000E+000, 0.0000000E+000,-6.3038069E-008, 5.2603385E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9385558E-006,-6.2512035E-008, 0.0000000E+000, 0.0000000E+000
 3.4000002E-002, 0.0000000E+000, 0.0000000E+000,-6.6973168E-008, 5.8997756E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1735895E-006,-6.6383190E-008, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000, 0.0000000E+000,-7.0907395E-008, 6.5754587E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4086231E-006,-7.0249849E-008, 0.0000000E+000, 0.0000000E+000
 3.7999999E-002, 0.0000000E+000, 0.0000000E+000,-7.4840678E-008, 7.2874919E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6436577E-006,-7.4111929E-008, 0.0000000E+000, 0.0000000E+000
 3.9999999E-002, 0.0000000E+000, 0.0000000E+000,-7.8772945E-008, 8.0358758E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8786935E-006,-7.7969357E-008, 0.0000000E+000, 0.0000000E+000
 4.1999999E-002, 0.0000000E+000, 0.0000000E+000,-8.2704123E-008, 8.8206173E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1137304E-006,-8.1822061E-008, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 0.0000000E+000, 0.0000000E+000,-8.6634134E-008, 9.6416576E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3487686E-006,-8.5669969E-008, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 0.0000000E+000, 0.0000000E+000,-9.0562899E-008, 1.0498942E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5838086E-006,-8.9513005E-008, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 0.0000000E+000, 0.0000000E+000,-9.4490348E-008, 1.1392496E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8188503E-006,-9.3351098E-008, 0.0000000E+000, 0.0000000E+000
 5.0000001E-002, 0.0000000E+000, 0.0000000E+000,-9.8416343E-008, 1.2322424E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0538938E-006,-9.7184101E-008, 0.0000000E+000, 0.0000000E+000
 5.2000001E-002, 0.0000000E+000, 0.0000000E+000,-1.0195987E-007, 1.3282718E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2489778E-006,-1.0063160E-007, 0.0000000E+000, 0.0000000E+000
 5.4000001E-002, 0.0000000E+000, 0.0000000E+000,-1.0550204E-007, 1.4275614E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4612704E-006,-1.0407448E-007, 0.0000000E+000, 0.0000000E+000
 5.6000002E-002, 0.0000000E+000, 0.0000000E+000,-1.0904260E-007, 1.5300940E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6735769E-006,-1.0751251E-007, 0.0000000E+000, 0.0000000E+000
 5.7999998E-002, 0.0000000E+000, 0.0000000E+000,-1.1258154E-007, 1.6358990E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8858814E-006,-1.1094564E-007, 0.0000000E+000, 0.0000000E+000
 5.9999999E-002, 0.0000000E+000, 0.0000000E+000,-1.1611863E-007, 1.7449815E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0981905E-006,-1.1437365E-007, 0.0000000E+000, 0.0000000E+000
 6.1999999E-002, 0.0000000E+000, 0.0000000E+000,-1.1965389E-007, 1.8573346E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3104994E-006,-1.1779656E-007, 0.0000000E+000, 0.0000000E+000
 6.4000003E-002, 0.0000000E+000, 0.0000000E+000,-1.2318717E-007, 1.9729535E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5228121E-006,-1.2121422E-007, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 0.0000000E+000, 0.0000000E+000,-1.2671835E-007, 2.0918343E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7351279E-006,-1.2462652E-007, 0.0000000E+000, 0.0000000E+000
 6.8000004E-002, 0.0000000E+000, 0.0000000E+000,-1.3024731E-007, 2.2139732E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9474466E-006,-1.2803333E-007, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 0.0000000E+000, 0.0000000E+000,-1.3377391E-007, 2.3393783E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1597684E-006,-1.3143453E-007, 0.0000000E+000, 0.0000000E+000
 7.1999997E-002, 0.0000000E+000, 0.0000000E+000,-1.3729805E-007, 2.4680583E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3720935E-006,-1.3482999E-007, 0.0000000E+000, 0.0000000E+000
 7.4000001E-002, 0.0000000E+000, 0.0000000E+000,-1.4081953E-007, 2.6000102E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5844212E-006,-1.3821952E-007, 0.0000000E+000, 0.0000000E+000
 7.5999998E-002, 0.0000000E+000, 0.0000000E+000,-1.4433817E-007, 2.7352270E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7967534E-006,-1.4160294E-007, 0.0000000E+000, 0.0000000E+000
 7.8000002E-002, 0.0000000E+000, 0.0000000E+000,-1.4785392E-007, 2.8737007E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0090871E-006,-1.4498021E-007, 0.0000000E+000, 0.0000000E+000
 7.9999998E-002, 0.0000000E+000, 0.0000000E+000,-1.5136655E-007, 3.0154240E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2214257E-006,-1.4835113E-007, 0.0000000E+000, 0.0000000E+000
 8.2000002E-002, 0.0000000E+000, 0.0000000E+000,-1.5487591E-007, 3.1603876E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4337678E-006,-1.5171552E-007, 0.0000000E+000, 0.0000000E+000
 8.3999999E-002, 0.0000000E+000, 0.0000000E+000,-1.5838180E-007, 3.3085809E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6461137E-006,-1.5507322E-007, 0.0000000E+000, 0.0000000E+000
 8.6000003E-002, 0.0000000E+000, 0.0000000E+000,-1.6188404E-007, 3.4599908E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8584632E-006,-1.5842405E-007, 0.0000000E+000, 0.0000000E+000
 8.8000000E-002, 0.0000000E+000, 0.0000000E+000,-1.6538241E-007, 3.6145987E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0070817E-005,-1.6176782E-007, 0.0000000E+000, 0.0000000E+000
 9.0000004E-002, 0.0000000E+000, 0.0000000E+000,-1.6887676E-007, 3.7723838E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0283174E-005,-1.6510437E-007, 0.0000000E+000, 0.0000000E+000
 9.2000000E-002, 0.0000000E+000, 0.0000000E+000,-1.7236674E-007, 3.9333269E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0495535E-005,-1.6843341E-007, 0.0000000E+000, 0.0000000E+000
 9.3999997E-002, 0.0000000E+000, 0.0000000E+000,-1.7585225E-007, 4.0974097E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0707898E-005,-1.7175484E-007, 0.0000000E+000, 0.0000000E+000
 9.6000001E-002, 0.0000000E+000, 0.0000000E+000,-1.7933300E-007, 4.2645968E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0920267E-005,-1.7506841E-007, 0.0000000E+000, 0.0000000E+000
 9.7999997E-002, 0.0000000E+000, 0.0000000E+000,-1.8280876E-007, 4.4348292E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1132640E-005,-1.7837393E-007, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 0.0000000E+000, 0.0000000E+000,-1.8627924E-007, 4.6080967E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1345017E-005,-1.8167115E-007, 0.0000000E+000, 0.0000000E+000
 1.0200000E-001, 0.0000000E+000, 0.0000000E+000,-1.8898695E-007, 4.7831785E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1477474E-005,-1.8420377E-007, 0.0000000E+000, 0.0000000E+000
 1.0400000E-001, 0.0000000E+000, 0.0000000E+000,-1.9168987E-007, 4.9605563E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1644354E-005,-1.8672932E-007, 0.0000000E+000, 0.0000000E+000
 1.0600000E-001, 0.0000000E+000, 0.0000000E+000,-1.9438756E-007, 5.1402005E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1811253E-005,-1.8924736E-007, 0.0000000E+000, 0.0000000E+000
 1.0800000E-001, 0.0000000E+000, 0.0000000E+000,-1.9707981E-007, 5.3220808E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1978149E-005,-1.9175773E-007, 0.0000000E+000, 0.0000000E+000
 1.1000000E-001, 0.0000000E+000, 0.0000000E+000,-1.9976640E-007, 5.5061688E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2145048E-005,-1.9426023E-007, 0.0000000E+000, 0.0000000E+000
 1.1200000E-001, 0.0000000E+000, 0.0000000E+000,-2.0244706E-007, 5.6924367E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2311949E-005,-1.9675462E-007, 0.0000000E+000, 0.0000000E+000
 1.1400000E-001, 0.0000000E+000, 0.0000000E+000,-2.0512154E-007, 5.8808448E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2478853E-005,-1.9924070E-007, 0.0000000E+000, 0.0000000E+000
 1.1600000E-001, 0.0000000E+000, 0.0000000E+000,-2.0778960E-007, 6.0713614E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2645759E-005,-2.0171824E-007, 0.0000000E+000, 0.0000000E+000
 1.1800000E-001, 0.0000000E+000, 0.0000000E+000,-2.1045087E-007, 6.2639715E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2812667E-005,-2.0418690E-007, 0.0000000E+000, 0.0000000E+000
 1.2000000E-001, 0.0000000E+000, 0.0000000E+000,-2.1310516E-007, 6.4586540E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2979576E-005,-2.0664650E-007, 0.0000000E+000, 0.0000000E+000
 1.2200000E-001, 0.0000000E+000, 0.0000000E+000,-2.1575214E-007, 6.6553838E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3146488E-005,-2.0909676E-007, 0.0000000E+000, 0.0000000E+000
 1.2400000E-001, 0.0000000E+000, 0.0000000E+000,-2.1839151E-007, 6.8541319E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3313402E-005,-2.1153737E-007, 0.0000000E+000, 0.0000000E+000
 1.2600000E-001, 0.0000000E+000, 0.0000000E+000,-2.2102294E-007, 7.0548791E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3480318E-005,-2.1396806E-007, 0.0000000E+000, 0.0000000E+000
 1.2800001E-001, 0.0000000E+000, 0.0000000E+000,-2.2364611E-007, 7.2576190E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3647235E-005,-2.1638849E-007, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 0.0000000E+000, 0.0000000E+000,-2.2626068E-007, 7.4623078E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3814153E-005,-2.1879837E-007, 0.0000000E+000, 0.0000000E+000
 1.3200000E-001, 0.0000000E+000, 0.0000000E+000,-2.2886632E-007, 7.6689028E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3981072E-005,-2.2119741E-007, 0.0000000E+000, 0.0000000E+000
 1.3400000E-001, 0.0000000E+000, 0.0000000E+000,-2.3146265E-007, 7.8773947E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4147993E-005,-2.2358526E-007, 0.0000000E+000, 0.0000000E+000
 1.3600001E-001, 0.0000000E+000, 0.0000000E+000,-2.3404932E-007, 8.0877711E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4314914E-005,-2.2596155E-007, 0.0000000E+000, 0.0000000E+000
 1.3800000E-001, 0.0000000E+000, 0.0000000E+000,-2.3662595E-007, 8.3000045E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4481835E-005,-2.2832594E-007, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 0.0000000E+000, 0.0000000E+000,-2.3919214E-007, 8.5140593E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4648757E-005,-2.3067808E-007, 0.0000000E+000, 0.0000000E+000
