,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-22T18:04:57.980+02:00,   0.200E-02,   0.00200,   0.62472
      2,2020-06-22T18:04:57.991+02:00,   0.200E-02,   0.00400,   0.66778
      3,2020-06-22T18:04:58.012+02:00,   0.200E-02,   0.00600,   0.74536
      4,2020-06-22T18:04:58.022+02:00,   0.200E-02,   0.00800,   0.78321
      5,2020-06-22T18:04:58.031+02:00,   0.200E-02,   0.01000,   0.81971
      6,2020-06-22T18:04:58.042+02:00,   0.200E-02,   0.01200,   0.86218
      7,2020-06-22T18:04:58.053+02:00,   0.200E-02,   0.01400,   0.90858
      8,2020-06-22T18:04:58.064+02:00,   0.200E-02,   0.01600,   0.95236
      9,2020-06-22T18:04:58.076+02:00,   0.200E-02,   0.01800,   0.99985
     10,2020-06-22T18:04:58.088+02:00,   0.200E-02,   0.02000,   1.04573
     20,2020-06-22T18:04:58.208+02:00,   0.200E-02,   0.04000,   1.51183
     30,2020-06-22T18:04:58.326+02:00,   0.200E-02,   0.06000,   1.97469
     40,2020-06-22T18:04:58.440+02:00,   0.200E-02,   0.08000,   2.42869
     50,2020-06-22T18:04:58.559+02:00,   0.200E-02,   0.10000,   2.89226
     60,2020-06-22T18:04:58.677+02:00,   0.200E-02,   0.12000,   3.35643
     70,2020-06-22T18:04:58.806+02:00,   0.200E-02,   0.14000,   3.86073
     80,2020-06-22T18:04:59.102+02:00,   0.200E-02,   0.16000,   5.04569
     90,2020-06-22T18:04:59.221+02:00,   0.200E-02,   0.18000,   5.50826
    100,2020-06-22T18:04:59.343+02:00,   0.200E-02,   0.20000,   5.97798
    200,2020-06-22T18:05:00.144+02:00,   0.200E-02,   0.40000,   9.11146
    250,2020-06-22T18:05:00.366+02:00,   0.200E-02,   0.50000,   9.95464
