s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 3.7494729E-003, 4.3217284E-003, 2.2736501E+000, 8.6736174E-019, 1.0000000E+000, 4.1000000E+001, 5.2169658E-001, 2.5754114E-009
 4.0000000E-003, 7.4989247E-003, 8.6435176E-003, 2.2737270E+000, 1.7347235E-018, 1.0000000E+000, 3.5000000E+001, 5.6136592E-001, 5.0633361E-009
 6.0000000E-003, 1.1248357E-002, 1.2965360E-002, 2.2737298E+000, 3.4694470E-018, 1.0000000E+000, 3.4000000E+001, 5.5230157E-001, 8.5530540E-009
 8.0000000E-003, 1.4997751E-002, 1.7287245E-002, 2.2737418E+000, 6.9388939E-018, 1.0000000E+000, 3.5000000E+001, 5.4341489E-001, 3.7362167E-009
 1.0000000E-002, 1.8747087E-002, 2.1609165E-002, 2.2737628E+000, 3.4694470E-018, 1.0000000E+000, 3.5000000E+001, 5.4364757E-001, 4.8680554E-009
 1.2000000E-002, 2.2496348E-002, 2.5931109E-002, 2.2737930E+000, 3.4694470E-018, 1.0000000E+000, 3.5000000E+001, 5.4396630E-001, 6.0677007E-009
 1.4000000E-002, 2.6245516E-002, 3.0253069E-002, 2.2738323E+000, 6.9388939E-018, 1.0000000E+000, 3.5000000E+001, 5.4436675E-001, 7.3548573E-009
 1.6000000E-002, 2.9994573E-002, 3.4575036E-002, 2.2738807E+000, 6.9388939E-018, 1.0000000E+000, 3.5000000E+001, 5.4485490E-001, 8.7560356E-009
 1.8000000E-002, 3.3743503E-002, 3.8897002E-002, 2.2739384E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3723182E-001, 3.2564153E-009
 2.0000000E-002, 3.7492290E-002, 4.3218957E-002, 2.2740053E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3743036E-001, 3.6899066E-009
 2.2000000E-002, 4.1240918E-002, 4.7540895E-002, 2.2740815E+000, 6.9388939E-018, 1.0000000E+000, 3.6000000E+001, 5.3762705E-001, 4.1352868E-009
 2.4000000E-002, 4.4989374E-002, 5.1862809E-002, 2.2741670E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.3780071E-001, 4.5864819E-009
 2.6000000E-002, 4.8737644E-002, 5.6184690E-002, 2.2742620E+000, 6.9388939E-018, 1.0000000E+000, 3.6000000E+001, 5.3800919E-001, 5.0615782E-009
 2.8000000E-002, 5.2485717E-002, 6.0506532E-002, 2.2743664E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3811867E-001, 5.5150730E-009
 3.0000000E-002, 5.6233581E-002, 6.4828330E-002, 2.2744804E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3755468E-001, 5.7145903E-009
 3.2000000E-002, 5.9981227E-002, 6.9150077E-002, 2.2746039E+000, 1.3877788E-017, 1.0000000E+000, 3.5000000E+001, 5.2962473E-001, 6.7695597E-009
 3.4000000E-002, 6.3728646E-002, 7.3471770E-002, 2.2747372E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3855839E-001, 6.9870593E-009
 3.6000000E-002, 6.7475831E-002, 7.7793405E-002, 2.2748802E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3914321E-001, 7.7280139E-009
 3.8000000E-002, 7.1222778E-002, 8.2114977E-002, 2.2750331E+000, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 5.3957221E-001, 8.4344587E-009
 4.0000000E-002, 7.4969481E-002, 8.6436485E-002, 2.2751960E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.3992861E-001, 9.1377510E-009
 4.2000000E-002, 7.8715939E-002, 9.0757927E-002, 2.2753689E+000, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 5.4029330E-001, 9.8830923E-009
 4.4000000E-002, 8.2462151E-002, 9.5079302E-002, 2.2755520E+000, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 5.3216662E-001, 3.2109933E-009
 4.6000000E-002, 8.6208119E-002, 9.9400611E-002, 2.2757454E+000, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 5.3286196E-001, 3.5442149E-009
 4.8000000E-002, 8.9953844E-002, 1.0372186E-001, 2.2759492E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3352970E-001, 3.8983044E-009
 5.0000000E-002, 9.3699333E-002, 1.0804304E-001, 2.2761635E+000, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 5.3417244E-001, 4.2742440E-009
 5.2000000E-002, 9.7081762E-002, 1.1194594E-001, 2.0564423E+000, 5.5511151E-017, 1.0000000E+000, 3.9000000E+001, 5.4509545E-001, 5.1775933E-009
 5.4000000E-002, 1.0046401E-001, 1.1584881E-001, 2.0566632E+000, 0.0000000E+000, 1.0000000E+000, 3.7000000E+001, 5.3585903E-001, 4.7625603E-009
 5.6000000E-002, 1.0384609E-001, 1.1975164E-001, 2.0568893E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3632595E-001, 5.1246766E-009
 5.8000000E-002, 1.0722800E-001, 1.2365446E-001, 2.0571245E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3632637E-001, 5.3356850E-009
 6.0000000E-002, 1.1060978E-001, 1.2755725E-001, 2.0573691E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3325097E-001, 4.4874497E-009
 6.2000000E-002, 1.1399142E-001, 1.3146005E-001, 2.0576231E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3724667E-001, 6.1503555E-009
 6.4000000E-002, 1.1737296E-001, 1.3536286E-001, 2.0578867E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3821484E-001, 6.8315771E-009
 6.6000000E-002, 1.2075440E-001, 1.3926569E-001, 2.0581600E+000, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 5.3882048E-001, 7.3968219E-009
 6.8000000E-002, 1.2413578E-001, 1.4316856E-001, 2.0584432E+000, 0.0000000E+000, 1.0000000E+000, 3.7000000E+001, 5.3934026E-001, 7.9573626E-009
 7.0000000E-002, 1.2751710E-001, 1.4707149E-001, 2.0587364E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.3982267E-001, 8.5341285E-009
 7.2000000E-002, 1.3089840E-001, 1.5097449E-001, 2.0590397E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.4028184E-001, 9.1338114E-009
 7.4000000E-002, 1.3427971E-001, 1.5487760E-001, 2.0593534E+000, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 5.4072313E-001, 9.7593837E-009
 7.6000000E-002, 1.3766104E-001, 1.5878082E-001, 2.0596775E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3074043E-001, 2.6937527E-009
 7.8000000E-002, 1.4104243E-001, 1.6268419E-001, 2.0600122E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3109266E-001, 2.8618127E-009
 8.0000000E-002, 1.4442392E-001, 1.6658773E-001, 2.0603578E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3145078E-001, 3.0406290E-009
 8.2000000E-002, 1.4780552E-001, 1.7049148E-001, 2.0607143E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3181446E-001, 3.2309417E-009
 8.4000000E-002, 1.5118728E-001, 1.7439546E-001, 2.0610821E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3218255E-001, 3.4333547E-009
 8.6000000E-002, 1.5456923E-001, 1.7829971E-001, 2.0614611E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3255349E-001, 3.6483782E-009
 8.8000000E-002, 1.5795140E-001, 1.8220426E-001, 2.0618517E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3292564E-001, 3.8764928E-009
 9.0000000E-002, 1.6133384E-001, 1.8610916E-001, 2.0622540E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3329689E-001, 4.1180307E-009
 9.2000000E-002, 1.6471658E-001, 1.9001444E-001, 2.0626682E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3366485E-001, 4.3731629E-009
 9.4000000E-002, 1.6809967E-001, 1.9392015E-001, 2.0630946E+000, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.3402727E-001, 4.6420167E-009
 9.6000000E-002, 1.7148314E-001, 1.9782633E-001, 2.0635332E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3438165E-001, 4.9245341E-009
 9.8000000E-002, 1.7486703E-001, 2.0173304E-001, 2.0639844E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3472524E-001, 5.2204078E-009
 1.0000000E-001, 1.7825140E-001, 2.0564033E-001, 2.0644483E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3505550E-001, 5.5292343E-009
 1.0200000E-001, 1.8091063E-001, 2.0871180E-001, 1.6252029E+000, 2.7755576E-017, 1.0000000E+000, 4.0000000E+001, 5.3762067E-001, 3.4928755E-009
 1.0400000E-001, 1.8357050E-001, 2.1178399E-001, 1.6256170E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3635055E-001, 5.5398189E-009
 1.0600000E-001, 1.8623105E-001, 2.1485694E-001, 1.6260325E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3660226E-001, 5.8171570E-009
 1.0800000E-001, 1.8889231E-001, 2.1793071E-001, 1.6264573E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3682337E-001, 6.0972687E-009
 1.1000000E-001, 1.9155431E-001, 2.2100534E-001, 1.6268917E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3701277E-001, 6.3787671E-009
 1.1200000E-001, 1.9421708E-001, 2.2408090E-001, 1.6273357E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3716957E-001, 6.6601801E-009
 1.1400000E-001, 1.9688066E-001, 2.2715744E-001, 1.6277894E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3729293E-001, 6.9398919E-009
 1.1600000E-001, 1.9954508E-001, 2.3023503E-001, 1.6282529E+000, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.3738235E-001, 7.2162787E-009
 1.1800000E-001, 2.0221036E-001, 2.3331372E-001, 1.6287263E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3743749E-001, 7.4876623E-009
 1.2000000E-001, 2.0487654E-001, 2.3639357E-001, 1.6292097E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3745809E-001, 7.7522812E-009
 1.2200000E-001, 2.0754365E-001, 2.3947465E-001, 1.6297032E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3744402E-001, 8.0083506E-009
 1.2400000E-001, 2.1021171E-001, 2.4255702E-001, 1.6302067E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3739525E-001, 8.2540767E-009
 1.2600000E-001, 2.1288076E-001, 2.4564075E-001, 1.6307204E+000, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 5.3731180E-001, 8.4876299E-009
 1.2800000E-001, 2.1555081E-001, 2.4872589E-001, 1.6312443E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3719369E-001, 8.7071743E-009
 1.3000000E-001, 2.1822189E-001, 2.5181252E-001, 1.6317784E+000, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.3704098E-001, 8.9108881E-009
 1.3200000E-001, 2.2089404E-001, 2.5490071E-001, 1.6323226E+000, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.3685376E-001, 9.0970195E-009
 1.3400000E-001, 2.2356726E-001, 2.5799051E-001, 1.6328770E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3663211E-001, 9.2638689E-009
 1.3600000E-001, 2.2624159E-001, 2.6108199E-001, 1.6334415E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3637619E-001, 9.4098753E-009
 1.3800000E-001, 2.2891704E-001, 2.6417522E-001, 1.6340161E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3608596E-001, 9.5334844E-009
 1.4000000E-001, 2.3159363E-001, 2.6727026E-001, 1.6346006E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3576199E-001, 9.6336823E-009
 1.4200000E-001, 2.3427138E-001, 2.7036718E-001, 1.6351950E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3540469E-001, 9.7095568E-009
 1.4400000E-001, 2.3695031E-001, 2.7346603E-001, 1.6357990E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3501487E-001, 9.7606516E-009
 1.4600000E-001, 2.3963044E-001, 2.7656689E-001, 1.6364126E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3459377E-001, 9.7870350E-009
 1.4800000E-001, 2.4231177E-001, 2.7966979E-001, 1.6370355E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3414329E-001, 9.7894463E-009
 1.5000000E-001, 2.4499432E-001, 2.8277481E-001, 1.6376675E+000, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.3366605E-001, 9.7693268E-009
 1.5200000E-001, 2.4671054E-001, 2.8476671E-001, 1.0521900E+000, 5.5511151E-017, 1.0000000E+000, 4.0000000E+001, 5.3603093E-001, 4.6870556E-009
 1.5400000E-001, 2.4842806E-001, 2.8676077E-001, 1.0526832E+000, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.3188641E-001, 8.1365465E-009
