,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-22T18:04:58.704+02:00,   0.200E-02,   0.00200,   1.37567
      2,2020-06-22T18:04:58.732+02:00,   0.200E-02,   0.00400,   1.47073
      3,2020-06-22T18:04:58.759+02:00,   0.200E-02,   0.00600,   1.56400
      4,2020-06-22T18:04:58.770+02:00,   0.200E-02,   0.00800,   1.60661
      5,2020-06-22T18:04:58.781+02:00,   0.200E-02,   0.01000,   1.64848
      6,2020-06-22T18:04:58.791+02:00,   0.200E-02,   0.01200,   1.68998
      7,2020-06-22T18:04:58.803+02:00,   0.200E-02,   0.01400,   1.73676
      8,2020-06-22T18:04:58.814+02:00,   0.200E-02,   0.01600,   1.78123
      9,2020-06-22T18:04:58.825+02:00,   0.200E-02,   0.01800,   1.82381
     10,2020-06-22T18:04:58.836+02:00,   0.200E-02,   0.02000,   1.86576
     20,2020-06-22T18:04:58.953+02:00,   0.200E-02,   0.04000,   2.32188
     30,2020-06-22T18:04:59.072+02:00,   0.200E-02,   0.06000,   2.78513
     40,2020-06-22T18:04:59.179+02:00,   0.200E-02,   0.08000,   3.21204
     50,2020-06-22T18:04:59.301+02:00,   0.200E-02,   0.10000,   3.68721
     60,2020-06-22T18:04:59.421+02:00,   0.200E-02,   0.12000,   4.15652
     70,2020-06-22T18:04:59.541+02:00,   0.200E-02,   0.14000,   4.62383
     80,2020-06-22T18:04:59.651+02:00,   0.200E-02,   0.16000,   5.06096
     90,2020-06-22T18:04:59.771+02:00,   0.200E-02,   0.18000,   5.53114
    100,2020-06-22T18:04:59.900+02:00,   0.200E-02,   0.20000,   6.02702
    200,2020-06-22T18:05:01.081+02:00,   0.200E-02,   0.40000,  10.66409
    250,2020-06-22T18:05:01.685+02:00,   0.200E-02,   0.50000,  13.03311
