,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:49.324+02:00,   0.200E-02,   0.00200,   0.69993
      2,2020-06-26T16:17:49.334+02:00,   0.200E-02,   0.00400,   0.74269
      3,2020-06-26T16:17:49.357+02:00,   0.200E-02,   0.00600,   0.82442
      4,2020-06-26T16:17:49.373+02:00,   0.200E-02,   0.00800,   0.88149
      5,2020-06-26T16:17:49.383+02:00,   0.200E-02,   0.01000,   0.92126
      6,2020-06-26T16:17:49.393+02:00,   0.200E-02,   0.01200,   0.96054
      7,2020-06-26T16:17:49.402+02:00,   0.200E-02,   0.01400,   0.99920
      8,2020-06-26T16:17:49.412+02:00,   0.200E-02,   0.01600,   1.03849
      9,2020-06-26T16:17:49.422+02:00,   0.200E-02,   0.01800,   1.07818
     10,2020-06-26T16:17:49.432+02:00,   0.200E-02,   0.02000,   1.11717
     20,2020-06-26T16:17:49.594+02:00,   0.200E-02,   0.04000,   1.75574
     30,2020-06-26T16:17:49.924+02:00,   0.200E-02,   0.06000,   3.05966
     40,2020-06-26T16:17:50.113+02:00,   0.200E-02,   0.08000,   3.80834
     50,2020-06-26T16:17:50.312+02:00,   0.200E-02,   0.10000,   4.59487
     60,2020-06-26T16:17:50.475+02:00,   0.200E-02,   0.12000,   5.23272
     70,2020-06-26T16:17:50.586+02:00,   0.200E-02,   0.14000,   5.66734
     80,2020-06-26T16:17:50.692+02:00,   0.200E-02,   0.16000,   6.08281
     90,2020-06-26T16:17:50.804+02:00,   0.200E-02,   0.18000,   6.51714
    100,2020-06-26T16:17:50.931+02:00,   0.200E-02,   0.20000,   6.99752
    200,2020-06-26T16:17:51.989+02:00,   0.200E-02,   0.40000,  11.15193
    250,2020-06-26T16:17:53.154+02:00,   0.200E-02,   0.50000,  15.54136
