,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:49.765+02:00,   0.200E-02,   0.00200,   1.24841
      2,2020-06-26T16:17:49.794+02:00,   0.200E-02,   0.00400,   1.36596
      3,2020-06-26T16:17:49.835+02:00,   0.200E-02,   0.00600,   1.51818
      4,2020-06-26T16:17:49.865+02:00,   0.200E-02,   0.00800,   1.63687
      5,2020-06-26T16:17:49.894+02:00,   0.200E-02,   0.01000,   1.75362
      6,2020-06-26T16:17:49.923+02:00,   0.200E-02,   0.01200,   1.86948
      7,2020-06-26T16:17:49.953+02:00,   0.200E-02,   0.01400,   1.98510
      8,2020-06-26T16:17:49.982+02:00,   0.200E-02,   0.01600,   2.10260
      9,2020-06-26T16:17:50.011+02:00,   0.200E-02,   0.01800,   2.21648
     10,2020-06-26T16:17:50.040+02:00,   0.200E-02,   0.02000,   2.33185
     20,2020-06-26T16:17:50.341+02:00,   0.200E-02,   0.04000,   3.52562
     30,2020-06-26T16:17:50.651+02:00,   0.200E-02,   0.06000,   4.75502
     40,2020-06-26T16:17:50.941+02:00,   0.200E-02,   0.08000,   5.90815
     50,2020-06-26T16:17:51.243+02:00,   0.200E-02,   0.10000,   7.10456
     60,2020-06-26T16:17:51.540+02:00,   0.200E-02,   0.12000,   8.27926
     70,2020-06-26T16:17:51.839+02:00,   0.200E-02,   0.14000,   9.46289
     80,2020-06-26T16:17:52.131+02:00,   0.200E-02,   0.16000,  10.62217
     90,2020-06-26T16:17:52.435+02:00,   0.200E-02,   0.18000,  11.82336
    100,2020-06-26T16:17:52.747+02:00,   0.200E-02,   0.20000,  13.04255
    200,2020-06-26T16:17:55.683+02:00,   0.200E-02,   0.40000,  24.71747
    250,2020-06-26T16:17:57.160+02:00,   0.200E-02,   0.50000,  30.59024
