s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 9.3725102E-004, 1.1055172E-003, 5.6841921E-001, 1.6921282E-003, 1.0000000E+000, 3.7000000E+001, 4.9374124E-001, 9.1224072E-009, 2.4800000E-004, 0.0000000E+000
 4.0000000E-003, 1.8744150E-003, 2.2106106E-003, 5.6848665E-001, 9.0801889E-004, 1.0000000E+000, 3.7000000E+001, 5.0424039E-001, 4.0276914E-009, 4.9600000E-004, 0.0000000E+000
 6.0000000E-003, 2.8116092E-003, 3.3157480E-003, 5.6849734E-001, 8.8310062E-005, 1.0000000E+000, 3.5000000E+001, 5.1779971E-001, 6.8988495E-009, 7.4400000E-004, 0.0000000E+000
 8.0000000E-003, 3.7488343E-003, 4.4210291E-003, 5.6851277E-001, 3.5749929E-004, 1.0000000E+000, 3.6000000E+001, 5.0780985E-001, 4.1517045E-009, 9.9200000E-004, 0.0000000E+000
 1.0000000E-002, 4.6860763E-003, 5.5263954E-003, 5.6852774E-001, 1.8428511E-004, 1.0000000E+000, 3.5000000E+001, 5.1057214E-001, 5.5384242E-009, 1.2400000E-003, 0.0000000E+000
 1.2000000E-002, 5.6233271E-003, 6.6317872E-003, 5.6854179E-001, 4.9832931E-006, 1.0000000E+000, 3.3000000E+001, 5.1134622E-001, 4.1332956E-009, 1.4880000E-003, 0.0000000E+000
 1.4000000E-002, 6.5605847E-003, 7.7371862E-003, 5.6855589E-001, 5.4523749E-005, 1.0000000E+000, 3.4000000E+001, 5.2019652E-001, 7.1926931E-009, 1.7360000E-003, 0.0000000E+000
 1.6000000E-002, 7.4978487E-003, 8.8425991E-003, 5.6857072E-001, 3.0071906E-005, 1.0000000E+000, 3.4000000E+001, 5.1492407E-001, 4.1521544E-009, 1.9840000E-003, 0.0000000E+000
 1.8000000E-002, 8.4351189E-003, 9.9480348E-003, 5.6858639E-001, 1.0804741E-006, 1.0000000E+000, 3.2000000E+001, 4.9290402E-001, 3.7051902E-009, 2.2320000E-003, 0.0000000E+000
 2.0000000E-002, 9.3723946E-003, 1.1053496E-002, 5.6860275E-001, 7.6525541E-006, 1.0000000E+000, 3.3000000E+001, 5.0500674E-001, 4.5934267E-009, 2.4800000E-003, 0.0000000E+000
 2.2000000E-002, 1.0309674E-002, 1.2158979E-002, 5.6861967E-001, 3.4049639E-006, 1.0000000E+000, 3.2000000E+001, 5.0095441E-001, 7.6629489E-009, 2.7280000E-003, 0.0000000E+000
 2.4000000E-002, 1.1246957E-002, 1.3264483E-002, 5.6863711E-001, 2.7299097E-006, 1.0000000E+000, 3.1000000E+001, 4.8470089E-001, 5.9908737E-009, 2.9760000E-003, 0.0000000E+000
 2.6000000E-002, 1.2184241E-002, 1.4370005E-002, 5.6865511E-001, 4.6858460E-006, 1.0000000E+000, 3.2000000E+001, 4.9055862E-001, 4.6253785E-009, 3.2240000E-003, 0.0000000E+000
 2.8000000E-002, 1.3121526E-002, 1.5475545E-002, 5.6867368E-001, 4.3391943E-006, 1.0000000E+000, 3.1000000E+001, 4.8839937E-001, 8.8585414E-009, 3.4720000E-003, 0.0000000E+000
 3.0000000E-002, 1.4058811E-002, 1.6581102E-002, 5.6869283E-001, 3.7919534E-006, 1.0000000E+000, 3.0000000E+001, 4.7627342E-001, 9.1425550E-009, 3.7200000E-003, 0.0000000E+000
 3.2000000E-002, 1.4996094E-002, 1.7686675E-002, 5.6871256E-001, 3.8484591E-006, 1.0000000E+000, 3.1000000E+001, 4.8684920E-001, 9.1776879E-009, 3.9680000E-003, 0.0000000E+000
 3.4000000E-002, 1.5933374E-002, 1.8792263E-002, 5.6873286E-001, 4.3174107E-006, 1.0000000E+000, 3.1000000E+001, 4.8475984E-001, 8.5365517E-009, 4.2160000E-003, 0.0000000E+000
 3.6000000E-002, 1.6870650E-002, 1.9897866E-002, 5.6875374E-001, 4.8444740E-006, 1.0000000E+000, 3.1000000E+001, 4.8080148E-001, 7.0129296E-009, 4.4640000E-003, 0.0000000E+000
 3.8000000E-002, 1.7807922E-002, 2.1003482E-002, 5.6877519E-001, 5.2908982E-006, 1.0000000E+000, 3.1000000E+001, 4.8104749E-001, 7.5254756E-009, 4.7120000E-003, 0.0000000E+000
 4.0000000E-002, 1.8745188E-002, 2.2109110E-002, 5.6879722E-001, 5.6896549E-006, 1.0000000E+000, 3.1000000E+001, 4.8279772E-001, 8.8734458E-009, 4.9600000E-003, 0.0000000E+000
 4.2000000E-002, 1.9682448E-002, 2.3214750E-002, 5.6881984E-001, 6.1037157E-006, 1.0000000E+000, 3.2000000E+001, 4.8080894E-001, 3.9465660E-009, 5.2080000E-003, 0.0000000E+000
 4.4000000E-002, 2.0619700E-002, 2.4320401E-002, 5.6884304E-001, 6.5597499E-006, 1.0000000E+000, 3.2000000E+001, 4.8187165E-001, 4.4444936E-009, 5.4560000E-003, 0.0000000E+000
 4.6000000E-002, 2.1556944E-002, 2.5426061E-002, 5.6886682E-001, 7.0546137E-006, 1.0000000E+000, 3.2000000E+001, 4.8272714E-001, 4.9282900E-009, 5.7040000E-003, 0.0000000E+000
 4.8000000E-002, 2.2494178E-002, 2.6531731E-002, 5.6889119E-001, 7.5795673E-006, 1.0000000E+000, 3.2000000E+001, 4.8352445E-001, 5.4356786E-009, 5.9520000E-003, 0.0000000E+000
 5.0000000E-002, 2.3431402E-002, 2.7637409E-002, 5.6891614E-001, 8.1319654E-006, 1.0000000E+000, 3.2000000E+001, 4.8428945E-001, 5.9748803E-009, 6.2000000E-003, 0.0000000E+000
 5.2000000E-002, 2.4277916E-002, 2.8636110E-002, 5.1393133E-001, 1.5532954E-004, 1.0000000E+000, 3.6000000E+001, 5.1237245E-001, 5.9833284E-009, 6.4240000E-003, 0.0000000E+000
 5.4000000E-002, 2.5124429E-002, 2.9634862E-002, 5.1395785E-001, 7.9295989E-005, 1.0000000E+000, 3.5000000E+001, 5.1256903E-001, 5.5448773E-009, 6.6480000E-003, 0.0000000E+000
 5.6000000E-002, 2.5970929E-002, 3.0633618E-002, 5.1398231E-001, 1.7537305E-005, 1.0000000E+000, 3.4000000E+001, 5.0454107E-001, 5.7744709E-009, 6.8720000E-003, 0.0000000E+000
 5.8000000E-002, 2.6817417E-002, 3.1632368E-002, 5.1400686E-001, 4.4260741E-005, 1.0000000E+000, 3.4000000E+001, 5.1013352E-001, 8.9057576E-009, 7.0960000E-003, 0.0000000E+000
 6.0000000E-002, 2.7663892E-002, 3.2631118E-002, 5.1403200E-001, 2.8305294E-005, 1.0000000E+000, 3.4000000E+001, 5.0217250E-001, 5.3326146E-009, 7.3200000E-003, 0.0000000E+000
 6.2000000E-002, 2.8510354E-002, 3.3629873E-002, 5.1405778E-001, 1.1184091E-005, 1.0000000E+000, 3.3000000E+001, 4.8877968E-001, 4.4818125E-009, 7.5440000E-003, 0.0000000E+000
 6.4000000E-002, 2.9356805E-002, 3.4628633E-002, 5.1408410E-001, 6.7880079E-006, 1.0000000E+000, 3.3000000E+001, 4.8645293E-001, 3.9717992E-009, 7.7680000E-003, 0.0000000E+000
 6.6000000E-002, 3.0203242E-002, 3.5627398E-002, 5.1411091E-001, 9.8470547E-006, 1.0000000E+000, 3.3000000E+001, 4.9297778E-001, 6.3932319E-009, 7.9920000E-003, 0.0000000E+000
 6.8000000E-002, 3.1049666E-002, 3.6626167E-002, 5.1413819E-001, 1.3425259E-005, 1.0000000E+000, 3.3000000E+001, 4.8646004E-001, 4.2728168E-009, 8.2160000E-003, 0.0000000E+000
 7.0000000E-002, 3.1896076E-002, 3.7624938E-002, 5.1416596E-001, 1.5076745E-005, 1.0000000E+000, 3.2000000E+001, 4.8626958E-001, 8.9905229E-009, 8.4400000E-003, 0.0000000E+000
 7.2000000E-002, 3.2742472E-002, 3.8623711E-002, 5.1419423E-001, 1.5528935E-005, 1.0000000E+000, 3.3000000E+001, 4.8667078E-001, 4.6539763E-009, 8.6640000E-003, 0.0000000E+000
 7.4000000E-002, 3.3588854E-002, 3.9622487E-002, 5.1422302E-001, 1.5943192E-005, 1.0000000E+000, 3.3000000E+001, 4.8809174E-001, 5.3062941E-009, 8.8880000E-003, 0.0000000E+000
 7.6000000E-002, 3.4435221E-002, 4.0621266E-002, 5.1425232E-001, 1.6749906E-005, 1.0000000E+000, 3.3000000E+001, 4.8875491E-001, 5.7449605E-009, 9.1120000E-003, 0.0000000E+000
 7.8000000E-002, 3.5281574E-002, 4.1620046E-002, 5.1428213E-001, 1.7832103E-005, 1.0000000E+000, 3.3000000E+001, 4.8892573E-001, 6.0141394E-009, 9.3360000E-003, 0.0000000E+000
 8.0000000E-002, 3.6127912E-002, 4.2618828E-002, 5.1431246E-001, 1.8990779E-005, 1.0000000E+000, 3.3000000E+001, 4.8908395E-001, 6.2880685E-009, 9.5600000E-003, 0.0000000E+000
 8.2000000E-002, 3.6974234E-002, 4.3617612E-002, 5.1434330E-001, 2.0151323E-005, 1.0000000E+000, 3.3000000E+001, 4.8936861E-001, 6.6280325E-009, 9.7840000E-003, 0.0000000E+000
 8.4000000E-002, 3.7820542E-002, 4.4616398E-002, 5.1437467E-001, 2.1338855E-005, 1.0000000E+000, 3.3000000E+001, 4.8971288E-001, 7.0115087E-009, 1.0008000E-002, 0.0000000E+000
 8.6000000E-002, 3.8666835E-002, 4.5615185E-002, 5.1440656E-001, 2.2586754E-005, 1.0000000E+000, 3.3000000E+001, 4.9005998E-001, 7.4153879E-009, 1.0232000E-002, 0.0000000E+000
 8.8000000E-002, 3.9513113E-002, 4.6613973E-002, 5.1443897E-001, 2.3912086E-005, 1.0000000E+000, 3.3000000E+001, 4.9037304E-001, 7.8212447E-009, 1.0456000E-002, 0.0000000E+000
