s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000, 0.0000000E+000,-1.9746762E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9746762E-008, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000, 0.0000000E+000,-3.9448031E-008, 1.1958144E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2418869E-006,-3.9328450E-008, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000, 0.0000000E+000,-5.9136009E-008, 2.8223081E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4165028E-006,-5.8853778E-008, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000, 0.0000000E+000,-7.8834407E-008, 4.8796158E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5904738E-006,-7.8346445E-008, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000, 0.0000000E+000,-9.8541029E-008, 7.3690595E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7651070E-006,-9.7804124E-008, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000, 0.0000000E+000,-1.1824901E-007, 1.0291207E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9401893E-006,-1.1721989E-007, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000, 0.0000000E+000,-1.3795489E-007, 1.3645926E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1153179E-006,-1.3659030E-007, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000, 0.0000000E+000,-1.5765850E-007, 1.7432906E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0290324E-005,-1.5591521E-007, 0.0000000E+000, 0.0000000E+000
 1.7999999E-002, 0.0000000E+000, 0.0000000E+000,-1.7736067E-007, 2.1651946E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1465220E-005,-1.7519548E-007, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000, 0.0000000E+000,-1.9706187E-007, 2.6302960E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2640055E-005,-1.9443158E-007, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 0.0000000E+000, 0.0000000E+000,-2.1676206E-007, 3.1385898E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3814871E-005,-2.1362347E-007, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 0.0000000E+000, 0.0000000E+000,-2.3646102E-007, 3.6900697E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4989652E-005,-2.3277095E-007, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000, 0.0000000E+000,-2.5615861E-007, 4.2847284E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6164401E-005,-2.5187388E-007, 0.0000000E+000, 0.0000000E+000
 2.8000001E-002, 0.0000000E+000, 0.0000000E+000,-2.7585477E-007, 4.9225581E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7339110E-005,-2.7093222E-007, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000, 0.0000000E+000,-2.9554949E-007, 5.6035521E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8513771E-005,-2.8994593E-007, 0.0000000E+000, 0.0000000E+000
 3.2000002E-002, 0.0000000E+000, 0.0000000E+000,-3.1524270E-007, 6.3277043E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9688397E-005,-3.0891500E-007, 0.0000000E+000, 0.0000000E+000
 3.4000002E-002, 0.0000000E+000, 0.0000000E+000,-3.3493438E-007, 7.0950096E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0862986E-005,-3.2783937E-007, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000, 0.0000000E+000,-3.5462446E-007, 7.9054630E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2037533E-005,-3.4671899E-007, 0.0000000E+000, 0.0000000E+000
 3.7999999E-002, 0.0000000E+000, 0.0000000E+000,-3.7431287E-007, 8.7590602E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3212046E-005,-3.6555381E-007, 0.0000000E+000, 0.0000000E+000
 3.9999999E-002, 0.0000000E+000, 0.0000000E+000,-3.9399957E-007, 9.6557973E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4386524E-005,-3.8434377E-007, 0.0000000E+000, 0.0000000E+000
 4.1999999E-002, 0.0000000E+000, 0.0000000E+000,-4.1368450E-007, 1.0595671E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5560959E-005,-4.0308883E-007, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 0.0000000E+000, 0.0000000E+000,-4.3336760E-007, 1.1578679E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6735360E-005,-4.2178892E-007, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 0.0000000E+000, 0.0000000E+000,-4.5304881E-007, 1.2604819E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7909721E-005,-4.4044399E-007, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 0.0000000E+000, 0.0000000E+000,-4.7272807E-007, 1.3674089E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9084054E-005,-4.5905398E-007, 0.0000000E+000, 0.0000000E+000
 5.0000001E-002, 0.0000000E+000, 0.0000000E+000,-4.9240531E-007, 1.4786482E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0258338E-005,-4.7761883E-007, 0.0000000E+000, 0.0000000E+000
 5.2000001E-002, 0.0000000E+000, 0.0000000E+000,-5.1016982E-007, 1.5934624E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1232953E-005,-4.9423520E-007, 0.0000000E+000, 0.0000000E+000
 5.4000001E-002, 0.0000000E+000, 0.0000000E+000,-5.2793740E-007, 1.7121651E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2293069E-005,-5.1081575E-007, 0.0000000E+000, 0.0000000E+000
 5.6000002E-002, 0.0000000E+000, 0.0000000E+000,-5.4570390E-007, 1.8347620E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3353588E-005,-5.2735628E-007, 0.0000000E+000, 0.0000000E+000
 5.7999998E-002, 0.0000000E+000, 0.0000000E+000,-5.6346728E-007, 1.9612529E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4414123E-005,-5.4385475E-007, 0.0000000E+000, 0.0000000E+000
 5.9999999E-002, 0.0000000E+000, 0.0000000E+000,-5.8122767E-007, 2.0916366E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5474561E-005,-5.6031130E-007, 0.0000000E+000, 0.0000000E+000
 6.1999999E-002, 0.0000000E+000, 0.0000000E+000,-5.9898567E-007, 2.2259124E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6534919E-005,-5.7672654E-007, 0.0000000E+000, 0.0000000E+000
 6.4000003E-002, 0.0000000E+000, 0.0000000E+000,-6.1674155E-007, 2.3640764E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7595241E-005,-5.9310079E-007, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 0.0000000E+000, 0.0000000E+000,-6.3449527E-007, 2.5061286E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8655533E-005,-6.0943398E-007, 0.0000000E+000, 0.0000000E+000
 6.8000004E-002, 0.0000000E+000, 0.0000000E+000,-6.5224667E-007, 2.6520723E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9715802E-005,-6.2572595E-007, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 0.0000000E+000, 0.0000000E+000,-6.6999564E-007, 2.8019077E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0776052E-005,-6.4197656E-007, 0.0000000E+000, 0.0000000E+000
 7.1999997E-002, 0.0000000E+000, 0.0000000E+000,-6.8774211E-007, 2.9556349E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1836262E-005,-6.5818576E-007, 0.0000000E+000, 0.0000000E+000
 7.4000001E-002, 0.0000000E+000, 0.0000000E+000,-7.0548604E-007, 3.1132543E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2896445E-005,-6.7435350E-007, 0.0000000E+000, 0.0000000E+000
 7.5999998E-002, 0.0000000E+000, 0.0000000E+000,-7.2322735E-007, 3.2747662E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3956595E-005,-6.9047969E-007, 0.0000000E+000, 0.0000000E+000
 7.8000002E-002, 0.0000000E+000, 0.0000000E+000,-7.4096598E-007, 3.4401716E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5016717E-005,-7.0656427E-007, 0.0000000E+000, 0.0000000E+000
 7.9999998E-002, 0.0000000E+000, 0.0000000E+000,-7.5870186E-007, 3.6094712E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6076810E-005,-7.2260715E-007, 0.0000000E+000, 0.0000000E+000
 8.2000002E-002, 0.0000000E+000, 0.0000000E+000,-7.7643490E-007, 3.7826649E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7136874E-005,-7.3860825E-007, 0.0000000E+000, 0.0000000E+000
 8.3999999E-002, 0.0000000E+000, 0.0000000E+000,-7.9416503E-007, 3.9597534E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8196910E-005,-7.5456750E-007, 0.0000000E+000, 0.0000000E+000
 8.6000003E-002, 0.0000000E+000, 0.0000000E+000,-8.1189218E-007, 4.1407368E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9256915E-005,-7.7048481E-007, 0.0000000E+000, 0.0000000E+000
 8.8000000E-002, 0.0000000E+000, 0.0000000E+000,-8.2961625E-007, 4.3256147E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0316893E-005,-7.8636010E-007, 0.0000000E+000, 0.0000000E+000
 9.0000004E-002, 0.0000000E+000, 0.0000000E+000,-8.4733717E-007, 4.5143876E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1376844E-005,-8.0219329E-007, 0.0000000E+000, 0.0000000E+000
 9.2000000E-002, 0.0000000E+000, 0.0000000E+000,-8.6505485E-007, 4.7070555E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2436767E-005,-8.1798429E-007, 0.0000000E+000, 0.0000000E+000
 9.3999997E-002, 0.0000000E+000, 0.0000000E+000,-8.8276920E-007, 4.9036179E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3496659E-005,-8.3373303E-007, 0.0000000E+000, 0.0000000E+000
 9.6000001E-002, 0.0000000E+000, 0.0000000E+000,-9.0048015E-007, 5.1040736E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4556525E-005,-8.4943941E-007, 0.0000000E+000, 0.0000000E+000
 9.7999997E-002, 0.0000000E+000, 0.0000000E+000,-9.1818758E-007, 5.3084213E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5616368E-005,-8.6510337E-007, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 0.0000000E+000, 0.0000000E+000,-9.3589142E-007, 5.5166626E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6676178E-005,-8.8072479E-007, 0.0000000E+000, 0.0000000E+000
 1.0200000E-001, 0.0000000E+000, 0.0000000E+000,-9.4977410E-007, 5.7273293E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7336677E-005,-8.9250080E-007, 0.0000000E+000, 0.0000000E+000
 1.0400000E-001, 0.0000000E+000, 0.0000000E+000,-9.6366374E-007, 5.9410469E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8168234E-005,-9.0425327E-007, 0.0000000E+000, 0.0000000E+000
 1.0600000E-001, 0.0000000E+000, 0.0000000E+000,-9.7755204E-007, 6.1578258E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9000628E-005,-9.1597379E-007, 0.0000000E+000, 0.0000000E+000
 1.0800000E-001, 0.0000000E+000, 0.0000000E+000,-9.9143497E-007, 6.3776655E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9833105E-005,-9.2765832E-007, 0.0000000E+000, 0.0000000E+000
 1.1000000E-001, 0.0000000E+000, 0.0000000E+000,-1.0053128E-006, 6.6005626E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0665426E-005,-9.3930721E-007, 0.0000000E+000, 0.0000000E+000
 1.1200000E-001, 0.0000000E+000, 0.0000000E+000,-1.0191869E-006, 6.8265152E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1497632E-005,-9.5092172E-007, 0.0000000E+000, 0.0000000E+000
 1.1400000E-001, 0.0000000E+000, 0.0000000E+000,-1.0330577E-006, 7.0555236E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2329799E-005,-9.6250243E-007, 0.0000000E+000, 0.0000000E+000
 1.1600000E-001, 0.0000000E+000, 0.0000000E+000,-1.0469252E-006, 7.2875856E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3161959E-005,-9.7404930E-007, 0.0000000E+000, 0.0000000E+000
 1.1800000E-001, 0.0000000E+000, 0.0000000E+000,-1.0607891E-006, 7.5227006E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3994118E-005,-9.8556209E-007, 0.0000000E+000, 0.0000000E+000
 1.2000000E-001, 0.0000000E+000, 0.0000000E+000,-1.0746493E-006, 7.7608694E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4826252E-005,-9.9704061E-007, 0.0000000E+000, 0.0000000E+000
 1.2200000E-001, 0.0000000E+000, 0.0000000E+000,-1.0885057E-006, 8.0020922E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5658366E-005,-1.0084848E-006, 0.0000000E+000, 0.0000000E+000
 1.2400000E-001, 0.0000000E+000, 0.0000000E+000,-1.1023582E-006, 8.2463691E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6490463E-005,-1.0198945E-006, 0.0000000E+000, 0.0000000E+000
 1.2600000E-001, 0.0000000E+000, 0.0000000E+000,-1.1162067E-006, 8.4936999E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7322534E-005,-1.0312697E-006, 0.0000000E+000, 0.0000000E+000
 1.2800001E-001, 0.0000000E+000, 0.0000000E+000,-1.1300512E-006, 8.7440837E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8154588E-005,-1.0426104E-006, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 0.0000000E+000, 0.0000000E+000,-1.1438916E-006, 8.9975196E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8986618E-005,-1.0539164E-006, 0.0000000E+000, 0.0000000E+000
 1.3200000E-001, 0.0000000E+000, 0.0000000E+000,-1.1577277E-006, 9.2540066E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9818633E-005,-1.0651877E-006, 0.0000000E+000, 0.0000000E+000
 1.3400000E-001, 0.0000000E+000, 0.0000000E+000,-1.1715595E-006, 9.5135431E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0650625E-005,-1.0764241E-006, 0.0000000E+000, 0.0000000E+000
 1.3600001E-001, 0.0000000E+000, 0.0000000E+000,-1.1853868E-006, 9.7761284E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1482604E-005,-1.0876256E-006, 0.0000000E+000, 0.0000000E+000
 1.3800000E-001, 0.0000000E+000, 0.0000000E+000,-1.1992096E-006, 1.0041761E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2314551E-005,-1.0987920E-006, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 0.0000000E+000, 0.0000000E+000,-1.2130278E-006, 1.0310441E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3146490E-005,-1.1099234E-006, 0.0000000E+000, 0.0000000E+000
