s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000, 0.0000000E+000,-3.9418589E-008, 1.3363042E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5516935E-006,-3.9284959E-008, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000, 0.0000000E+000,-8.8689867E-008, 6.1192935E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1777896E-006,-8.8077937E-008, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000, 0.0000000E+000,-1.3795374E-007, 1.3785409E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1153249E-006,-1.3657520E-007, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000, 0.0000000E+000,-1.8721122E-007, 2.3972743E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2052620E-005,-1.8481395E-007, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000, 0.0000000E+000,-2.3646058E-007, 3.7039947E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4989646E-005,-2.3275659E-007, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000, 0.0000000E+000,-2.8570212E-007, 5.2625880E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7926439E-005,-2.8043953E-007, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000, 0.0000000E+000,-3.3493385E-007, 7.1089264E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0862973E-005,-3.2782492E-007, 0.0000000E+000, 0.0000000E+000
 3.9999999E-002, 0.0000000E+000, 0.0000000E+000,-3.8415622E-007, 9.2069642E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3799286E-005,-3.7494925E-007, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 0.0000000E+000, 0.0000000E+000,-4.3336696E-007, 1.1592593E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6735347E-005,-4.2177437E-007, 0.0000000E+000, 0.0000000E+000
 5.0000001E-002, 0.0000000E+000, 0.0000000E+000,-4.8256668E-007, 1.4229824E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9671196E-005,-4.6833685E-007, 0.0000000E+000, 0.0000000E+000
 5.6000002E-002, 0.0000000E+000, 0.0000000E+000,-5.2793944E-007, 1.7134207E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2293252E-005,-5.1080524E-007, 0.0000000E+000, 0.0000000E+000
 5.9999999E-002, 0.0000000E+000, 0.0000000E+000,-5.7234724E-007, 2.0264043E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4944342E-005,-5.5208320E-007, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 0.0000000E+000, 0.0000000E+000,-6.1674084E-007, 2.3653317E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7595227E-005,-5.9308752E-007, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 0.0000000E+000, 0.0000000E+000,-6.6112112E-007, 2.7269494E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0245929E-005,-6.3385163E-007, 0.0000000E+000, 0.0000000E+000
 7.5999998E-002, 0.0000000E+000, 0.0000000E+000,-7.0548512E-007, 3.1145114E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2896432E-005,-6.7434001E-007, 0.0000000E+000, 0.0000000E+000
 7.9999998E-002, 0.0000000E+000, 0.0000000E+000,-7.4983387E-007, 3.5247811E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5546763E-005,-7.1458606E-007, 0.0000000E+000, 0.0000000E+000
 8.6000003E-002, 0.0000000E+000, 0.0000000E+000,-7.9416397E-007, 3.9610115E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8196898E-005,-7.5455386E-007, 0.0000000E+000, 0.0000000E+000
 9.0000004E-002, 0.0000000E+000, 0.0000000E+000,-8.3847663E-007, 4.4199610E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0846868E-005,-7.9427702E-007, 0.0000000E+000, 0.0000000E+000
 9.6000001E-002, 0.0000000E+000, 0.0000000E+000,-8.8276798E-007, 4.9048756E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3496649E-005,-8.3371922E-007, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 0.0000000E+000, 0.0000000E+000,-9.2703940E-007, 5.4125019E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6146269E-005,-8.7291438E-007, 0.0000000E+000, 0.0000000E+000
 1.0600000E-001, 0.0000000E+000, 0.0000000E+000,-9.6366801E-007, 5.9420343E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8168606E-005,-9.0424767E-007, 0.0000000E+000, 0.0000000E+000
 1.1000000E-001, 0.0000000E+000, 0.0000000E+000,-9.9837336E-007, 6.4890847E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0249262E-005,-9.3348251E-007, 0.0000000E+000, 0.0000000E+000
 1.1600000E-001, 0.0000000E+000, 0.0000000E+000,-1.0330565E-006, 7.0565112E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2329784E-005,-9.6249138E-007, 0.0000000E+000, 0.0000000E+000
 1.2000000E-001, 0.0000000E+000, 0.0000000E+000,-1.0677190E-006, 7.6417546E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4410183E-005,-9.9130150E-007, 0.0000000E+000, 0.0000000E+000
 1.2600000E-001, 0.0000000E+000, 0.0000000E+000,-1.1023567E-006, 8.2473563E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6490448E-005,-1.0198831E-006, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 0.0000000E+000, 0.0000000E+000,-1.1369712E-006, 8.8707705E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8570597E-005,-1.0482635E-006, 0.0000000E+000, 0.0000000E+000
 1.3600001E-001, 0.0000000E+000, 0.0000000E+000,-1.1715578E-006, 9.5145278E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0650612E-005,-1.0764125E-006, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 0.0000000E+000, 0.0000000E+000,-1.2061184E-006, 1.0176069E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2730513E-005,-1.1043577E-006, 0.0000000E+000, 0.0000000E+000
 1.4600000E-001, 0.0000000E+000, 0.0000000E+000,-1.2406477E-006, 1.0857919E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4810286E-005,-1.1320686E-006, 0.0000000E+000, 0.0000000E+000
 1.5000001E-001, 0.0000000E+000, 0.0000000E+000,-1.2751480E-006, 1.1557525E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6889945E-005,-1.1595728E-006, 0.0000000E+000, 0.0000000E+000
 1.5600000E-001, 0.0000000E+000, 0.0000000E+000,-1.2994749E-006, 1.2271973E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8133350E-005,-1.1767552E-006, 0.0000000E+000, 0.0000000E+000
 1.6000000E-001, 0.0000000E+000, 0.0000000E+000,-1.3212431E-006, 1.2997137E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9454615E-005,-1.1912717E-006, 0.0000000E+000, 0.0000000E+000
 1.6599999E-001, 0.0000000E+000, 0.0000000E+000,-1.3429831E-006, 1.3735020E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0775802E-005,-1.2056329E-006, 0.0000000E+000, 0.0000000E+000
 1.7000000E-001, 0.0000000E+000, 0.0000000E+000,-1.3646975E-006, 1.4484016E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2096917E-005,-1.2198574E-006, 0.0000000E+000, 0.0000000E+000
 1.7600000E-001, 0.0000000E+000, 0.0000000E+000,-1.3863812E-006, 1.5245665E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3417952E-005,-1.2339246E-006, 0.0000000E+000, 0.0000000E+000
 1.8000001E-001, 0.0000000E+000, 0.0000000E+000,-1.4080368E-006, 1.6018391E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4738915E-005,-1.2478529E-006, 0.0000000E+000, 0.0000000E+000
 1.8600000E-001, 0.0000000E+000, 0.0000000E+000,-1.4296588E-006, 1.6803792E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6059796E-005,-1.2616209E-006, 0.0000000E+000, 0.0000000E+000
 1.9000000E-001, 0.0000000E+000, 0.0000000E+000,-1.4512501E-006, 1.7600172E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7380606E-005,-1.2752484E-006, 0.0000000E+000, 0.0000000E+000
 1.9599999E-001, 0.0000000E+000, 0.0000000E+000,-1.4728047E-006, 1.8408905E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8701337E-005,-1.2887157E-006, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 0.0000000E+000, 0.0000000E+000,-1.4943257E-006, 1.9228497E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0021997E-005,-1.3020408E-006, 0.0000000E+000, 0.0000000E+000
 2.0600000E-001, 0.0000000E+000, 0.0000000E+000,-1.5044361E-006, 2.0054268E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0401955E-005,-1.3038935E-006, 0.0000000E+000, 0.0000000E+000
 2.0999999E-001, 0.0000000E+000, 0.0000000E+000,-1.5116804E-006, 2.0882860E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0869576E-005,-1.3028518E-006, 0.0000000E+000, 0.0000000E+000
 2.1600001E-001, 0.0000000E+000, 0.0000000E+000,-1.5188988E-006, 2.1715222E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1337165E-005,-1.3017465E-006, 0.0000000E+000, 0.0000000E+000
 2.2000000E-001, 0.0000000E+000, 0.0000000E+000,-1.5260939E-006, 2.2550904E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1804727E-005,-1.3005849E-006, 0.0000000E+000, 0.0000000E+000
 2.2600000E-001, 0.0000000E+000, 0.0000000E+000,-1.5332618E-006, 2.3390548E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2272254E-005,-1.2993563E-006, 0.0000000E+000, 0.0000000E+000
 2.3000000E-001, 0.0000000E+000, 0.0000000E+000,-1.5404051E-006, 2.4233519E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2739749E-005,-1.2980699E-006, 0.0000000E+000, 0.0000000E+000
 2.3600000E-001, 0.0000000E+000, 0.0000000E+000,-1.5475197E-006, 2.5080088E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3207211E-005,-1.2967188E-006, 0.0000000E+000, 0.0000000E+000
 2.3999999E-001, 0.0000000E+000, 0.0000000E+000,-1.5546086E-006, 2.5929504E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3674647E-005,-1.2953135E-006, 0.0000000E+000, 0.0000000E+000
 2.4600001E-001, 0.0000000E+000, 0.0000000E+000,-1.5616673E-006, 2.6781836E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4142053E-005,-1.2938489E-006, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000,-1.5686989E-006, 2.7636964E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4609434E-005,-1.2923293E-006, 0.0000000E+000, 0.0000000E+000
 2.5600001E-001, 0.0000000E+000, 0.0000000E+000,-1.5631193E-006, 2.8488677E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4031686E-005,-1.2782326E-006, 0.0000000E+000, 0.0000000E+000
 2.5999999E-001, 0.0000000E+000, 0.0000000E+000,-1.5543851E-006, 2.9334795E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3551414E-005,-1.2610371E-006, 0.0000000E+000, 0.0000000E+000
 2.6600000E-001, 0.0000000E+000, 0.0000000E+000,-1.5456426E-006, 3.0175195E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3071166E-005,-1.2438906E-006, 0.0000000E+000, 0.0000000E+000
 2.7000001E-001, 0.0000000E+000, 0.0000000E+000,-1.5368932E-006, 3.1010659E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2590936E-005,-1.2267866E-006, 0.0000000E+000, 0.0000000E+000
 2.7599999E-001, 0.0000000E+000, 0.0000000E+000,-1.5281363E-006, 3.1840531E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2110724E-005,-1.2097310E-006, 0.0000000E+000, 0.0000000E+000
 2.8000000E-001, 0.0000000E+000, 0.0000000E+000,-1.5193732E-006, 3.2665517E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1630532E-005,-1.1927180E-006, 0.0000000E+000, 0.0000000E+000
 2.8600001E-001, 0.0000000E+000, 0.0000000E+000,-1.5106032E-006, 3.3484888E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1150360E-005,-1.1757543E-006, 0.0000000E+000, 0.0000000E+000
 2.8999999E-001, 0.0000000E+000, 0.0000000E+000,-1.5018275E-006, 3.4299300E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0670208E-005,-1.1588345E-006, 0.0000000E+000, 0.0000000E+000
 2.9600000E-001, 0.0000000E+000, 0.0000000E+000,-1.4930458E-006, 3.5108029E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0190075E-005,-1.1419655E-006, 0.0000000E+000, 0.0000000E+000
 3.0000001E-001, 0.0000000E+000, 0.0000000E+000,-1.4842591E-006, 3.5911788E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9709966E-005,-1.1251412E-006, 0.0000000E+000, 0.0000000E+000
 3.0599999E-001, 0.0000000E+000, 0.0000000E+000,-1.4642072E-006, 3.6703765E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8289337E-005,-1.0971696E-006, 0.0000000E+000, 0.0000000E+000
 3.1000000E-001, 0.0000000E+000, 0.0000000E+000,-1.4413555E-006, 3.7482905E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6956525E-005,-1.0665265E-006, 0.0000000E+000, 0.0000000E+000
 3.1600001E-001, 0.0000000E+000, 0.0000000E+000,-1.4185251E-006, 3.8247874E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5623799E-005,-1.0360463E-006, 0.0000000E+000, 0.0000000E+000
 3.1999999E-001, 0.0000000E+000, 0.0000000E+000,-1.3957140E-006, 3.9000389E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4291149E-005,-1.0057101E-006, 0.0000000E+000, 0.0000000E+000
 3.2600001E-001, 0.0000000E+000, 0.0000000E+000,-1.3729259E-006, 3.9738660E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2958586E-005,-9.7553927E-007, 0.0000000E+000, 0.0000000E+000
 3.3000001E-001, 0.0000000E+000, 0.0000000E+000,-1.3501586E-006, 4.0464476E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1626102E-005,-9.4551389E-007, 0.0000000E+000, 0.0000000E+000
 3.3600000E-001, 0.0000000E+000, 0.0000000E+000,-1.3274161E-006, 4.1176038E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0293711E-005,-9.1565571E-007, 0.0000000E+000, 0.0000000E+000
 3.4000000E-001, 0.0000000E+000, 0.0000000E+000,-1.3046958E-006, 4.1875200E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8961402E-005,-8.8594380E-007, 0.0000000E+000, 0.0000000E+000
 3.4599999E-001, 0.0000000E+000, 0.0000000E+000,-1.2820017E-006, 4.2560173E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7629187E-005,-8.5639996E-007, 0.0000000E+000, 0.0000000E+000
 3.4999999E-001, 0.0000000E+000, 0.0000000E+000,-1.2593311E-006, 4.3232816E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6297057E-005,-8.2700294E-007, 0.0000000E+000, 0.0000000E+000
