s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6396809E-003, 2.9284128E-001, 0.0000000E+000, 3.5189595E-002, 1.6774975E+001, 9.6383937E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2793617E-003, 2.9171377E-001, 0.0000000E+000, 3.5463253E-002,-7.3296511E-002, 8.9765706E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9190426E-003, 2.9012682E-001, 0.0000000E+000, 3.5641888E-002,-1.0013166E-001, 8.6812063E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0558723E-002, 2.8836202E-001, 0.0000000E+000, 3.5800050E-002,-1.0575935E-001, 3.2452606E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3462372E-002, 2.8634433E-001, 0.0000000E+000, 3.5982505E-002,-1.0639217E-001, 1.0940168E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6366021E-002, 2.8426482E-001, 0.0000000E+000, 3.6178456E-002,-1.0629233E-001, 1.9768531E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9560035E-002, 2.8186621E-001, 0.0000000E+000, 3.6400580E-002,-1.0736997E-001, 1.0014711E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2754049E-002, 2.7931639E-001, 0.0000000E+000, 3.6621959E-002,-1.1015953E-001, 1.2352296E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6267464E-002, 2.7632242E-001, 0.0000000E+000, 3.6861591E-002,-1.1345931E-001, 4.5031168E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9780880E-002, 2.7313382E-001, 0.0000000E+000, 3.7098118E-002,-1.1716657E-001, 2.6585180E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3645636E-002, 2.6941207E-001, 0.0000000E+000, 3.7356876E-002,-1.2044769E-001, 9.8677524E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7510393E-002, 2.6547291E-001, 0.0000000E+000, 3.7615176E-002,-1.2398973E-001, 2.6978420E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1375150E-002, 2.6132058E-001, 0.0000000E+000, 3.7872999E-002,-1.2741818E-001, 2.7079218E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5239907E-002, 2.5695865E-001, 0.0000000E+000, 3.8129899E-002,-1.3079031E-001, 2.1030445E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.9491139E-002, 2.5192417E-001, 0.0000000E+000, 3.8410961E-002,-1.3392130E-001, 1.9236628E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3742372E-002, 2.4370901E-001, 0.0000000E+000, 3.8131239E-002,-2.4310663E-001, 2.2113655E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7993604E-002, 2.3500729E-001, 0.0000000E+000, 3.7760432E-002,-2.5724346E-001, 2.1085860E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2244836E-002, 2.2619256E-001, 0.0000000E+000, 3.7378213E-002,-2.5824155E-001, 6.0021651E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6921192E-002, 2.1629414E-001, 0.0000000E+000, 3.6929717E-002,-2.6171958E-001, 5.3612368E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.1597548E-002, 2.0633438E-001, 0.0000000E+000, 3.6471720E-002,-2.6135738E-001, 6.7614644E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6273904E-002, 1.9648449E-001, 0.0000000E+000, 3.6030629E-002,-2.5595441E-001, 4.1756561E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0950259E-002, 1.8647272E-001, 0.0000000E+000, 3.5550962E-002,-2.5998574E-001, 2.3598765E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5626615E-002, 1.7647087E-001, 0.0000000E+000, 3.5057366E-002,-2.5907507E-001, 2.8582507E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0302971E-002, 1.6665363E-001, 0.0000000E+000, 3.4579338E-002,-2.5299637E-001, 2.4229185E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
