,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-23T17:41:07.251+02:00,   0.264E-02,   0.00264,   2.98780
      2,2020-06-23T17:41:07.309+02:00,   0.264E-02,   0.00528,   3.22024
      3,2020-06-23T17:41:07.374+02:00,   0.264E-02,   0.00792,   3.46443
      4,2020-06-23T17:41:07.447+02:00,   0.264E-02,   0.01056,   3.75912
      5,2020-06-23T17:41:07.503+02:00,   0.290E-02,   0.01346,   3.98070
      6,2020-06-23T17:41:07.555+02:00,   0.290E-02,   0.01637,   4.18748
      7,2020-06-23T17:41:07.654+02:00,   0.319E-02,   0.01956,   4.55811
      8,2020-06-23T17:41:07.707+02:00,   0.319E-02,   0.02275,   4.76938
      9,2020-06-23T17:41:07.758+02:00,   0.351E-02,   0.02627,   4.97157
     10,2020-06-23T17:41:07.831+02:00,   0.351E-02,   0.02978,   5.26363
     20,2020-06-23T17:41:08.475+02:00,   0.468E-02,   0.07160,   7.76216
     30,2020-06-23T17:41:09.192+02:00,   0.468E-02,   0.11836,  10.50591
     40,2020-06-23T17:41:09.818+02:00,   0.468E-02,   0.16512,  12.97454
     50,2020-06-23T17:41:10.422+02:00,   0.468E-02,   0.21189,  15.34145
     60,2020-06-23T17:41:11.041+02:00,   0.407E-02,   0.25805,  17.77046
     70,2020-06-23T17:41:11.662+02:00,   0.407E-02,   0.29876,  20.21993
     80,2020-06-23T17:41:12.470+02:00,   0.356E-02,   0.33537,  23.30367
     90,2020-06-23T17:41:13.139+02:00,   0.356E-02,   0.37094,  25.88746
    100,2020-06-23T17:41:13.856+02:00,   0.319E-02,   0.40542,  28.66052
    130,2020-06-23T17:41:16.456+02:00,   0.194E-02,   0.50000,  38.47334
