,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-23T17:56:56.430+02:00,   0.284E-02,   0.00284,   0.79601
      2,2020-06-23T17:56:56.454+02:00,   0.284E-02,   0.00567,   0.84194
      3,2020-06-23T17:56:56.508+02:00,   0.284E-02,   0.00851,   0.92250
      4,2020-06-23T17:56:56.537+02:00,   0.284E-02,   0.01134,   0.98206
      5,2020-06-23T17:56:56.560+02:00,   0.284E-02,   0.01418,   1.02636
      6,2020-06-23T17:56:56.582+02:00,   0.284E-02,   0.01701,   1.07176
      7,2020-06-23T17:56:56.608+02:00,   0.312E-02,   0.02013,   1.12260
      8,2020-06-23T17:56:56.630+02:00,   0.343E-02,   0.02356,   1.16740
      9,2020-06-23T17:56:56.653+02:00,   0.343E-02,   0.02699,   1.21196
     10,2020-06-23T17:56:56.682+02:00,   0.343E-02,   0.03042,   1.27006
     20,2020-06-23T17:56:56.915+02:00,   0.457E-02,   0.07242,   1.70928
     30,2020-06-23T17:56:57.153+02:00,   0.457E-02,   0.11808,   2.14443
     40,2020-06-23T17:56:57.353+02:00,   0.502E-02,   0.16465,   2.54125
     50,2020-06-23T17:56:57.568+02:00,   0.452E-02,   0.21335,   2.94040
     60,2020-06-23T17:56:57.784+02:00,   0.452E-02,   0.25851,   3.34483
     70,2020-06-23T17:56:58.007+02:00,   0.398E-02,   0.29830,   3.76345
     80,2020-06-23T17:56:58.192+02:00,   0.358E-02,   0.33487,   4.12892
     90,2020-06-23T17:56:58.401+02:00,   0.358E-02,   0.37062,   4.51188
    100,2020-06-23T17:56:58.649+02:00,   0.319E-02,   0.40522,   4.94952
    130,2020-06-23T17:56:59.250+02:00,   0.229E-02,   0.50000,   6.09114
