,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-23T17:57:16.420+02:00,   0.264E-02,   0.00264,   1.04696
      2,2020-06-23T17:57:16.528+02:00,   0.264E-02,   0.00528,   1.26286
      3,2020-06-23T17:57:16.610+02:00,   0.264E-02,   0.00792,   1.39030
      4,2020-06-23T17:57:16.651+02:00,   0.264E-02,   0.01056,   1.47323
      5,2020-06-23T17:57:16.685+02:00,   0.290E-02,   0.01346,   1.54099
      6,2020-06-23T17:57:16.721+02:00,   0.290E-02,   0.01637,   1.61009
      7,2020-06-23T17:57:16.770+02:00,   0.319E-02,   0.01956,   1.70769
      8,2020-06-23T17:57:16.804+02:00,   0.319E-02,   0.02275,   1.77515
      9,2020-06-23T17:57:16.838+02:00,   0.351E-02,   0.02627,   1.84237
     10,2020-06-23T17:57:16.878+02:00,   0.351E-02,   0.02978,   1.92351
     20,2020-06-23T17:57:18.109+02:00,   0.468E-02,   0.07160,   3.81896
     30,2020-06-23T17:57:18.496+02:00,   0.468E-02,   0.11836,   4.56416
     40,2020-06-23T17:57:18.866+02:00,   0.468E-02,   0.16512,   5.29825
     50,2020-06-23T17:57:19.264+02:00,   0.468E-02,   0.21189,   6.06125
     60,2020-06-23T17:57:19.667+02:00,   0.421E-02,   0.25725,   6.83293
     70,2020-06-23T17:57:20.071+02:00,   0.421E-02,   0.29933,   7.60815
     80,2020-06-23T17:57:20.459+02:00,   0.327E-02,   0.33449,   8.37919
     90,2020-06-23T17:57:20.847+02:00,   0.327E-02,   0.36723,   9.12323
    100,2020-06-23T17:57:21.732+02:00,   0.327E-02,   0.39997,  10.57667
    131,2020-06-23T17:57:25.956+02:00,   0.183E-02,   0.50000,  16.91714
