,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-23T17:57:56.397+02:00,   0.264E-02,   0.00264,   1.68466
      2,2020-06-23T17:57:56.725+02:00,   0.264E-02,   0.00528,   2.34058
      3,2020-06-23T17:57:56.839+02:00,   0.264E-02,   0.00792,   2.53977
      4,2020-06-23T17:57:56.937+02:00,   0.264E-02,   0.01056,   2.73649
      5,2020-06-23T17:57:57.026+02:00,   0.290E-02,   0.01346,   2.91408
      6,2020-06-23T17:57:57.134+02:00,   0.290E-02,   0.01636,   3.13045
      7,2020-06-23T17:57:57.239+02:00,   0.319E-02,   0.01956,   3.34016
      8,2020-06-23T17:57:57.346+02:00,   0.319E-02,   0.02275,   3.55259
      9,2020-06-23T17:57:57.452+02:00,   0.351E-02,   0.02627,   3.76595
     10,2020-06-23T17:57:57.566+02:00,   0.351E-02,   0.02978,   3.99268
     20,2020-06-23T17:57:58.886+02:00,   0.468E-02,   0.07159,   6.60021
     30,2020-06-23T17:58:00.218+02:00,   0.468E-02,   0.11835,   9.23451
     40,2020-06-23T17:58:02.042+02:00,   0.468E-02,   0.16511,  12.80796
     50,2020-06-23T17:58:03.446+02:00,   0.468E-02,   0.21187,  15.59041
     60,2020-06-23T17:58:05.157+02:00,   0.407E-02,   0.25803,  18.94541
     70,2020-06-23T17:58:07.308+02:00,   0.407E-02,   0.29873,  23.10222
     80,2020-06-23T17:58:08.978+02:00,   0.353E-02,   0.33511,  26.43609
     90,2020-06-23T17:58:10.657+02:00,   0.353E-02,   0.37040,  29.76437
    100,2020-06-23T17:58:12.880+02:00,   0.316E-02,   0.40496,  34.05078
    130,2020-06-23T17:58:21.714+02:00,   0.240E-02,   0.50000,  51.36661
