,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-23T17:57:16.446+02:00,   0.264E-02,   0.00264,   1.40010
      2,2020-06-23T17:57:16.704+02:00,   0.264E-02,   0.00528,   1.91412
      3,2020-06-23T17:57:16.768+02:00,   0.264E-02,   0.00792,   2.01264
      4,2020-06-23T17:57:16.808+02:00,   0.264E-02,   0.01056,   2.09111
      5,2020-06-23T17:57:16.847+02:00,   0.290E-02,   0.01346,   2.17021
      6,2020-06-23T17:57:16.887+02:00,   0.290E-02,   0.01636,   2.24928
      7,2020-06-23T17:57:16.933+02:00,   0.319E-02,   0.01956,   2.34118
      8,2020-06-23T17:57:16.972+02:00,   0.319E-02,   0.02275,   2.42011
      9,2020-06-23T17:57:17.014+02:00,   0.351E-02,   0.02627,   2.50368
     10,2020-06-23T17:57:17.064+02:00,   0.351E-02,   0.02978,   2.60215
     20,2020-06-23T17:57:17.666+02:00,   0.468E-02,   0.07159,   3.77343
     30,2020-06-23T17:57:18.369+02:00,   0.468E-02,   0.11835,   5.14459
     40,2020-06-23T17:57:19.156+02:00,   0.468E-02,   0.16511,   6.71246
     50,2020-06-23T17:57:19.912+02:00,   0.468E-02,   0.21187,   8.18867
     60,2020-06-23T17:57:20.823+02:00,   0.421E-02,   0.25723,   9.92973
     70,2020-06-23T17:57:21.519+02:00,   0.421E-02,   0.29932,  11.29511
     80,2020-06-23T17:57:22.215+02:00,   0.327E-02,   0.33448,  12.68355
     90,2020-06-23T17:57:22.900+02:00,   0.327E-02,   0.36722,  14.01980
    100,2020-06-23T17:57:23.483+02:00,   0.327E-02,   0.39996,  15.12610
    131,2020-06-23T17:57:25.535+02:00,   0.182E-02,   0.50000,  19.12927
