s,s
Time,"cpu"
 0.0000000E+000, 8.7538859E+000
 1.5811388E-001, 1.0097827E+001
 3.1622777E-001, 1.0973342E+001
 4.7434165E-001, 1.2401787E+001
 6.3245553E-001, 1.4322655E+001
 6.7010498E-001, 1.6950710E+001
 7.1151936E-001, 1.8907545E+001
 7.5707519E-001, 2.0599231E+001
 8.0718660E-001, 2.1639162E+001
 8.6230915E-001, 2.2698080E+001
 9.2294395E-001, 2.4336418E+001
 9.8357876E-001, 2.5925270E+001
 1.0352559E+000, 2.8217432E+001
 1.0808247E+000, 3.0857820E+001
 1.1263935E+000, 3.2460190E+001
 1.1648919E+000, 3.4607776E+001
 1.1990164E+000, 3.6356239E+001
 1.2331408E+000, 3.7695991E+001
 1.2672653E+000, 3.8539730E+001
 1.3013898E+000, 3.9934910E+001
 1.3355142E+000, 4.1356300E+001
 1.3696387E+000, 4.2985462E+001
 1.3994685E+000, 4.5515613E+001
 1.4292984E+000, 4.6720768E+001
 1.4591282E+000, 4.7799267E+001
 1.4889580E+000, 4.9312191E+001
 1.5187878E+000, 5.1006569E+001
 1.5486176E+000, 5.2667206E+001
 1.5753411E+000, 5.5094646E+001
 1.5978447E+000, 5.7803932E+001
 1.6203483E+000, 5.9157161E+001
 1.6451023E+000, 6.0590904E+001
 1.6698563E+000, 6.2087867E+001
 1.6946103E+000, 6.3600952E+001
 1.7193643E+000, 6.5208843E+001
 1.7441183E+000, 6.6952274E+001
 1.7662218E+000, 6.9287212E+001
 1.7883252E+000, 7.0899578E+001
 1.8081676E+000, 7.3415607E+001
 1.8280099E+000, 7.4678074E+001
 1.8478522E+000, 7.6107708E+001
 1.8676945E+000, 7.7702167E+001
 1.8875368E+000, 7.9355571E+001
 1.9073791E+000, 8.1027378E+001
 1.9272214E+000, 8.2620136E+001
 1.9470637E+000, 8.4252613E+001
 1.9669060E+000, 8.6008548E+001
 1.9867483E+000, 8.7715847E+001
 2.0040578E+000, 9.0060398E+001
 2.0213672E+000, 9.1645008E+001
 2.0386767E+000, 9.3290371E+001
 2.0559862E+000, 9.4875377E+001
 2.0715235E+000, 9.7573406E+001
 2.0870608E+000, 9.8965763E+001
 2.1025981E+000, 1.0037865E+002
 2.1181355E+000, 1.0230497E+002
 2.1316950E+000, 1.0476389E+002
 2.1452546E+000, 1.0641751E+002
 2.1588142E+000, 1.0818502E+002
 2.1723738E+000, 1.0987543E+002
 2.1859333E+000, 1.1147663E+002
 2.1994929E+000, 1.1331350E+002
 2.2130525E+000, 1.1525911E+002
 2.2266121E+000, 1.1667134E+002
 2.2401716E+000, 1.1852766E+002
 2.2537312E+000, 1.2019742E+002
 2.2672908E+000, 1.2179480E+002
 2.2808504E+000, 1.2329158E+002
 2.2944099E+000, 1.2452591E+002
 2.3079695E+000, 1.2613386E+002
 2.3215291E+000, 1.2755069E+002
 2.3350887E+000, 1.2909167E+002
 2.3470953E+000, 1.3163967E+002
 2.3591018E+000, 1.3341534E+002
 2.3711084E+000, 1.3500085E+002
 2.3831150E+000, 1.3674852E+002
 2.3951216E+000, 1.3833523E+002
 2.4071282E+000, 1.3992050E+002
 2.4191347E+000, 1.4196794E+002
 2.4311413E+000, 1.4390577E+002
 2.4431479E+000, 1.4578741E+002
 2.4551545E+000, 1.4739329E+002
 2.4671611E+000, 1.4919482E+002
 2.4911742E+000, 1.5136940E+002
 2.5271940E+000, 1.5510296E+002
 2.5512071E+000, 1.5931144E+002
 2.5872269E+000, 1.6339793E+002
 2.6112400E+000, 1.6785894E+002
 2.6472598E+000, 1.7144158E+002
 2.6712729E+000, 1.7480218E+002
 2.7072927E+000, 1.7848441E+002
