s,s
Time,"cpu"
 0.0000000E+000, 3.2481299E+001
 1.5811388E-001, 5.1296538E+001
 3.1622777E-001, 8.6746245E+001
 4.7434165E-001, 1.4845611E+002
 5.3814420E-001, 2.8018973E+002
 6.0832701E-001, 3.8553525E+002
 6.8552809E-001, 4.5581647E+002
 7.7044929E-001, 5.8753555E+002
 8.4035418E-001, 7.3697299E+002
 9.1025908E-001, 8.5097739E+002
 9.8016397E-001, 9.7383810E+002
 1.0411324E+000, 1.1669112E+003
 1.0936488E+000, 1.3159948E+003
 1.1369037E+000, 1.4651383E+003
 1.1801586E+000, 1.5529419E+003
 1.2234135E+000, 1.6582388E+003
 1.2617037E+000, 1.8076037E+003
 1.2999939E+000, 1.8780294E+003
 1.3335106E+000, 1.9833966E+003
 1.3670274E+000, 2.0888341E+003
 1.4005441E+000, 2.2116540E+003
 1.4340609E+000, 2.3343991E+003
 1.4675776E+000, 2.4661549E+003
 1.5010944E+000, 2.5802431E+003
 1.5346111E+000, 2.6856305E+003
 1.5681279E+000, 2.8260822E+003
 1.6016446E+000, 2.9402187E+003
 1.6351614E+000, 3.0543803E+003
 1.6643775E+000, 3.2299523E+003
 1.6935935E+000, 3.3878278E+003
 1.7228096E+000, 3.4844272E+003
 1.7520257E+000, 3.5987616E+003
 1.7812417E+000, 3.7303312E+003
 1.8104578E+000, 3.8531222E+003
 1.8326576E+000, 4.0550880E+003
 1.8548574E+000, 4.2130563E+003
 1.8792772E+000, 4.3096520E+003
 1.9036969E+000, 4.4413600E+003
 1.9281167E+000, 4.5554499E+003
 1.9498693E+000, 4.7311579E+003
 1.9716218E+000, 4.8804606E+003
 1.9933744E+000, 5.0033800E+003
 2.0173022E+000, 5.1436730E+003
 2.0371485E+000, 5.3452477E+003
 2.0569947E+000, 5.4680827E+003
 2.0768410E+000, 5.6345866E+003
 2.0966872E+000, 5.8011916E+003
 2.1165335E+000, 5.9239357E+003
 2.1363797E+000, 6.0381129E+003
 2.1562260E+000, 6.1783805E+003
 2.1760722E+000, 6.3360841E+003
 2.1959185E+000, 6.4414088E+003
 2.2157647E+000, 6.5642814E+003
 2.2356110E+000, 6.7306164E+003
 2.2531404E+000, 6.8447043E+003
 2.2706697E+000, 6.9499982E+003
 2.2881991E+000, 7.0989274E+003
 2.3057285E+000, 7.2392292E+003
 2.3232579E+000, 7.3969181E+003
 2.3407873E+000, 7.5459196E+003
 2.3557560E+000, 7.6948224E+003
 2.3707247E+000, 7.8438766E+003
 2.3856934E+000, 8.0015451E+003
 2.3977457E+000, 8.2207340E+003
 2.4097980E+000, 8.3868913E+003
 2.4218503E+000, 8.5529381E+003
 2.4339026E+000, 8.7015329E+003
 2.4459548E+000, 8.8676149E+003
 2.4580071E+000, 9.0337135E+003
 2.4700594E+000, 9.1822184E+003
 2.4821117E+000, 9.3483502E+003
 2.4941640E+000, 9.5056754E+003
 2.5062163E+000, 9.6455758E+003
 2.5182686E+000, 9.7680504E+003
 2.5303209E+000, 9.8903825E+003
 2.5423732E+000, 1.0047422E+004
 2.5544255E+000, 1.0187129E+004
 2.5664777E+000, 1.0317936E+004
 2.5785300E+000, 1.0474932E+004
 2.5905823E+000, 1.0640856E+004
 2.6026346E+000, 1.0754249E+004
 2.6146869E+000, 1.0911401E+004
 2.6267392E+000, 1.1059942E+004
 2.6387915E+000, 1.1199459E+004
 2.6508438E+000, 1.1339049E+004
 2.6628961E+000, 1.1487614E+004
 2.6749484E+000, 1.1627291E+004
 2.6882059E+000, 1.1784351E+004
 2.7014634E+000, 1.1932700E+004
 2.7147209E+000, 1.2063604E+004
 2.7279784E+000, 1.2177076E+004
 2.7412359E+000, 1.2325509E+004
 2.7677510E+000, 1.2513080E+004
 2.7942660E+000, 1.2748813E+004
 2.8207811E+000, 1.2997477E+004
 2.8605536E+000, 1.3323239E+004
 2.8870687E+000, 1.3621488E+004
 2.9135837E+000, 1.3918321E+004
 2.9400987E+000, 1.4206160E+004
 2.9798713E+000, 1.4519589E+004
 3.0063863E+000, 1.4796454E+004
 3.0329014E+000, 1.5041559E+004
 3.0689673E+000, 1.5425648E+004
 3.0945624E+000, 1.5715788E+004
 3.1201576E+000, 1.5947711E+004
 3.1585504E+000, 1.6293048E+004
 3.1841455E+000, 1.6598892E+004
 3.2225383E+000, 1.6919145E+004
 3.2481335E+000, 1.7271223E+004
 3.2737286E+000, 1.7572309E+004
 3.3121214E+000, 1.7919626E+004
 3.3377165E+000, 1.8274337E+004
 3.3633117E+000, 1.8557921E+004
 3.4017045E+000, 1.8925771E+004
 3.4272996E+000, 1.9247223E+004
 3.4541746E+000, 1.9529622E+004
 3.4823292E+000, 1.9805555E+004
 3.5104839E+000, 2.0075883E+004
 3.5527160E+000, 2.0388557E+004
 3.5808706E+000, 2.0699867E+004
 3.6090253E+000, 2.0970478E+004
 3.6371800E+000, 2.1219334E+004
 3.6653347E+000, 2.1511635E+004
 3.6934894E+000, 2.1786397E+004
 3.7216441E+000, 2.2043937E+004
 3.7598053E+000, 2.2451987E+004
 3.7838892E+000, 2.2864072E+004
 3.8200150E+000, 2.3213201E+004
 3.8453030E+000, 2.3513015E+004
 3.8701176E+000, 2.3762022E+004
 3.9048228E+000, 2.4158917E+004
 3.9395281E+000, 2.4644802E+004
 3.9626649E+000, 2.5006793E+004
 3.9973702E+000, 2.5331171E+004
 4.0205070E+000, 2.5713489E+004
 4.0513343E+000, 2.6177369E+004
 4.0842168E+000, 2.6650417E+004
 4.1181268E+000, 2.7070567E+004
 4.1407335E+000, 2.7415340E+004
 4.1746436E+000, 2.7765991E+004
 4.2085536E+000, 2.8193911E+004
 4.2311603E+000, 2.8519870E+004
 4.2662007E+000, 2.8873209E+004
 4.2910680E+000, 2.9196378E+004
 4.3283691E+000, 2.9488887E+004
 4.3532364E+000, 2.9798844E+004
 4.3917808E+000, 3.0109832E+004
 4.4191349E+000, 3.0393079E+004
 4.4464890E+000, 3.0646532E+004
 4.4738431E+000, 3.0917100E+004
 4.5011972E+000, 3.1152804E+004
 4.5422284E+000, 3.1506139E+004
 4.5695825E+000, 3.1842197E+004
 4.5969366E+000, 3.2142985E+004
 4.6242907E+000, 3.2422103E+004
 4.6516448E+000, 3.2662047E+004
 4.6896822E+000, 3.3012111E+004
 4.7140425E+000, 3.3369106E+004
 4.7505830E+000, 3.3751774E+004
 4.7749434E+000, 3.4085079E+004
 4.8114839E+000, 3.4427088E+004
 4.8342802E+000, 3.4806801E+004
 4.8661288E+000, 3.5218515E+004
 4.8979773E+000, 3.5663708E+004
 4.9308874E+000, 3.6113743E+004
 4.9542430E+000, 3.6455333E+004
 4.9904441E+000, 3.6823628E+004
 5.0161352E+000, 3.7162462E+004
 5.0418263E+000, 3.7437514E+004
 5.0803630E+000, 3.7753381E+004
 5.1060542E+000, 3.8053460E+004
 5.1317453E+000, 3.8307444E+004
 5.1702820E+000, 3.8654663E+004
 5.1959731E+000, 3.8985944E+004
 5.2216642E+000, 3.9257309E+004
 5.2602009E+000, 3.9556273E+004
 5.2858921E+000, 3.9847682E+004
 5.3115832E+000, 4.0127106E+004
 5.3501199E+000, 4.0435912E+004
 5.3758110E+000, 4.0695225E+004
 5.4015021E+000, 4.0974628E+004
 5.4400388E+000, 4.1338247E+004
 5.4657300E+000, 4.1694518E+004
 5.4914211E+000, 4.1973825E+004
 5.5299578E+000, 4.2295243E+004
 5.5556489E+000, 4.2645540E+004
 5.5813400E+000, 4.2915946E+004
 5.6198767E+000, 4.3217025E+004
 5.6455679E+000, 4.3531188E+004
 5.6712590E+000, 4.3793001E+004
 5.7097957E+000, 4.4127663E+004
 5.7354868E+000, 4.4421682E+004
 5.7609034E+000, 4.4753173E+004
 5.7990283E+000, 4.5061657E+004
 5.8244449E+000, 4.5373090E+004
 5.8625697E+000, 4.5713511E+004
 5.8879863E+000, 4.6054053E+004
 5.9134029E+000, 4.6281210E+004
 5.9515278E+000, 4.6583938E+004
 5.9769443E+000, 4.6910046E+004
 6.0023609E+000, 4.7172141E+004
 6.0404858E+000, 4.7509860E+004
 6.0659024E+000, 4.7849063E+004
 6.0913190E+000, 4.8093674E+004
 6.1294438E+000, 4.8374758E+004
 6.1548604E+000, 4.8705225E+004
 6.1802770E+000, 4.8971372E+004
 6.2184019E+000, 4.9288648E+004
 6.2438185E+000, 4.9617579E+004
 6.2819433E+000, 4.9897221E+004
 6.3073599E+000, 5.0167987E+004
 6.3340473E+000, 5.0429091E+004
 6.3620056E+000, 5.0705147E+004
 6.3995316E+000, 5.1096631E+004
 6.4245490E+000, 5.1430053E+004
 6.4620750E+000, 5.1745912E+004
 6.4870924E+000, 5.2058714E+004
 6.5146115E+000, 5.2303559E+004
 6.5421306E+000, 5.2526212E+004
 6.5834093E+000, 5.2854891E+004
 6.6109284E+000, 5.3093409E+004
 6.6384475E+000, 5.3307321E+004
 6.6659666E+000, 5.3538725E+004
 6.6934857E+000, 5.3778678E+004
 6.7210048E+000, 5.4001391E+004
 6.7576504E+000, 5.4370824E+004
 6.7820808E+000, 5.4699725E+004
 6.8187263E+000, 5.5028661E+004
 6.8431567E+000, 5.5385137E+004
 6.8748573E+000, 5.5773459E+004
 6.9065580E+000, 5.6131387E+004
 6.9382586E+000, 5.6541525E+004
 6.9699592E+000, 5.6986732E+004
 6.9910930E+000, 5.7362065E+004
