s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-6.1188788E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1188788E-002, 0.0000000E+000, 0.0000000E+000
 1.5811388E-001, 0.0000000E+000,-7.2601798E-003,-1.5058984E-001, 0.0000000E+000,-8.0527460E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6590276E-001, 2.7371691E-002, 2.7371691E-002
 3.1622776E-001, 1.0050033E+003,-6.8395306E-003, 1.5750042E+001, 3.9154492E-005,-8.9610772E-003, 0.0000000E+000, 0.0000000E+000,-1.5241519E+000, 1.0207376E+003, 5.3429593E-002, 5.3429593E-002
 4.7434166E-001, 2.0829963E+003,-1.6436356E+002, 3.0814140E+001,-6.0242532E+000,-1.6413478E-001, 0.0000000E+000, 0.0000000E+000, 9.4682522E+002, 1.9432585E+003, 7.7100603E-002, 7.7100603E-002
 5.3814417E-001, 3.0222311E+003,-1.2058709E+003, 2.7817545E+001,-1.5426170E+001,-2.1778112E-001, 0.0000000E+000, 0.0000000E+000, 1.9087958E+003, 1.8285338E+003, 8.5807584E-002, 8.5807584E-002
 6.0832703E-001, 3.2111826E+003,-3.7468074E+003,-6.9143414E+000,-2.6800766E+001,-2.2020635E-001, 0.0000000E+000, 0.0000000E+000, 1.8000550E+003,-5.6956019E+002, 9.4773804E-002, 9.4773804E-002
 6.8552810E-001, 9.7884345E+002,-3.4069606E+002,-8.2887022E+000,-1.6927617E+001,-1.7947143E-001, 0.0000000E+000, 0.0000000E+000,-5.3016071E+002, 6.1275160E+002, 1.0387734E-001, 1.0387734E-001
 7.7044928E-001, 4.4083763E+002,-3.1546470E+002, 1.2449912E+000,-1.8883738E+001,-2.5595801E-001, 0.0000000E+000, 0.0000000E+000, 1.0508474E+002, 1.0747822E+002, 1.1296971E-001, 1.1296971E-001
 8.4035420E-001, 8.1824736E+002,-2.3033353E+002, 8.0178386E+000,-1.5568673E+001,-2.6398855E-001, 0.0000000E+000, 0.0000000E+000, 1.1115664E+002, 5.8009900E+002, 1.1974345E-001, 1.1974345E-001
 9.1025907E-001, 8.6739009E+002,-3.7218635E+002, 6.9425714E+000,-1.5713567E+001,-2.9317709E-001, 0.0000000E+000, 0.0000000E+000, 5.7013895E+002, 4.8613957E+002, 1.2589821E-001, 1.2589821E-001
 9.8016399E-001, 1.2972220E+003,-3.0219963E+002, 1.4377664E+001,-1.4380070E+001,-3.0663918E-001, 0.0000000E+000, 0.0000000E+000, 4.8350951E+002, 9.9471334E+002, 1.3146305E-001, 1.3146305E-001
 1.0411325E+000, 1.4310967E+003,-5.3551378E+002, 1.3483669E+001,-1.5947381E+001,-3.2085679E-001, 0.0000000E+000, 0.0000000E+000, 9.8182642E+002, 8.9279836E+002, 1.3586145E-001, 1.3586145E-001
 1.0936488E+000, 1.7479584E+003,-4.9645462E+002, 1.8594847E+001,-1.5569125E+001,-3.2966746E-001, 0.0000000E+000, 0.0000000E+000, 8.9141249E+002, 1.2541998E+003, 1.3933005E-001, 1.3933005E-001
 1.1369036E+000, 1.9542173E+003,-5.5354830E+002, 2.1019339E+001,-1.6464644E+001,-3.3739099E-001, 0.0000000E+000, 0.0000000E+000, 1.2459444E+003, 1.4048863E+003, 1.4197678E-001, 1.4197678E-001
 1.1801586E+000, 1.9815399E+003,-5.7531054E+002, 2.1118759E+001,-1.6843303E+001,-3.4312092E-001, 0.0000000E+000, 0.0000000E+000, 1.4014699E+003, 1.4101617E+003, 1.4444371E-001, 1.4444371E-001
 1.2234135E+000, 2.2587367E+003,-6.1622399E+002, 2.4026708E+001,-1.6586767E+001,-3.5081871E-001, 0.0000000E+000, 0.0000000E+000, 1.4070979E+003, 1.6496018E+003, 1.4674024E-001, 1.4674024E-001
 1.2617037E+000, 2.3679093E+003,-6.7830295E+002, 2.4519669E+001,-1.7615357E+001,-3.5869760E-001, 0.0000000E+000, 0.0000000E+000, 1.6416876E+003, 1.6961519E+003, 1.4863850E-001, 1.4863850E-001
 1.2999939E+000, 2.4273009E+003,-7.5033964E+002, 2.4377799E+001,-1.8719335E+001,-3.6598994E-001, 0.0000000E+000, 0.0000000E+000, 1.6895144E+003, 1.6822537E+003, 1.5041694E-001, 1.5041694E-001
 1.3335106E+000, 2.6508294E+003,-7.9094252E+002, 2.7089750E+001,-1.9239646E+001,-3.7136939E-001, 0.0000000E+000, 0.0000000E+000, 1.6773595E+003, 1.8673656E+003, 1.5188025E-001, 1.5188025E-001
 1.3670274E+000, 2.8605589E+003,-8.7157082E+002, 2.9205797E+001,-1.9909216E+001,-3.7669911E-001, 0.0000000E+000, 0.0000000E+000, 1.8569105E+003, 1.9979080E+003, 1.5326067E-001, 1.5326067E-001
 1.4005442E+000, 3.0974565E+003,-9.3894143E+002, 3.1724457E+001,-2.0630491E+001,-3.8147122E-001, 0.0000000E+000, 0.0000000E+000, 1.9885561E+003, 2.1692275E+003, 1.5456218E-001, 1.5456218E-001
 1.4340609E+000, 3.2126970E+003,-1.0609728E+003, 3.1999742E+001,-2.1080586E+001,-3.8634538E-001, 0.0000000E+000, 0.0000000E+000, 2.1579706E+003, 2.1622569E+003, 1.5578870E-001, 1.5578870E-001
 1.4675777E+000, 3.2724301E+003,-9.2224503E+002, 3.5016956E+001,-2.1314320E+001,-3.9130776E-001, 0.0000000E+000, 0.0000000E+000, 2.1473605E+003, 2.3634964E+003, 1.5694400E-001, 1.5694400E-001
 1.5010943E+000, 3.5794988E+003,-9.9618811E+002, 3.8520837E+001,-2.1761548E+001,-3.9624319E-001, 0.0000000E+000, 0.0000000E+000, 2.3544519E+003, 2.5996737E+003, 1.5803173E-001, 1.5803173E-001
 1.5346111E+000, 3.7495896E+003,-1.0997310E+003, 3.9736681E+001,-2.2302691E+001,-4.0024640E-001, 0.0000000E+000, 0.0000000E+000, 2.5897165E+003, 2.6668923E+003, 1.5905541E-001, 1.5905541E-001
 1.5681279E+000, 3.9738262E+003,-1.0290784E+003, 4.4411460E+001,-2.3059206E+001,-4.0415211E-001, 0.0000000E+000, 0.0000000E+000, 2.6564091E+003, 2.9656959E+003, 1.6001844E-001, 1.6001844E-001
 1.6016446E+000, 4.3300233E+003,-1.1591874E+003, 4.7679341E+001,-2.3881785E+001,-4.0780310E-001, 0.0000000E+000, 0.0000000E+000, 2.9576159E+003, 3.1942256E+003, 1.6092407E-001, 1.6092407E-001
 1.6351614E+000, 4.4571798E+003,-1.2416177E+003, 4.8629381E+001,-2.4854414E+001,-4.1049103E-001, 0.0000000E+000, 0.0000000E+000, 3.1822293E+003, 3.2389266E+003, 1.6177544E-001, 1.6177544E-001
