Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      2,     81,      3,      6,  0.66678434E-17,      1,     15,      2,     20,  0.80464041E-03
      1,      1,      2,      2,     81,      3,      6,  0.15720932E-17,      3,     41,     11,      1,  0.18898584E+01
      2,      1,      3,      2,     81,     17,      2,  0.13823578E-17,      3,     41,      6,      1,  0.47093290E+00
      2,      1,      4,      2,     81,     13,      1,  0.10061396E-14,      3,     45,     12,      1,  0.22850207E+04
      2,      2,      5,      2,     81,      9,      2,  0.45102810E-15,      3,     41,      8,      1,  0.56702908E+03
      2,      3,      6,      2,     81,      2,      1,  0.20122792E-15,      3,     41,      8,      1,  0.25518181E+03
      3,      1,      7,      2,     81,      4,      1,  0.23939184E-15,      3,     44,     12,      1,  0.31888818E+04
      3,      2,      8,      2,     81,      4,      1,  0.22030988E-15,      3,     41,      7,      1,  0.21054464E+01
      3,      1,      9,      2,     81,      1,     17,  0.89338259E-16,      3,     41,      6,      1,  0.15499226E+05
      3,      2,     10,      2,     81,      1,     16,  0.93675068E-16,      3,     41,      6,      1,  0.79399028E+04
      3,      3,     11,      2,     81,      4,     15,  0.94542429E-16,      3,     41,      6,      1,  0.30394891E+04
      3,      4,     12,      2,     81,      1,     19,  0.96277153E-16,      3,     41,      6,      1,  0.11625718E+04
      3,      5,     13,      2,     81,      1,     17,  0.96277153E-16,      3,     41,      6,      1,  0.44458177E+03
      4,      1,     14,      2,     81,      3,      9,  0.14918622E-15,      3,     41,     15,      1,  0.11612969E+05
      4,      2,     15,      2,     81,     10,      6,  0.68521577E-16,      3,     41,     15,      1,  0.31909944E+04
      4,      3,     16,      2,     81,     12,     14,  0.31441863E-16,      3,     41,     15,      1,  0.56633296E+03
      4,      4,     17,      2,     81,      3,      6,  0.14528309E-16,      3,     41,     15,      1,  0.66182599E+02
      4,      1,     18,      2,     81,      3,      1,  0.20122792E-15,      3,     41,     15,      1,  0.13004409E+05
      4,      2,     19,      2,     81,      7,      2,  0.90205621E-16,      3,     41,     15,      1,  0.42041477E+04
      4,      3,     20,      2,     81,     17,      2,  0.40766002E-16,      3,     41,     15,      1,  0.10889495E+04
      4,      4,     21,      2,     81,      7,      2,  0.18865118E-16,      3,     41,     15,      1,  0.31205467E+03
      4,      1,     22,      2,     81,     11,      1,  0.46837534E-15,      3,     41,      6,      1,  0.31847491E+04
      4,      2,     23,      2,     81,      9,      2,  0.20816682E-15,      3,     51,      6,      1,  0.95476822E+03
      4,      3,     24,      2,     81,      2,      1,  0.88470897E-16,      3,     41,      6,      1,  0.23181438E+04
      4,      4,     25,      3,      0,     16,      2,  0.35561831E-16,      3,     41,      6,      1,  0.18344988E+04
      4,      5,     26,      2,     81,     17,      2,  0.11600963E-16,      3,     44,     10,      1,  0.11488984E+04
      4,      6,     27,      2,     81,     20,     20,  0.14094628E-17,      3,     44,     10,      1,  0.63419008E+03
      4,      7,     28,      2,     81,     18,     20,  0.61257423E-17,      3,     44,     10,      1,  0.32110528E+03
      5,      1,     29,      2,     81,     18,     14,  0.26888214E-16,      3,     44,     10,      1,  0.15337871E+04
      5,      2,     30,      2,     81,     12,     14,  0.14311469E-16,      3,     41,     15,      1,  0.80895311E+03
      5,      3,     31,      3,      0,      5,     18,  0.90530881E-17,      3,     41,     15,      1,  0.29517463E+03
      5,      1,     32,      2,     81,      1,      1,  0.18596236E-14,      3,     41,      6,      1,  0.45756676E+05
      5,      2,     33,      2,     81,      5,      4,  0.83266727E-15,      3,     41,      6,      1,  0.49184602E+05
      5,      3,     34,      2,     81,      2,      1,  0.37470027E-15,      3,     41,      6,      1,  0.31882171E+05
      5,      4,     35,      2,     81,      1,      1,  0.17347235E-15,      3,     41,      6,      1,  0.17215391E+05
      5,      5,     36,      2,     81,      1,      5,  0.82399365E-16,      3,     41,      6,      1,  0.85884133E+04
      5,      6,     37,      2,     81,      1,      5,  0.41199683E-16,      3,     41,      6,      1,  0.41110661E+04
      5,      7,     38,      2,     81,      1,      6,  0.22985086E-16,      3,     41,      6,      1,  0.19216452E+04
      5,      8,     39,      2,     81,      1,      7,  0.14636729E-16,      3,     41,      6,      1,  0.88557186E+03
      5,      9,     40,      2,     81,      1,      6,  0.10842022E-16,      3,     41,      6,      1,  0.40459199E+03
      6,      1,     41,      2,     81,     17,      1,  0.11275703E-15,      3,     41,      6,      1,  0.69609304E+05
      6,      2,     42,      2,     81,     19,     10,  0.52041704E-16,      3,     41,      6,      1,  0.50253423E+05
      6,      3,     43,      2,     81,     12,     14,  0.24936650E-16,      3,     41,      6,      1,  0.21172084E+05
      6,      4,     44,      2,     81,     12,     14,  0.13118846E-16,      3,     41,      6,      1,  0.71904574E+04
      6,      5,     45,      2,     81,     12,     14,  0.78062556E-17,      3,     41,      6,      1,  0.22400336E+04
      6,      6,     46,      2,     81,     12,     14,  0.56378513E-17,      3,     41,      6,      1,  0.67142057E+03
      6,      7,     47,      2,     81,     12,     14,  0.45807542E-17,      3,     41,      6,      1,  0.19876067E+03
      6,      1,     48,      2,     81,      1,      1,  0.31086245E-14,      3,     51,     15,      1,  0.35960259E+03
      7,      1,     49,      2,     81,      2,      1,  0.16792123E-14,      3,     50,     15,      1,  0.53432817E+04
      7,      2,     50,      2,     81,      3,      1,  0.24702462E-14,      3,     50,     15,      1,  0.65258829E+04
      7,      3,     51,      2,     81,      2,      1,  0.28310687E-14,      3,     50,     15,      1,  0.44640808E+04
      7,      4,     52,      2,     81,      2,      1,  0.29698466E-14,      3,     50,     15,      1,  0.24327664E+04
      7,      5,     53,      2,     81,      1,      1,  0.30253577E-14,      3,     50,     15,      1,  0.11965521E+04
      7,      6,     54,      2,     81,      1,      2,  0.30808689E-14,      3,     50,     15,      1,  0.56057027E+03
      7,      7,     55,      2,     81,      4,      2,  0.30808689E-14,      3,     50,     15,      1,  0.25658463E+03
      7,      1,     56,      2,     81,      8,      1,  0.78409501E-15,      3,     50,     15,      1,  0.14294496E+05
      7,      2,     57,      2,     81,      1,      1,  0.12073675E-14,      3,     42,     15,      1,  0.13625878E+05
      7,      3,     58,      2,     81,      1,      1,  0.14016566E-14,      3,     42,     15,      1,  0.39987138E+04
      7,      4,     59,      2,     81,      1,      1,  0.14710455E-14,      3,     41,      6,      1,  0.11738943E+04
      7,      5,     60,      2,     81,      2,      1,  0.15126789E-14,      3,     42,     15,      1,  0.17056713E+04
      7,      6,     61,      2,     81,     16,      1,  0.15404344E-14,      3,     42,     15,      1,  0.12978666E+04
      7,      7,     62,      2,     81,      3,      1,  0.15404344E-14,      3,     42,     15,      1,  0.77187431E+03
      7,      8,     63,      2,     81,      4,      1,  0.15543122E-14,      3,     42,     15,      1,  0.40944491E+03
      8,      1,     64,      2,     81,     12,      1,  0.13877788E-14,      3,     42,     15,      1,  0.36075030E+04
