s,s
Time,"cpu"
 0.0000000E+000, 6.6296081E+000
 1.5811388E-001, 8.2592239E+000
 3.1622777E-001, 9.5144567E+000
 4.7434165E-001, 1.1494101E+001
 6.3245553E-001, 1.3881492E+001
 6.7010498E-001, 1.7504109E+001
 7.1151936E-001, 1.9931365E+001
 7.5707519E-001, 2.2156369E+001
 8.0718660E-001, 2.3696036E+001
 8.6230915E-001, 2.5073960E+001
 9.2294395E-001, 2.7194995E+001
 9.8357876E-001, 2.9169139E+001
 1.0352559E+000, 3.2117087E+001
 1.0808247E+000, 3.5706843E+001
 1.1263935E+000, 3.7834563E+001
 1.1648919E+000, 4.0894385E+001
 1.1990164E+000, 4.3391650E+001
 1.2331408E+000, 4.5525840E+001
 1.2672653E+000, 4.6757510E+001
 1.3013898E+000, 4.8661258E+001
 1.3355142E+000, 5.0869655E+001
 1.3696387E+000, 5.3464488E+001
 1.3994685E+000, 5.7490790E+001
 1.4292984E+000, 5.9357413E+001
 1.4591282E+000, 6.0960494E+001
 1.4889580E+000, 6.3352950E+001
 1.5187878E+000, 6.6114783E+001
 1.5486176E+000, 6.8667869E+001
 1.5753411E+000, 7.2581527E+001
 1.5978447E+000, 7.6306624E+001
 1.6203483E+000, 7.8479163E+001
 1.6451023E+000, 8.0752173E+001
 1.6698563E+000, 8.3060172E+001
 1.6946103E+000, 8.5478042E+001
 1.7193643E+000, 8.8081458E+001
 1.7441183E+000, 9.0928435E+001
 1.7662218E+000, 9.4764335E+001
 1.7883252E+000, 9.7316115E+001
 1.8081676E+000, 1.0168262E+002
 1.8280099E+000, 1.0372904E+002
 1.8478522E+000, 1.0600049E+002
 1.8676945E+000, 1.0866984E+002
 1.8875368E+000, 1.1136293E+002
 1.9073791E+000, 1.1407368E+002
 1.9272214E+000, 1.1656906E+002
 1.9470637E+000, 1.1881261E+002
 1.9669060E+000, 1.2151282E+002
 1.9867483E+000, 1.2431641E+002
 2.0040578E+000, 1.2835944E+002
 2.0213672E+000, 1.3092044E+002
 2.0386767E+000, 1.3365433E+002
 2.0559862E+000, 1.3631143E+002
 2.0715235E+000, 1.4076179E+002
 2.0870608E+000, 1.4311531E+002
 2.1025981E+000, 1.4543439E+002
 2.1181355E+000, 1.4832330E+002
 2.1316950E+000, 1.5246420E+002
 2.1452546E+000, 1.5523463E+002
 2.1588142E+000, 1.5811806E+002
 2.1723738E+000, 1.6092016E+002
 2.1859333E+000, 1.6402330E+002
 2.1994929E+000, 1.6705118E+002
 2.2130525E+000, 1.6987562E+002
 2.2266121E+000, 1.7220763E+002
 2.2401716E+000, 1.7515211E+002
 2.2537312E+000, 1.7795756E+002
 2.2672908E+000, 1.8062659E+002
 2.2808504E+000, 1.8304562E+002
 2.2944099E+000, 1.8500081E+002
 2.3079695E+000, 1.8766055E+002
 2.3215291E+000, 1.9001694E+002
 2.3350887E+000, 1.9254202E+002
 2.3470953E+000, 1.9687802E+002
 2.3591018E+000, 1.9982651E+002
 2.3711084E+000, 2.0250175E+002
 2.3831150E+000, 2.0540897E+002
 2.3951216E+000, 2.0799412E+002
 2.4071282E+000, 2.1065776E+002
 2.4191347E+000, 2.1365591E+002
 2.4311413E+000, 2.1689748E+002
 2.4431479E+000, 2.1981695E+002
 2.4551545E+000, 2.2248796E+002
 2.4671611E+000, 2.2539961E+002
 2.4911742E+000, 2.2902222E+002
 2.5271940E+000, 2.3520844E+002
 2.5512071E+000, 2.4219411E+002
 2.5872269E+000, 2.4880144E+002
 2.6112400E+000, 2.5577131E+002
 2.6472598E+000, 2.6151671E+002
 2.6712729E+000, 2.6693788E+002
 2.7072927E+000, 2.7298648E+002
 2.7313058E+000, 2.7948755E+002
 2.7632178E+000, 2.8614045E+002
 2.7930758E+000, 2.9474831E+002
 2.8229339E+000, 3.0279254E+002
 2.8527919E+000, 3.1050756E+002
 2.8856358E+000, 3.1883836E+002
