Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      2,     81,      3,      6,  0.14230154E-17,      3,     45,     10,      2,  0.19982613E-05
      1,      1,      2,      4,     81,     13,      7,  0.69388939E-17,      3,     44,     12,      1,  0.10941899E+04
      1,      2,      3,      4,     81,     18,      2,  0.69388939E-17,      3,     44,     12,      1,  0.22985214E+00
      2,      1,      4,      4,     81,      7,     12,  0.13877788E-16,      3,     44,     12,      1,  0.11068378E+04
      2,      2,      5,      3,     81,     12,      7,  0.13877788E-16,      3,     44,     12,      1,  0.10977390E+01
      2,      1,      6,      3,     81,     12,      1,  0.27755576E-16,      3,     41,     15,      1,  0.46591104E+04
      2,      2,      7,      3,     81,     12,      1,  0.27755576E-16,      3,     41,     15,      1,  0.71611001E+03
      2,      3,      8,      3,     81,     20,      1,  0.27755576E-16,      3,     41,     15,      1,  0.73966792E+02
      3,      1,      9,      3,     81,      2,      2,  0.55511151E-16,      3,     41,     15,      1,  0.49125422E+04
      3,      2,     10,      3,     81,     10,     14,  0.55511151E-16,      3,     44,     10,      1,  0.69588258E+03
      3,      3,     11,      3,     81,     19,      1,  0.55511151E-16,      3,     44,     10,      1,  0.62103903E+02
      3,      1,     12,      3,     81,      2,     15,  0.55511151E-16,      3,     41,     15,      1,  0.46066070E+04
      3,      2,     13,      3,     81,     20,      1,  0.55511151E-16,      3,     41,     15,      1,  0.34982774E+04
      3,      3,     14,      3,     81,     10,     14,  0.55511151E-16,      3,     44,     10,      1,  0.18416805E+04
      3,      4,     15,      3,     81,     13,      8,  0.55511151E-16,      3,     44,     10,      1,  0.10127840E+04
      3,      5,     16,      3,     81,     13,      6,  0.55511151E-16,      3,     44,     10,      1,  0.52069955E+03
      3,      6,     17,      3,     81,      7,      6,  0.55511151E-16,      3,     44,     10,      1,  0.26021877E+03
      4,      1,     18,      4,     81,     11,     13,  0.55511151E-16,      3,     41,     15,      1,  0.45821205E+04
      4,      2,     19,      5,     81,      8,      5,  0.55511151E-16,      3,     41,     15,      1,  0.18276034E+04
      4,      3,     20,      4,     81,     17,      7,  0.55511151E-16,      3,     41,     15,      1,  0.50221594E+03
      4,      4,     21,      3,     81,      5,      5,  0.55511151E-16,      3,     41,     15,      1,  0.12067971E+03
      4,      1,     22,      3,     81,     10,      1,  0.55511151E-16,      3,     41,      6,      1,  0.57120708E+05
      4,      2,     23,      3,     81,      5,      1,  0.55511151E-16,      3,     41,      6,      1,  0.31422879E+05
      4,      3,     24,      3,     81,      1,      2,  0.55511151E-16,      3,     41,      6,      1,  0.10157611E+05
      4,      4,     25,      3,     81,      5,      1,  0.55511151E-16,      3,     41,      6,      1,  0.27672067E+04
      4,      5,     26,      3,     81,      5,      1,  0.55511151E-16,      3,     41,      6,      1,  0.70727370E+03
      4,      6,     27,      3,     81,      5,      1,  0.55511151E-16,      3,     41,      6,      1,  0.17428991E+03
