s,s
Time,"cpu"
 0.0000000E+000, 7.3811340E+000
 1.5811388E-001, 9.3041448E+000
 3.1622777E-001, 1.1093445E+001
 4.7434165E-001, 1.3847849E+001
 6.3245553E-001, 1.7616726E+001
 6.7010498E-001, 5.3488876E+001
 7.1151936E-001, 5.7177349E+001
 7.5707519E-001, 6.0621132E+001
 8.0718660E-001, 6.2556622E+001
 8.6230915E-001, 6.4291924E+001
 9.2294395E-001, 6.7041306E+001
 9.8357876E-001, 6.9946419E+001
 1.0352559E+000, 7.4220100E+001
 1.0808247E+000, 7.9618492E+001
 1.1263935E+000, 8.2724518E+001
 1.1648919E+000, 8.7230064E+001
 1.1990164E+000, 9.0953506E+001
 1.2331408E+000, 9.4042473E+001
 1.2672653E+000, 9.5750069E+001
 1.3013898E+000, 9.8488480E+001
 1.3355142E+000, 1.0205719E+002
 1.3696387E+000, 1.0595728E+002
 1.3994685E+000, 1.1196815E+002
 1.4292984E+000, 1.1481977E+002
 1.4591282E+000, 1.1743189E+002
 1.4889580E+000, 1.2126102E+002
 1.5187878E+000, 1.2563239E+002
 1.5486176E+000, 1.2952576E+002
 1.5753411E+000, 1.3563914E+002
 1.5978447E+000, 1.4138266E+002
 1.6203483E+000, 1.4475224E+002
 1.6451023E+000, 1.4820314E+002
 1.6698563E+000, 1.5194188E+002
 1.6946103E+000, 1.5566548E+002
 1.7193643E+000, 1.5976279E+002
 1.7441183E+000, 1.6432835E+002
 1.7662218E+000, 1.7053798E+002
 1.7883252E+000, 1.7456606E+002
 1.8081676E+000, 1.8135152E+002
 1.8280099E+000, 1.8460782E+002
 1.8478522E+000, 1.8821919E+002
 1.8676945E+000, 1.9259052E+002
 1.8875368E+000, 1.9685089E+002
 1.9073791E+000, 2.0121657E+002
 1.9272214E+000, 2.0526508E+002
 1.9470637E+000, 2.0875191E+002
 1.9669060E+000, 2.1313452E+002
 1.9867483E+000, 2.1776068E+002
 2.0040578E+000, 2.2405965E+002
 2.0213672E+000, 2.2815681E+002
 2.0386767E+000, 2.3258134E+002
 2.0559862E+000, 2.3686575E+002
 2.0715235E+000, 2.4411441E+002
 2.0870608E+000, 2.4785164E+002
 2.1025981E+000, 2.5155882E+002
 2.1181355E+000, 2.5627835E+002
 2.1316950E+000, 2.6312521E+002
 2.1452546E+000, 2.6750101E+002
 2.1588142E+000, 2.7216617E+002
 2.1723738E+000, 2.7665155E+002
 2.1859333E+000, 2.8098813E+002
 2.1994929E+000, 2.8588208E+002
 2.2130525E+000, 2.9044858E+002
 2.2266121E+000, 2.9413083E+002
 2.2401716E+000, 2.9895291E+002
 2.2537312E+000, 3.0353915E+002
 2.2672908E+000, 3.0776892E+002
 2.2808504E+000, 3.1173410E+002
 2.2944099E+000, 3.1497998E+002
 2.3079695E+000, 3.1928375E+002
 2.3215291E+000, 3.2299103E+002
 2.3350887E+000, 3.2710614E+002
 2.3470953E+000, 3.3428644E+002
 2.3591018E+000, 3.3901581E+002
 2.3711084E+000, 3.4335245E+002
 2.3831150E+000, 3.4806070E+002
 2.3951216E+000, 3.5232617E+002
 2.4071282E+000, 3.5665207E+002
 2.4191347E+000, 3.6162747E+002
 2.4311413E+000, 3.6711646E+002
 2.4431479E+000, 3.7182919E+002
 2.4551545E+000, 3.7619443E+002
 2.4671611E+000, 3.8091956E+002
