,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T13:53:11.519+01:00,   0.395E-02,   0.00395,   1.89978
      2,2020-10-28T13:53:11.582+01:00,   0.395E-02,   0.00791,   2.14472
      3,2020-10-28T13:53:11.625+01:00,   0.395E-02,   0.01186,   2.30778
      4,2020-10-28T13:53:11.663+01:00,   0.395E-02,   0.01581,   2.45856
      5,2020-10-28T13:53:11.722+01:00,   0.395E-02,   0.01976,   2.68900
      6,2020-10-28T13:53:11.776+01:00,   0.395E-02,   0.02372,   2.89377
      7,2020-10-28T13:53:11.821+01:00,   0.395E-02,   0.02767,   3.06293
      8,2020-10-28T13:53:11.859+01:00,   0.395E-02,   0.03162,   3.21589
      9,2020-10-28T13:53:11.902+01:00,   0.395E-02,   0.03558,   3.37815
     10,2020-10-28T13:53:11.952+01:00,   0.395E-02,   0.03953,   3.56912
     20,2020-10-28T13:53:12.314+01:00,   0.395E-02,   0.07906,   4.95933
     30,2020-10-28T13:53:12.703+01:00,   0.257E-02,   0.11246,   6.46206
     40,2020-10-28T13:53:13.084+01:00,   0.204E-02,   0.13500,   7.93254
     50,2020-10-28T13:53:13.478+01:00,   0.164E-02,   0.15327,   9.43928
     60,2020-10-28T13:53:13.842+01:00,   0.164E-02,   0.16967,  10.83608
     70,2020-10-28T13:53:14.225+01:00,   0.147E-02,   0.18541,  12.30700
     80,2020-10-28T13:53:14.570+01:00,   0.147E-02,   0.20014,  13.62866
     90,2020-10-28T13:53:14.909+01:00,   0.147E-02,   0.21487,  14.93922
    100,2020-10-28T13:53:15.604+01:00,   0.132E-02,   0.22856,  17.01901
    200,2020-10-28T13:53:21.826+01:00,   0.957E-03,   0.33850,  39.01387
    300,2020-10-28T13:53:27.315+01:00,   0.774E-03,   0.42738,  59.43706
    400,2020-10-28T13:53:32.094+01:00,   0.697E-03,   0.50257,  77.59470
    500,2020-10-28T13:53:36.564+01:00,   0.627E-03,   0.57079,  94.18863
    600,2020-10-28T13:53:40.597+01:00,   0.627E-03,   0.63348, 109.38017
    700,2020-10-28T13:53:44.542+01:00,   0.564E-03,   0.69076, 124.55128
    800,2020-10-28T13:53:48.211+01:00,   0.507E-03,   0.74653, 138.63101
    900,2020-10-28T13:53:51.278+01:00,   0.507E-03,   0.79727, 150.75492
   1000,2020-10-28T13:53:54.398+01:00,   0.507E-03,   0.84801, 163.07903
   1100,2020-10-28T13:53:57.584+01:00,   0.457E-03,   0.89520, 175.59010
   1200,2020-10-28T13:54:00.654+01:00,   0.457E-03,   0.94086, 187.72556
   1300,2020-10-28T13:54:03.676+01:00,   0.457E-03,   0.98652, 199.68963
   1400,2020-10-28T13:54:06.788+01:00,   0.411E-03,   1.03141, 212.03910
   1500,2020-10-28T13:54:09.828+01:00,   0.411E-03,   1.07251, 224.06797
   1600,2020-10-28T13:54:12.847+01:00,   0.411E-03,   1.11361, 236.05061
   1700,2020-10-28T13:54:15.925+01:00,   0.411E-03,   1.15470, 248.27668
   1800,2020-10-28T13:54:19.084+01:00,   0.411E-03,   1.19580, 260.79390
   1900,2020-10-28T13:54:22.405+01:00,   0.411E-03,   1.23690, 273.90458
   2000,2020-10-28T13:54:25.746+01:00,   0.370E-03,   1.27444, 287.16245
   2100,2020-10-28T13:54:29.285+01:00,   0.370E-03,   1.31142, 301.02728
   2200,2020-10-28T13:54:32.695+01:00,   0.332E-03,   1.34592, 314.58761
   2300,2020-10-28T13:54:36.147+01:00,   0.298E-03,   1.37807, 328.32884
   2400,2020-10-28T13:54:39.713+01:00,   0.298E-03,   1.40790, 341.88384
   2500,2020-10-28T13:54:43.056+01:00,   0.267E-03,   1.43510, 355.13010
   2600,2020-10-28T13:54:46.502+01:00,   0.267E-03,   1.46185, 368.79673
   2700,2020-10-28T13:54:49.734+01:00,   0.267E-03,   1.48859, 381.60208
   2800,2020-10-28T13:54:52.979+01:00,   0.267E-03,   1.51533, 394.46839
   2900,2020-10-28T13:54:56.283+01:00,   0.240E-03,   1.54008, 407.57326
   3000,2020-10-28T13:54:59.730+01:00,   0.265E-03,   1.56605, 421.10704
   3100,2020-10-28T13:55:03.133+01:00,   0.265E-03,   1.59250, 434.58770
   3200,2020-10-28T13:55:06.644+01:00,   0.265E-03,   1.61895, 448.50827
   3300,2020-10-28T13:55:10.005+01:00,   0.238E-03,   1.64365, 461.81943
   3400,2020-10-28T13:55:13.367+01:00,   0.262E-03,   1.66869, 475.15058
   3500,2020-10-28T13:55:16.875+01:00,   0.262E-03,   1.69487, 489.08062
   3600,2020-10-28T13:55:20.349+01:00,   0.262E-03,   1.72105, 502.86665
   3700,2020-10-28T13:55:23.745+01:00,   0.235E-03,   1.74557, 516.36021
   3800,2020-10-28T13:55:26.969+01:00,   0.259E-03,   1.77005, 529.16770
   3900,2020-10-28T13:55:30.516+01:00,   0.259E-03,   1.79594, 543.19926
   4000,2020-10-28T13:55:33.854+01:00,   0.259E-03,   1.82184, 556.45950
   4100,2020-10-28T13:55:37.279+01:00,   0.233E-03,   1.84623, 570.05916
   4200,2020-10-28T13:55:40.576+01:00,   0.256E-03,   1.87030, 583.16530
   4300,2020-10-28T13:55:44.059+01:00,   0.256E-03,   1.89593, 597.01760
   4400,2020-10-28T13:55:47.396+01:00,   0.256E-03,   1.92157, 610.24737
   4500,2020-10-28T13:55:50.784+01:00,   0.230E-03,   1.94588, 623.71117
   4600,2020-10-28T13:55:53.985+01:00,   0.253E-03,   1.96954, 636.43880
   4700,2020-10-28T13:55:57.695+01:00,   0.253E-03,   1.99488, 651.14850
   4721,2020-10-28T13:55:58.428+01:00,   0.539E-04,   2.00000, 653.99856
