s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-4.6698793E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6698793E-012, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-3.7653142E-012,-3.3378750E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1922790E-014,-3.7653476E-012, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-3.8339994E-012,-6.4736617E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1080190E-014,-3.8340641E-012, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-3.9004155E-012,-9.4317948E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1081946E-014,-3.9005098E-012, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-1.0067565E-011,-1.2349147E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1074924E-014,-1.0067689E-011, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-1.0227915E-011,-1.5158710E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1071413E-014,-1.0228067E-011, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-1.0397871E-011,-1.7802738E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1097745E-014,-1.0398049E-011, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-1.0561045E-011,-2.0327334E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0957311E-014,-1.0561248E-011, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-1.0743959E-011,-2.2718261E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1018751E-014,-1.0744186E-011, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-1.0936646E-011,-2.4953823E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1020506E-014,-1.0936895E-011, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-1.1140431E-011,-2.7229519E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0934491E-014,-1.1140703E-011, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-2.3295650E-011,-2.9323965E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0978376E-014,-2.3295943E-011, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-2.3748334E-011,-3.1329192E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0888850E-014,-2.3748647E-011, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-2.4247065E-011,-3.3235685E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0938002E-014,-2.4247397E-011, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-2.3601905E-010,-3.4965519E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0881828E-014,-2.3601940E-010, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-3.2812254E-010,-3.6824037E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0827410E-014,-3.2812291E-010, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-3.3532364E-010,-3.8567043E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0869540E-014,-3.3532403E-010, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-3.4014371E-010,-4.0307995E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0844965E-014,-3.4014412E-010, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-3.4767125E-010,-4.2036168E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0885339E-014,-3.4767167E-010, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-4.7380025E-010,-4.3556486E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0883584E-014,-4.7380068E-010, 0.0000000E+000, 0.0000000E+000
 8.2490437E-002, 0.0000000E+000, 0.0000000E+000,-2.3436262E-010,-4.4679657E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8561252E-015,-2.3436306E-010, 0.0000000E+000, 0.0000000E+000
 8.5923940E-002, 0.0000000E+000, 0.0000000E+000,-3.2786070E-010,-4.5601501E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2700525E-015,-3.2786115E-010, 0.0000000E+000, 0.0000000E+000
 8.9357436E-002, 0.0000000E+000, 0.0000000E+000,-3.3495286E-010,-4.6621075E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3529111E-015,-3.3495333E-010, 0.0000000E+000, 0.0000000E+000
 9.2370532E-002, 0.0000000E+000, 0.0000000E+000,-2.3079764E-011,-4.7402929E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4747168E-015,-2.3080238E-011, 0.0000000E+000, 0.0000000E+000
 9.5383629E-002, 0.0000000E+000, 0.0000000E+000,-2.3669604E-011,-4.7994822E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1108567E-015,-2.3670084E-011, 0.0000000E+000, 0.0000000E+000
 9.8396719E-002, 0.0000000E+000, 0.0000000E+000,-2.4166778E-011,-4.8731964E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0786159E-015,-2.4167265E-011, 0.0000000E+000, 0.0000000E+000
 1.0140982E-001, 0.0000000E+000, 0.0000000E+000,-3.2129304E-010,-4.9432043E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1361887E-015,-3.2129353E-010, 0.0000000E+000, 0.0000000E+000
 1.0404044E-001, 0.0000000E+000, 0.0000000E+000,-1.0652971E-011,-4.9953208E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2775103E-015,-1.0653471E-011, 0.0000000E+000, 0.0000000E+000
 1.0667107E-001, 0.0000000E+000, 0.0000000E+000,-1.0914513E-011,-5.0431062E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9557066E-015,-1.0915018E-011, 0.0000000E+000, 0.0000000E+000
 1.0930169E-001, 0.0000000E+000, 0.0000000E+000,-1.1125694E-011,-5.0937389E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9662575E-015,-1.1126204E-011, 0.0000000E+000, 0.0000000E+000
 1.1193232E-001, 0.0000000E+000, 0.0000000E+000,-2.3266912E-011,-5.1488567E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9820840E-015,-2.3267427E-011, 0.0000000E+000, 0.0000000E+000
 1.1456294E-001, 0.0000000E+000, 0.0000000E+000,-2.3708244E-011,-5.1986242E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0480273E-015,-2.3708763E-011, 0.0000000E+000, 0.0000000E+000
 1.1687378E-001, 0.0000000E+000, 0.0000000E+000,-1.0358654E-011,-5.2378335E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4169198E-015,-1.0359178E-011, 0.0000000E+000, 0.0000000E+000
 1.1918461E-001, 0.0000000E+000, 0.0000000E+000,-1.0524530E-011,-5.2702756E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9424822E-015,-1.0525057E-011, 0.0000000E+000, 0.0000000E+000
 1.2149544E-001, 0.0000000E+000, 0.0000000E+000,-1.0712619E-011,-5.3060317E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0746040E-015,-1.0713150E-011, 0.0000000E+000, 0.0000000E+000
 1.2380627E-001, 0.0000000E+000, 0.0000000E+000,-1.0906244E-011,-5.3411751E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0565874E-015,-1.0906778E-011, 0.0000000E+000, 0.0000000E+000
 1.2611710E-001, 0.0000000E+000, 0.0000000E+000,-1.1105143E-011,-5.3759594E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0956234E-015,-1.1105680E-011, 0.0000000E+000, 0.0000000E+000
 1.2842794E-001, 0.0000000E+000, 0.0000000E+000,-2.3198743E-011,-5.4120482E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0746040E-015,-2.3199284E-011, 0.0000000E+000, 0.0000000E+000
 1.3048194E-001, 0.0000000E+000, 0.0000000E+000,-1.0247244E-011,-5.4381492E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5571755E-015,-1.0247788E-011, 0.0000000E+000, 0.0000000E+000
 1.3253595E-001, 0.0000000E+000, 0.0000000E+000,-1.0389564E-011,-5.4581762E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3781297E-015,-1.0390109E-011, 0.0000000E+000, 0.0000000E+000
 1.3458996E-001, 0.0000000E+000, 0.0000000E+000,-1.0561961E-011,-5.4813302E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3139435E-015,-1.0562509E-011, 0.0000000E+000, 0.0000000E+000
 1.3664396E-001, 0.0000000E+000, 0.0000000E+000,-1.0738544E-011,-5.5032405E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2666484E-015,-1.0739095E-011, 0.0000000E+000, 0.0000000E+000
 1.3869797E-001, 0.0000000E+000, 0.0000000E+000,-1.0918786E-011,-5.5267471E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3747515E-015,-1.0919339E-011, 0.0000000E+000, 0.0000000E+000
 1.4075197E-001, 0.0000000E+000, 0.0000000E+000,-1.1102641E-011,-5.5511651E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2598919E-015,-1.1103196E-011, 0.0000000E+000, 0.0000000E+000
 1.4280598E-001, 0.0000000E+000, 0.0000000E+000,-2.3159188E-011,-5.5762159E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2463791E-015,-2.3159746E-011, 0.0000000E+000, 0.0000000E+000
 1.4486000E-001, 0.0000000E+000, 0.0000000E+000,-2.3533006E-011,-5.6055910E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2902959E-015,-2.3533567E-011, 0.0000000E+000, 0.0000000E+000
 1.4668645E-001, 0.0000000E+000, 0.0000000E+000,-1.0379953E-011,-5.6172875E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9008460E-015,-1.0380514E-011, 0.0000000E+000, 0.0000000E+000
 1.4851290E-001, 0.0000000E+000, 0.0000000E+000,-1.0521143E-011,-5.6312204E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6235113E-015,-1.0521706E-011, 0.0000000E+000, 0.0000000E+000
 1.5033935E-001, 0.0000000E+000, 0.0000000E+000,-1.0679401E-011,-5.6456384E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6387077E-015,-1.0679966E-011, 0.0000000E+000, 0.0000000E+000
 1.5216582E-001, 0.0000000E+000, 0.0000000E+000,-1.0840296E-011,-5.6593708E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8362612E-015,-1.0840862E-011, 0.0000000E+000, 0.0000000E+000
 1.5399227E-001, 0.0000000E+000, 0.0000000E+000,-1.1003526E-011,-5.6778879E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5285336E-015,-1.1004094E-011, 0.0000000E+000, 0.0000000E+000
 1.5581872E-001, 0.0000000E+000, 0.0000000E+000,-1.1169061E-011,-5.6902833E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5361319E-015,-1.1169630E-011, 0.0000000E+000, 0.0000000E+000
 1.5764518E-001, 0.0000000E+000, 0.0000000E+000,-2.3255211E-011,-5.7060319E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7792746E-015,-2.3255782E-011, 0.0000000E+000, 0.0000000E+000
 1.5947163E-001, 0.0000000E+000, 0.0000000E+000,-2.3586139E-011,-5.7236969E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6159131E-015,-2.3586711E-011, 0.0000000E+000, 0.0000000E+000
 1.6129808E-001, 0.0000000E+000, 0.0000000E+000,-2.3939071E-011,-5.7469776E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6994934E-015,-2.3939646E-011, 0.0000000E+000, 0.0000000E+000
 1.6312455E-001, 0.0000000E+000, 0.0000000E+000,-3.1630689E-010,-5.7595854E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6463059E-015,-3.1630747E-010, 0.0000000E+000, 0.0000000E+000
 1.6476370E-001, 0.0000000E+000, 0.0000000E+000,-1.0718811E-011,-5.7710765E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2416432E-015,-1.0719388E-011, 0.0000000E+000, 0.0000000E+000
 1.6640288E-001, 0.0000000E+000, 0.0000000E+000,-1.0925397E-011,-5.7809433E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2543427E-015,-1.0925975E-011, 0.0000000E+000, 0.0000000E+000
 1.6804205E-001, 0.0000000E+000, 0.0000000E+000,-1.1072169E-011,-5.7923674E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0215180E-015,-1.1072748E-011, 0.0000000E+000, 0.0000000E+000
 1.6968122E-001, 0.0000000E+000, 0.0000000E+000,-2.3014078E-011,-5.8028003E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0977151E-015,-2.3014658E-011, 0.0000000E+000, 0.0000000E+000
 1.7132039E-001, 0.0000000E+000, 0.0000000E+000,-2.3301313E-011,-5.8142773E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1146479E-015,-2.3301895E-011, 0.0000000E+000, 0.0000000E+000
 1.7295955E-001, 0.0000000E+000, 0.0000000E+000,-2.3608981E-011,-5.8254949E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0511502E-015,-2.3609564E-011, 0.0000000E+000, 0.0000000E+000
 1.7459872E-001, 0.0000000E+000, 0.0000000E+000,-2.3920125E-011,-5.8376842E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1442801E-015,-2.3920709E-011, 0.0000000E+000, 0.0000000E+000
 1.7623790E-001, 0.0000000E+000, 0.0000000E+000,-2.4200648E-011,-5.8510110E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1781455E-015,-2.4201234E-011, 0.0000000E+000, 0.0000000E+000
 1.7787707E-001, 0.0000000E+000, 0.0000000E+000,-3.1961723E-010,-5.8623021E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0384507E-015,-3.1961782E-010, 0.0000000E+000, 0.0000000E+000
 1.7951624E-001, 0.0000000E+000, 0.0000000E+000,-3.2170701E-010,-5.8778112E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9368544E-015,-3.2170760E-010, 0.0000000E+000, 0.0000000E+000
 1.8115540E-001, 0.0000000E+000, 0.0000000E+000,-3.2587270E-010,-5.8868137E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2543427E-015,-3.2587329E-010, 0.0000000E+000, 0.0000000E+000
 1.8279457E-001, 0.0000000E+000, 0.0000000E+000,-3.3010177E-010,-5.9010453E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1696792E-015,-3.3010236E-010, 0.0000000E+000, 0.0000000E+000
 1.8443374E-001, 0.0000000E+000, 0.0000000E+000,-3.3042965E-010,-5.9140596E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1358137E-015,-3.3043025E-010, 0.0000000E+000, 0.0000000E+000
 1.8590620E-001, 0.0000000E+000, 0.0000000E+000,-2.3370240E-011,-5.9212853E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7086813E-015,-2.3370832E-011, 0.0000000E+000, 0.0000000E+000
