,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T13:57:05.276+01:00,   0.395E-02,   0.00395,   0.476E+01
      2,2020-11-13T13:57:06.403+01:00,   0.395E-02,   0.00791,   0.676E+01
      3,2020-11-13T13:57:07.499+01:00,   0.395E-02,   0.01186,   0.870E+01
      4,2020-11-13T13:57:08.617+01:00,   0.395E-02,   0.01581,   0.107E+02
      5,2020-11-13T13:57:09.759+01:00,   0.395E-02,   0.01976,   0.127E+02
      6,2020-11-13T13:57:10.925+01:00,   0.395E-02,   0.02372,   0.148E+02
      7,2020-11-13T13:57:12.065+01:00,   0.395E-02,   0.02767,   0.168E+02
      8,2020-11-13T13:57:13.253+01:00,   0.395E-02,   0.03162,   0.190E+02
      9,2020-11-13T13:57:14.487+01:00,   0.395E-02,   0.03558,   0.211E+02
     10,2020-11-13T13:57:15.731+01:00,   0.395E-02,   0.03953,   0.233E+02
     20,2020-11-13T13:57:30.041+01:00,   0.395E-02,   0.07906,   0.493E+02
     30,2020-11-13T13:57:44.983+01:00,   0.263E-02,   0.10930,   0.766E+02
     40,2020-11-13T13:57:58.048+01:00,   0.205E-02,   0.13254,   0.100E+03
     50,2020-11-13T13:58:10.947+01:00,   0.183E-02,   0.15217,   0.123E+03
     60,2020-11-13T13:58:23.263+01:00,   0.164E-02,   0.16968,   0.146E+03
     70,2020-11-13T13:58:37.335+01:00,   0.147E-02,   0.18591,   0.172E+03
     80,2020-11-13T13:58:51.981+01:00,   0.147E-02,   0.20063,   0.199E+03
     90,2020-11-13T13:59:08.735+01:00,   0.132E-02,   0.21476,   0.230E+03
    100,2020-11-13T13:59:25.208+01:00,   0.132E-02,   0.22801,   0.261E+03
    200,2020-11-13T14:02:18.811+01:00,   0.960E-03,   0.33875,   0.594E+03
    300,2020-11-13T14:05:19.067+01:00,   0.775E-03,   0.42746,   0.943E+03
