s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1562970E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7926068E-002, 4.9600932E-005, 1.0000000E+000, 1.4519120E+000, 1.0000000E+001, 2.0147056E-009, 8.2956943E-002
 7.9056942E-003, 5.7916515E-002, 4.7948259E-005, 1.0000000E+000, 1.6914840E+000, 1.0000000E+001, 9.5437943E-009, 8.3824087E-002
 1.1858541E-002, 5.7910414E-002, 4.8823637E-005, 1.0000000E+000, 1.9174860E+000, 1.0000000E+001, 9.7172551E-009, 8.3823527E-002
 1.5811388E-002, 5.7900284E-002, 4.9671347E-005, 1.0000000E+000, 2.1593709E+000, 1.0000000E+001, 9.8860351E-009, 8.3823860E-002
 1.9764235E-002, 5.7888350E-002, 4.4622838E-005, 1.0000000E+000, 2.3567391E+000, 1.1000000E+001, 7.0937158E-009, 9.9867311E-002
 2.3717082E-002, 5.7880137E-002, 4.5335149E-005, 1.0000000E+000, 2.5986159E+000, 1.1000000E+001, 7.2122201E-009, 9.9874159E-002
 2.7669930E-002, 5.7864676E-002, 4.6090668E-005, 1.0000000E+000, 2.8342459E+000, 1.1000000E+001, 7.3395028E-009, 9.9883223E-002
 3.1622777E-002, 5.7836473E-002, 4.6816857E-005, 1.0000000E+000, 3.0816801E+000, 1.1000000E+001, 7.4643789E-009, 9.9894843E-002
 3.5575624E-002, 5.7817217E-002, 4.7631392E-005, 1.0000000E+000, 3.2835269E+000, 1.1000000E+001, 7.6058677E-009, 9.9909198E-002
 3.9528471E-002, 5.7796171E-002, 4.8490221E-005, 1.0000000E+000, 3.5319820E+000, 1.1000000E+001, 7.7573794E-009, 9.9926616E-002
 4.3481318E-002, 5.7773317E-002, 4.9399362E-005, 1.0000000E+000, 3.7931700E+000, 1.1000000E+001, 7.9202974E-009, 9.9947369E-002
 4.7434165E-002, 5.7748655E-002, 4.7780656E-005, 1.0000000E+000, 4.0491932E+000, 1.1000000E+001, 7.9130530E-009, 9.8316140E-002
 5.1387012E-002, 5.7729622E-002, 4.8715226E-005, 1.0000000E+000, 4.2538669E+000, 1.1000000E+001, 8.0931022E-009, 9.8344898E-002
 5.5339859E-002, 5.7701481E-002, 4.9745314E-005, 1.0000000E+000, 4.5020221E+000, 1.1000000E+001, 8.2934837E-009, 9.8377393E-002
 5.9292706E-002, 5.7656741E-002, 4.9262275E-005, 1.0000000E+000, 4.7581289E+000, 1.1000000E+001, 1.3679799E-009, 7.9907402E-002
 6.3245553E-002, 5.7682114E-002, 4.5810458E-005, 1.0000000E+000, 5.0460518E+000, 1.1000000E+001, 2.0539432E-009, 8.2398992E-002
 6.7198400E-002, 5.7664165E-002, 4.6891057E-005, 1.0000000E+000, 5.2887810E+000, 1.1000000E+001, 2.1149950E-009, 8.2455797E-002
 7.1151247E-002, 5.7515692E-002, 4.7653100E-005, 1.0000000E+000, 5.5997250E+000, 1.1000000E+001, 2.1681872E-009, 8.2535034E-002
 7.5104094E-002, 5.7446244E-002, 4.8799618E-005, 1.0000000E+000, 5.9071148E+000, 1.1000000E+001, 2.2358313E-009, 8.2601321E-002
 7.9056942E-002, 5.7405062E-002, 4.4067599E-005, 1.0000000E+000, 6.2246921E+000, 1.1000000E+001, 3.8133982E-009, 8.6186025E-002
 8.2490439E-002, 5.7567966E-002, 4.9407354E-005, 1.0000000E+000, 6.6145828E+000, 1.1000000E+001, 1.6763713E-009, 8.0413722E-002
 8.5923937E-002, 5.7481374E-002, 4.6258380E-005, 1.0000000E+000, 6.8705442E+000, 1.1000000E+001, 2.4744572E-009, 8.2745742E-002
 8.9357435E-002, 5.7462432E-002, 4.7343697E-005, 1.0000000E+000, 7.1465552E+000, 1.1000000E+001, 2.5489588E-009, 8.2807911E-002
 9.2370531E-002, 5.7472866E-002, 4.7446815E-005, 1.0000000E+000, 7.5218108E+000, 1.2000000E+001, 4.7238722E-010, 9.2269086E-002
 9.5383626E-002, 5.7335769E-002, 4.8667751E-005, 1.0000000E+000, 7.7672489E+000, 1.2000000E+001, 4.8707991E-010, 9.2310153E-002
 9.8396721E-002, 5.7300245E-002, 4.9699171E-005, 1.0000000E+000, 7.9876869E+000, 1.2000000E+001, 5.0095641E-010, 9.2365913E-002
 1.0140982E-001, 5.7244198E-002, 4.5680265E-005, 1.0000000E+000, 8.2711923E+000, 1.1000000E+001, 2.8580131E-009, 8.2999806E-002
 1.0404044E-001, 5.7352285E-002, 4.7424851E-005, 1.0000000E+000, 8.6103227E+000, 1.2000000E+001, 5.2273495E-010, 9.3666326E-002
 1.0667107E-001, 5.7195462E-002, 4.8597133E-005, 1.0000000E+000, 8.8428257E+000, 1.2000000E+001, 5.3769719E-010, 9.3696822E-002
 1.0930169E-001, 5.7161212E-002, 4.9546351E-005, 1.0000000E+000, 9.0595844E+000, 1.2000000E+001, 5.5133963E-010, 9.3742316E-002
 1.1193232E-001, 5.7126061E-002, 4.7885078E-005, 1.0000000E+000, 9.3100031E+000, 1.2000000E+001, 5.7041515E-010, 9.2611068E-002
 1.1456295E-001, 5.7101290E-002, 4.8799990E-005, 1.0000000E+000, 9.5705927E+000, 1.2000000E+001, 5.8495558E-010, 9.2660000E-002
 1.1687378E-001, 5.7082702E-002, 4.6152009E-005, 1.0000000E+000, 9.8910120E+000, 1.2000000E+001, 5.9357263E-010, 9.3863133E-002
 1.1918461E-001, 5.7033628E-002, 4.6897650E-005, 1.0000000E+000, 1.0107707E+001, 1.2000000E+001, 6.0644717E-010, 9.3906313E-002
 1.2149544E-001, 5.7000359E-002, 4.7741755E-005, 1.0000000E+000, 1.0348773E+001, 1.2000000E+001, 6.2020247E-010, 9.3942850E-002
 1.2380627E-001, 5.6966542E-002, 4.8610409E-005, 1.0000000E+000, 1.0601226E+001, 1.2000000E+001, 6.3431335E-010, 9.3978397E-002
 1.2611710E-001, 5.6932134E-002, 4.9502442E-005, 1.0000000E+000, 1.0842104E+001, 1.2000000E+001, 6.4877035E-010, 9.4013027E-002
 1.2842793E-001, 5.6897136E-002, 4.7779226E-005, 1.0000000E+000, 1.1063874E+001, 1.2000000E+001, 6.7088091E-010, 9.2884065E-002
 1.3048194E-001, 5.6911160E-002, 4.5686285E-005, 1.0000000E+000, 1.1385839E+001, 1.2000000E+001, 6.7810528E-010, 9.4065870E-002
 1.3253595E-001, 5.6841073E-002, 4.6325357E-005, 1.0000000E+000, 1.1663022E+001, 1.2000000E+001, 6.9084941E-010, 9.4103420E-002
 1.3458995E-001, 5.6808578E-002, 4.7097718E-005, 1.0000000E+000, 1.1903037E+001, 1.2000000E+001, 7.0482716E-010, 9.4131218E-002
 1.3664396E-001, 5.6775697E-002, 4.7888618E-005, 1.0000000E+000, 1.2160482E+001, 1.2000000E+001, 7.1909052E-010, 9.4158102E-002
 1.3869797E-001, 5.6742356E-002, 4.8695720E-005, 1.0000000E+000, 1.2365324E+001, 1.2000000E+001, 7.3361954E-010, 9.4184253E-002
 1.4075198E-001, 5.6708555E-002, 4.9518817E-005, 1.0000000E+000, 1.2618641E+001, 1.2000000E+001, 7.4841132E-010, 9.4209687E-002
 1.4280598E-001, 5.6674295E-002, 4.7717914E-005, 1.0000000E+000, 1.2866889E+001, 1.2000000E+001, 7.7324416E-010, 9.3083713E-002
 1.4485999E-001, 5.6653799E-002, 4.8490592E-005, 1.0000000E+000, 1.3123295E+001, 1.2000000E+001, 7.8863042E-010, 9.3112227E-002
