,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T14:09:06.472+01:00,   0.395E-02,   0.00395,   0.150E+01
      2,2020-11-13T14:09:06.534+01:00,   0.395E-02,   0.00791,   0.174E+01
      3,2020-11-13T14:09:06.593+01:00,   0.395E-02,   0.01186,   0.197E+01
      4,2020-11-13T14:09:06.645+01:00,   0.395E-02,   0.01581,   0.217E+01
      5,2020-11-13T14:09:06.704+01:00,   0.395E-02,   0.01976,   0.240E+01
      6,2020-11-13T14:09:06.767+01:00,   0.395E-02,   0.02372,   0.265E+01
      7,2020-11-13T14:09:06.827+01:00,   0.395E-02,   0.02767,   0.288E+01
      8,2020-11-13T14:09:06.881+01:00,   0.395E-02,   0.03162,   0.310E+01
      9,2020-11-13T14:09:06.942+01:00,   0.395E-02,   0.03558,   0.333E+01
     10,2020-11-13T14:09:07.008+01:00,   0.395E-02,   0.03953,   0.358E+01
     20,2020-11-13T14:09:07.699+01:00,   0.395E-02,   0.07906,   0.627E+01
     30,2020-11-13T14:09:08.423+01:00,   0.263E-02,   0.10930,   0.911E+01
     40,2020-11-13T14:09:09.089+01:00,   0.205E-02,   0.13254,   0.117E+02
     50,2020-11-13T14:09:09.724+01:00,   0.183E-02,   0.15217,   0.142E+02
     60,2020-11-13T14:09:10.358+01:00,   0.164E-02,   0.16968,   0.166E+02
     70,2020-11-13T14:09:11.168+01:00,   0.147E-02,   0.18591,   0.198E+02
     80,2020-11-13T14:09:12.903+01:00,   0.147E-02,   0.20063,   0.267E+02
     90,2020-11-13T14:09:14.984+01:00,   0.132E-02,   0.21476,   0.349E+02
    100,2020-11-13T14:09:16.232+01:00,   0.132E-02,   0.22801,   0.398E+02
    200,2020-11-13T14:09:26.431+01:00,   0.960E-03,   0.33875,   0.792E+02
    300,2020-11-13T14:09:36.551+01:00,   0.775E-03,   0.42746,   0.119E+03
    400,2020-11-13T14:09:45.296+01:00,   0.697E-03,   0.50288,   0.153E+03
    500,2020-11-13T14:09:53.723+01:00,   0.627E-03,   0.57094,   0.187E+03
    600,2020-11-13T14:10:02.158+01:00,   0.627E-03,   0.63368,   0.220E+03
    700,2020-11-13T14:10:10.646+01:00,   0.564E-03,   0.69081,   0.254E+03
    800,2020-11-13T14:10:19.451+01:00,   0.508E-03,   0.74645,   0.289E+03
    900,2020-11-13T14:10:28.023+01:00,   0.508E-03,   0.79721,   0.323E+03
   1000,2020-11-13T14:10:38.311+01:00,   0.508E-03,   0.84798,   0.364E+03
   1100,2020-11-13T14:10:51.846+01:00,   0.457E-03,   0.89519,   0.418E+03
   1200,2020-11-13T14:11:10.237+01:00,   0.457E-03,   0.94088,   0.491E+03
   1300,2020-11-13T14:11:37.097+01:00,   0.457E-03,   0.98656,   0.598E+03
   1400,2020-11-13T14:12:07.928+01:00,   0.411E-03,   1.03142,   0.722E+03
   1500,2020-11-13T14:12:33.706+01:00,   0.411E-03,   1.07253,   0.824E+03
   1600,2020-11-13T14:13:05.588+01:00,   0.411E-03,   1.11364,   0.952E+03
   1700,2020-11-13T14:13:37.593+01:00,   0.411E-03,   1.15475,   0.108E+04
   1800,2020-11-13T14:14:09.309+01:00,   0.411E-03,   1.19586,   0.121E+04
   1900,2020-11-13T14:14:41.330+01:00,   0.411E-03,   1.23697,   0.133E+04
   2000,2020-11-13T14:15:13.639+01:00,   0.370E-03,   1.27404,   0.146E+04
   2100,2020-11-13T14:15:54.536+01:00,   0.370E-03,   1.31102,   0.163E+04
