s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0785210E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7931821E-002, 5.6976866E-005, 1.0000000E+000, 1.3228800E+000, 1.0000000E+001, 2.6647637E-009, 8.4811128E-002
 7.9056942E-003, 5.7926405E-002, 5.9273660E-005, 1.0000000E+000, 1.5437180E+000, 1.0000000E+001, 2.7722386E-009, 8.4811238E-002
 1.1858541E-002, 5.7918238E-002, 6.0377131E-005, 1.0000000E+000, 1.7535180E+000, 1.0000000E+001, 2.8235545E-009, 8.4810575E-002
 1.5811388E-002, 5.7908245E-002, 6.1428431E-005, 1.0000000E+000, 1.9735780E+000, 1.0000000E+001, 2.8726080E-009, 8.4810828E-002
 1.9764235E-002, 5.7896444E-002, 6.2469387E-005, 1.0000000E+000, 2.1474219E+000, 1.0000000E+001, 2.9214005E-009, 8.4812158E-002
 2.3717082E-002, 5.7882838E-002, 6.3518273E-005, 1.0000000E+000, 2.3681350E+000, 1.0000000E+001, 2.9708223E-009, 8.4814692E-002
 2.7669930E-002, 5.7867428E-002, 6.4591947E-005, 1.0000000E+000, 2.5777820E+000, 1.0000000E+001, 3.0217007E-009, 8.4818560E-002
 3.1622777E-002, 5.7850216E-002, 6.5706010E-005, 1.0000000E+000, 2.8000560E+000, 1.0000000E+001, 3.0748087E-009, 8.4823899E-002
 3.5575624E-002, 5.7831203E-002, 6.6874595E-005, 1.0000000E+000, 2.9745260E+000, 1.0000000E+001, 3.1308560E-009, 8.4830856E-002
 3.9528471E-002, 5.7810392E-002, 6.8110212E-005, 1.0000000E+000, 3.1979509E+000, 1.0000000E+001, 3.1904817E-009, 8.4839582E-002
 4.3481318E-002, 5.7787785E-002, 6.9423638E-005, 1.0000000E+000, 3.4091120E+000, 1.0000000E+001, 3.2542481E-009, 8.4850220E-002
 4.7434165E-002, 5.7763384E-002, 7.0823860E-005, 1.0000000E+000, 3.6303311E+000, 1.0000000E+001, 3.3226357E-009, 8.4862899E-002
 5.1387012E-002, 5.7737194E-002, 7.2318074E-005, 1.0000000E+000, 3.8301001E+000, 1.0000000E+001, 3.3960409E-009, 8.4877717E-002
 5.5339859E-002, 5.7709216E-002, 7.3911749E-005, 1.0000000E+000, 4.0553189E+000, 1.0000000E+001, 3.4747757E-009, 8.4894730E-002
 5.9292706E-002, 5.7679455E-002, 7.5608763E-005, 1.0000000E+000, 4.2611371E+000, 1.0000000E+001, 3.5590698E-009, 8.4913942E-002
 6.3245553E-002, 5.7647914E-002, 7.7411606E-005, 1.0000000E+000, 4.4780541E+000, 1.0000000E+001, 3.6490776E-009, 8.4935292E-002
 6.7198400E-002, 5.7614596E-002, 7.9321662E-005, 1.0000000E+000, 4.6510459E+000, 1.0000000E+001, 3.7448867E-009, 8.4958650E-002
 7.1151247E-002, 5.7579507E-002, 8.1339538E-005, 1.0000000E+000, 4.8693991E+000, 1.0000000E+001, 3.8465312E-009, 8.4983817E-002
 7.5104094E-002, 5.7542649E-002, 8.3465442E-005, 1.0000000E+000, 5.0744591E+000, 1.0000000E+001, 3.9540078E-009, 8.5010526E-002
 7.9056942E-002, 5.7504029E-002, 8.5699573E-005, 1.0000000E+000, 5.2917238E+000, 1.0000000E+001, 4.0672930E-009, 8.5038451E-002
 8.2495219E-002, 5.7478559E-002, 7.6565196E-005, 1.0000000E+000, 5.5640641E+000, 1.0000000E+001, 4.1843482E-009, 8.5062956E-002
 8.5933496E-002, 5.7442397E-002, 7.8182149E-005, 1.0000000E+000, 5.7489348E+000, 1.0000000E+001, 4.2799268E-009, 8.5088915E-002
 8.9371773E-002, 5.7405119E-002, 8.0092898E-005, 1.0000000E+000, 5.9582258E+000, 1.0000000E+001, 4.3917998E-009, 8.5114390E-002
