,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T12:52:15.203+01:00,   0.395E-02,   0.00395,   0.526E+01
      2,2020-11-13T12:52:16.650+01:00,   0.395E-02,   0.00791,   0.784E+01
      3,2020-11-13T12:52:18.188+01:00,   0.395E-02,   0.01186,   0.106E+02
      4,2020-11-13T12:52:19.800+01:00,   0.395E-02,   0.01581,   0.136E+02
      5,2020-11-13T12:52:21.408+01:00,   0.395E-02,   0.01976,   0.165E+02
      6,2020-11-13T12:52:23.141+01:00,   0.395E-02,   0.02372,   0.197E+02
      7,2020-11-13T12:52:24.915+01:00,   0.395E-02,   0.02767,   0.230E+02
      8,2020-11-13T12:52:26.732+01:00,   0.395E-02,   0.03162,   0.264E+02
      9,2020-11-13T12:52:28.606+01:00,   0.395E-02,   0.03558,   0.298E+02
     10,2020-11-13T12:52:30.619+01:00,   0.395E-02,   0.03953,   0.336E+02
     20,2020-11-13T12:52:56.543+01:00,   0.395E-02,   0.07906,   0.827E+02
     30,2020-11-13T12:53:22.729+01:00,   0.263E-02,   0.10931,   0.132E+03
     40,2020-11-13T12:53:44.358+01:00,   0.205E-02,   0.13255,   0.173E+03
     50,2020-11-13T12:54:05.400+01:00,   0.183E-02,   0.15217,   0.212E+03
     60,2020-11-13T12:54:27.172+01:00,   0.164E-02,   0.16969,   0.253E+03
     70,2020-11-13T12:54:52.266+01:00,   0.147E-02,   0.18591,   0.301E+03
     80,2020-11-13T12:55:17.739+01:00,   0.147E-02,   0.20064,   0.349E+03
     90,2020-11-13T12:55:54.569+01:00,   0.133E-02,   0.21478,   0.421E+03
    100,2020-11-13T12:56:31.808+01:00,   0.133E-02,   0.22803,   0.493E+03
    200,2020-11-13T13:05:10.838+01:00,   0.960E-03,   0.33879,   0.152E+04
    300,2020-11-13T13:17:25.294+01:00,   0.777E-03,   0.42744,   0.297E+04
    400,2020-11-13T13:29:55.874+01:00,   0.698E-03,   0.50290,   0.447E+04
    500,2020-11-13T13:42:39.199+01:00,   0.628E-03,   0.57098,   0.598E+04
    600,2020-11-13T13:55:31.713+01:00,   0.628E-03,   0.63379,   0.752E+04
