s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9367090E+000
 3.9528471E-003, 5.7933749E-002, 4.3368087E-019, 1.0000000E+000, 3.1989830E+000
 7.9056942E-003, 5.7927390E-002, 8.6736174E-019, 1.0000000E+000, 4.3010300E+000
 1.1858541E-002, 5.7919221E-002, 8.6736174E-019, 1.0000000E+000, 5.3557828E+000
 1.5811388E-002, 5.7909244E-002, 1.7347235E-018, 1.0000000E+000, 6.4520429E+000
 1.9764235E-002, 5.7897460E-002, 1.7347235E-018, 1.0000000E+000, 7.4910201E+000
 2.3717082E-002, 5.7883871E-002, 3.4694470E-018, 1.0000000E+000, 8.5981272E+000
 2.7669930E-002, 5.7868477E-002, 3.4694470E-018, 1.0000000E+000, 9.6822508E+000
 3.1622777E-002, 5.7851282E-002, 3.4694470E-018, 1.0000000E+000, 1.0827851E+001
 3.5575624E-002, 5.7832286E-002, 3.4694470E-018, 1.0000000E+000, 1.1872740E+001
 3.9528471E-002, 5.7811493E-002, 3.4694470E-018, 1.0000000E+000, 1.3017413E+001
 4.3481318E-002, 5.7788905E-002, 3.4694470E-018, 1.0000000E+000, 1.4106108E+001
 4.7434165E-002, 5.7764525E-002, 3.4694470E-018, 1.0000000E+000, 1.5212353E+001
 5.1387012E-002, 5.7738356E-002, 3.4694470E-018, 1.0000000E+000, 1.6252474E+001
 5.5339859E-002, 5.7710402E-002, 3.4694470E-018, 1.0000000E+000, 1.7388586E+001
 5.9292706E-002, 5.7680664E-002, 3.4694470E-018, 1.0000000E+000, 1.8459596E+001
 6.3245553E-002, 5.7649149E-002, 6.9388939E-018, 1.0000000E+000, 1.9576012E+001
 6.7198400E-002, 5.7615858E-002, 6.9388939E-018, 1.0000000E+000, 2.0623257E+001
 7.1151247E-002, 5.7580797E-002, 6.9388939E-018, 1.0000000E+000, 2.1755493E+001
 7.5104094E-002, 5.7543970E-002, 6.9388939E-018, 1.0000000E+000, 2.2796316E+001
 7.9056942E-002, 5.7505381E-002, 6.9388939E-018, 1.0000000E+000, 2.3896734E+001
 8.2484486E-002, 5.7480034E-002, 6.9388939E-018, 1.0000000E+000, 2.5102041E+001
 8.5912031E-002, 5.7444242E-002, 6.9388939E-018, 1.0000000E+000, 2.6201429E+001
 8.9339576E-002, 5.7407135E-002, 6.9388939E-018, 1.0000000E+000, 2.7277508E+001
 9.2349007E-002, 5.7382047E-002, 6.9388939E-018, 1.0000000E+000, 2.8534714E+001
 9.5358437E-002, 5.7347660E-002, 6.9388939E-018, 1.0000000E+000, 2.9603161E+001
 9.8367868E-002, 5.7312265E-002, 6.9388939E-018, 1.0000000E+000, 3.0707613E+001
 1.0137730E-001, 5.7275867E-002, 6.9388939E-018, 1.0000000E+000, 3.1785286E+001
 1.0400420E-001, 5.7252160E-002, 1.3877788E-017, 1.0000000E+000, 3.3049574E+001
 1.0663110E-001, 5.7219031E-002, 6.9388939E-018, 1.0000000E+000, 3.4092432E+001
 1.0925800E-001, 5.7185143E-002, 1.3877788E-017, 1.0000000E+000, 3.5199800E+001
 1.1188490E-001, 5.7150496E-002, 6.9388939E-018, 1.0000000E+000, 3.6288858E+001
 1.1451180E-001, 5.7115092E-002, 6.9388939E-018, 1.0000000E+000, 3.7439669E+001
 1.1682008E-001, 5.7091695E-002, 6.9388939E-018, 1.0000000E+000, 3.8678671E+001
 1.1912836E-001, 5.7059543E-002, 6.9388939E-018, 1.0000000E+000, 3.9776785E+001
 1.2143664E-001, 5.7026812E-002, 6.9388939E-018, 1.0000000E+000, 4.1087232E+001
 1.2374492E-001, 5.6993501E-002, 6.9388939E-018, 1.0000000E+000, 4.2183225E+001
 1.2605319E-001, 5.6959612E-002, 1.3877788E-017, 1.0000000E+000, 4.3260698E+001
 1.2836147E-001, 5.6925147E-002, 1.3877788E-017, 1.0000000E+000, 4.4357992E+001
 1.3041382E-001, 5.6901498E-002, 0.0000000E+000, 1.0000000E+000, 4.5607382E+001
 1.3246616E-001, 5.6870033E-002, 0.0000000E+000, 1.0000000E+000, 4.6706209E+001
 1.3451851E-001, 5.6838115E-002, 1.3877788E-017, 1.0000000E+000, 4.7781790E+001
 1.3657085E-001, 5.6805746E-002, 1.3877788E-017, 1.0000000E+000, 4.8969278E+001
 1.3862319E-001, 5.6772926E-002, 1.3877788E-017, 1.0000000E+000, 5.0070082E+001
 1.4067554E-001, 5.6739656E-002, 1.3877788E-017, 1.0000000E+000, 5.1170976E+001
 1.4272788E-001, 5.6705938E-002, 1.3877788E-017, 1.0000000E+000, 5.2216902E+001
 1.4478022E-001, 5.6671773E-002, 1.3877788E-017, 1.0000000E+000, 5.3313307E+001
 1.4660554E-001, 5.6648454E-002, 1.3877788E-017, 1.0000000E+000, 5.4515039E+001
 1.4843085E-001, 5.6617430E-002, 1.3877788E-017, 1.0000000E+000, 5.5610315E+001
 1.5025616E-001, 5.6586054E-002, 1.3877788E-017, 1.0000000E+000, 5.6722353E+001
 1.5208148E-001, 5.6554328E-002, 2.7755576E-017, 1.0000000E+000, 5.7822130E+001
 1.5390679E-001, 5.6522252E-002, 1.3877788E-017, 1.0000000E+000, 5.8904615E+001
 1.5573210E-001, 5.6489827E-002, 1.3877788E-017, 1.0000000E+000, 5.9429930E+001
 1.5755742E-001, 5.6457053E-002, 1.3877788E-017, 1.0000000E+000, 6.0510149E+001
 1.5938273E-001, 5.6423933E-002, 1.3877788E-017, 1.0000000E+000, 6.1647272E+001
 1.6120804E-001, 5.6390465E-002, 1.3877788E-017, 1.0000000E+000, 6.2730661E+001
 1.6303336E-001, 5.6356652E-002, 1.3877788E-017, 1.0000000E+000, 6.3834669E+001
 1.6467177E-001, 5.6332858E-002, 1.3877788E-017, 1.0000000E+000, 6.5118078E+001
 1.6631019E-001, 5.6302000E-002, 1.3877788E-017, 1.0000000E+000, 6.6320394E+001
 1.6794861E-001, 5.6270866E-002, 1.3877788E-017, 1.0000000E+000, 6.7397215E+001
 1.6958703E-001, 5.6239455E-002, 1.3877788E-017, 1.0000000E+000, 6.7928205E+001
 1.7122544E-001, 5.6207770E-002, 1.3877788E-017, 1.0000000E+000, 6.8972395E+001
 1.7286386E-001, 5.6175809E-002, 1.3877788E-017, 1.0000000E+000, 7.0069898E+001
 1.7450228E-001, 5.6143574E-002, 1.3877788E-017, 1.0000000E+000, 7.1108656E+001
 1.7614070E-001, 5.6111066E-002, 1.3877788E-017, 1.0000000E+000, 7.2205808E+001
 1.7777911E-001, 5.6078285E-002, 1.3877788E-017, 1.0000000E+000, 7.3479612E+001
 1.7941753E-001, 5.6045232E-002, 1.3877788E-017, 1.0000000E+000, 7.4007551E+001
 1.8105595E-001, 5.6011908E-002, 1.3877788E-017, 1.0000000E+000, 7.5054731E+001
 1.8269437E-001, 5.5978313E-002, 1.3877788E-017, 1.0000000E+000, 7.6195646E+001
 1.8433278E-001, 5.5944447E-002, 1.3877788E-017, 1.0000000E+000, 7.7240141E+001
