,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T11:36:21.128+01:00,   0.395E-02,   0.00395,   0.374E+01
      2,2020-11-13T11:36:21.804+01:00,   0.395E-02,   0.00791,   0.485E+01
      3,2020-11-13T11:36:22.459+01:00,   0.395E-02,   0.01186,   0.590E+01
      4,2020-11-13T11:36:23.123+01:00,   0.395E-02,   0.01581,   0.700E+01
      5,2020-11-13T11:36:23.771+01:00,   0.395E-02,   0.01976,   0.804E+01
      6,2020-11-13T11:36:24.490+01:00,   0.395E-02,   0.02372,   0.919E+01
      7,2020-11-13T11:36:25.177+01:00,   0.395E-02,   0.02767,   0.103E+02
      8,2020-11-13T11:36:25.846+01:00,   0.395E-02,   0.03162,   0.114E+02
      9,2020-11-13T11:36:26.503+01:00,   0.395E-02,   0.03558,   0.124E+02
     10,2020-11-13T11:36:27.241+01:00,   0.395E-02,   0.03953,   0.136E+02
     20,2020-11-13T11:36:33.961+01:00,   0.395E-02,   0.07906,   0.244E+02
     30,2020-11-13T11:36:40.957+01:00,   0.263E-02,   0.10926,   0.358E+02
     40,2020-11-13T11:36:48.141+01:00,   0.205E-02,   0.13247,   0.473E+02
     50,2020-11-13T11:36:55.087+01:00,   0.183E-02,   0.15208,   0.584E+02
     60,2020-11-13T11:37:01.277+01:00,   0.164E-02,   0.16959,   0.685E+02
     70,2020-11-13T11:37:07.431+01:00,   0.147E-02,   0.18581,   0.785E+02
     80,2020-11-13T11:37:13.226+01:00,   0.147E-02,   0.20053,   0.881E+02
     90,2020-11-13T11:37:19.131+01:00,   0.132E-02,   0.21466,   0.977E+02
    100,2020-11-13T11:37:24.279+01:00,   0.132E-02,   0.22791,   0.106E+03
    200,2020-11-13T11:38:13.691+01:00,   0.960E-03,   0.33864,   0.190E+03
    300,2020-11-13T11:38:57.788+01:00,   0.776E-03,   0.42727,   0.266E+03
    400,2020-11-13T11:39:38.982+01:00,   0.698E-03,   0.50272,   0.339E+03
    500,2020-11-13T11:40:19.484+01:00,   0.628E-03,   0.57078,   0.410E+03
    600,2020-11-13T11:40:58.215+01:00,   0.628E-03,   0.63357,   0.479E+03
    700,2020-11-13T11:41:35.330+01:00,   0.565E-03,   0.69065,   0.546E+03
    800,2020-11-13T11:42:12.266+01:00,   0.508E-03,   0.74619,   0.612E+03
    900,2020-11-13T11:42:47.695+01:00,   0.508E-03,   0.79704,   0.677E+03
   1000,2020-11-13T11:43:23.160+01:00,   0.508E-03,   0.84788,   0.742E+03
   1100,2020-11-13T11:43:58.405+01:00,   0.457E-03,   0.89495,   0.806E+03
   1200,2020-11-13T11:44:32.904+01:00,   0.457E-03,   0.94070,   0.869E+03
   1300,2020-11-13T11:45:07.573+01:00,   0.457E-03,   0.98644,   0.933E+03
   1400,2020-11-13T11:45:41.863+01:00,   0.412E-03,   1.03113,   0.996E+03
   1500,2020-11-13T11:46:15.724+01:00,   0.412E-03,   1.07230,   0.106E+04
   1600,2020-11-13T11:46:49.098+01:00,   0.412E-03,   1.11346,   0.112E+04
   1700,2020-11-13T11:47:22.992+01:00,   0.412E-03,   1.15463,   0.118E+04
   1800,2020-11-13T11:47:56.459+01:00,   0.412E-03,   1.19580,   0.124E+04
   1900,2020-11-13T11:48:30.215+01:00,   0.412E-03,   1.23696,   0.131E+04
   2000,2020-11-13T11:49:03.214+01:00,   0.370E-03,   1.27402,   0.137E+04
   2100,2020-11-13T11:49:35.672+01:00,   0.370E-03,   1.31099,   0.143E+04
   2200,2020-11-13T11:50:07.862+01:00,   0.332E-03,   1.34506,   0.149E+04
   2300,2020-11-13T11:50:39.827+01:00,   0.298E-03,   1.37682,   0.155E+04
   2400,2020-11-13T11:51:11.232+01:00,   0.298E-03,   1.40661,   0.161E+04
   2500,2020-11-13T11:51:41.833+01:00,   0.268E-03,   1.43364,   0.166E+04
   2600,2020-11-13T11:52:12.747+01:00,   0.268E-03,   1.46042,   0.172E+04
