,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-30T17:24:11.809+01:00,   0.395E-02,   0.00395,   1.86286
      2,2020-10-30T17:24:11.861+01:00,   0.395E-02,   0.00791,   2.06325
      3,2020-10-30T17:24:11.909+01:00,   0.395E-02,   0.01186,   2.24751
      4,2020-10-30T17:24:11.950+01:00,   0.395E-02,   0.01581,   2.41085
      5,2020-10-30T17:24:11.997+01:00,   0.395E-02,   0.01976,   2.59108
      6,2020-10-30T17:24:12.048+01:00,   0.395E-02,   0.02372,   2.78526
      7,2020-10-30T17:24:12.098+01:00,   0.395E-02,   0.02767,   2.97937
      8,2020-10-30T17:24:12.139+01:00,   0.395E-02,   0.03162,   3.14362
      9,2020-10-30T17:24:12.189+01:00,   0.395E-02,   0.03558,   3.33421
     10,2020-10-30T17:24:12.238+01:00,   0.395E-02,   0.03953,   3.52257
     20,2020-10-30T17:24:12.817+01:00,   0.395E-02,   0.07906,   5.78166
     30,2020-10-30T17:24:13.252+01:00,   0.257E-02,   0.11246,   7.46374
     40,2020-10-30T17:24:13.624+01:00,   0.204E-02,   0.13500,   8.89906
     50,2020-10-30T17:24:13.987+01:00,   0.164E-02,   0.15327,  10.30248
     60,2020-10-30T17:24:14.331+01:00,   0.164E-02,   0.16967,  11.63265
     70,2020-10-30T17:24:14.683+01:00,   0.147E-02,   0.18541,  12.99613
     80,2020-10-30T17:24:15.132+01:00,   0.147E-02,   0.20014,  14.74633
     90,2020-10-30T17:24:15.470+01:00,   0.147E-02,   0.21487,  16.06354
    100,2020-10-30T17:24:16.209+01:00,   0.132E-02,   0.22856,  17.98824
    200,2020-10-30T17:24:23.761+01:00,   0.957E-03,   0.33850,  46.03420
    300,2020-10-30T17:24:30.480+01:00,   0.774E-03,   0.42738,  72.12893
    400,2020-10-30T17:24:36.143+01:00,   0.697E-03,   0.50257,  93.81808
    500,2020-10-30T17:24:41.279+01:00,   0.627E-03,   0.57079, 113.87790
    600,2020-10-30T17:24:46.989+01:00,   0.627E-03,   0.63348, 136.45250
    700,2020-10-30T17:24:51.725+01:00,   0.564E-03,   0.69076, 154.89939
    800,2020-10-30T17:24:57.374+01:00,   0.507E-03,   0.74653, 177.08941
    900,2020-10-30T17:25:00.975+01:00,   0.507E-03,   0.79727, 191.37156
   1000,2020-10-30T17:25:03.538+01:00,   0.507E-03,   0.84801, 201.50640
   1100,2020-10-30T17:25:06.041+01:00,   0.457E-03,   0.89520, 211.40687
   1200,2020-10-30T17:25:08.528+01:00,   0.457E-03,   0.94086, 221.24458
   1300,2020-10-30T17:25:10.988+01:00,   0.457E-03,   0.98652, 230.96882
   1400,2020-10-30T17:25:13.519+01:00,   0.411E-03,   1.03141, 240.91275
   1500,2020-10-30T17:25:17.277+01:00,   0.411E-03,   1.07251, 255.86592
   1600,2020-10-30T17:25:22.414+01:00,   0.411E-03,   1.11361, 276.33175
   1700,2020-10-30T17:25:26.319+01:00,   0.411E-03,   1.15470, 291.85125
   1800,2020-10-30T17:25:28.829+01:00,   0.411E-03,   1.19580, 301.82326
   1900,2020-10-30T17:25:31.547+01:00,   0.411E-03,   1.23690, 312.62491
   2000,2020-10-30T17:25:34.260+01:00,   0.370E-03,   1.27444, 323.40133
   2100,2020-10-30T17:25:37.095+01:00,   0.370E-03,   1.31142, 334.68578
   2200,2020-10-30T17:25:39.906+01:00,   0.332E-03,   1.34592, 345.87445
   2300,2020-10-30T17:25:42.710+01:00,   0.298E-03,   1.37807, 357.03550
   2400,2020-10-30T17:25:48.394+01:00,   0.298E-03,   1.40790, 378.99928
   2500,2020-10-30T17:25:54.308+01:00,   0.267E-03,   1.43510, 402.55809
   2600,2020-10-30T17:26:00.185+01:00,   0.267E-03,   1.46185, 425.97245
   2700,2020-10-30T17:26:05.565+01:00,   0.267E-03,   1.48859, 447.39126
   2800,2020-10-30T17:26:11.427+01:00,   0.267E-03,   1.51533, 470.64846
   2900,2020-10-30T17:26:17.354+01:00,   0.240E-03,   1.54008, 494.20808
   3000,2020-10-30T17:26:23.241+01:00,   0.265E-03,   1.56605, 517.62528
   3100,2020-10-30T17:26:28.263+01:00,   0.265E-03,   1.59250, 537.57846
   3200,2020-10-30T17:26:34.180+01:00,   0.265E-03,   1.61895, 561.11394
   3300,2020-10-30T17:26:40.105+01:00,   0.238E-03,   1.64365, 584.73080
   3400,2020-10-30T17:26:45.817+01:00,   0.262E-03,   1.66869, 607.46873
   3500,2020-10-30T17:26:52.002+01:00,   0.262E-03,   1.69487, 632.12868
   3600,2020-10-30T17:26:58.061+01:00,   0.262E-03,   1.72105, 656.26608
   3700,2020-10-30T17:27:04.266+01:00,   0.235E-03,   1.74557, 680.91725
   3800,2020-10-30T17:27:09.945+01:00,   0.259E-03,   1.77005, 703.53796
   3900,2020-10-30T17:27:15.571+01:00,   0.259E-03,   1.79594, 725.93254
   4000,2020-10-30T17:27:18.431+01:00,   0.259E-03,   1.82184, 737.20346
   4100,2020-10-30T17:27:21.323+01:00,   0.233E-03,   1.84623, 748.66420
   4200,2020-10-30T17:27:23.953+01:00,   0.256E-03,   1.87030, 759.11347
   4300,2020-10-30T17:27:27.083+01:00,   0.256E-03,   1.89593, 771.35610
   4400,2020-10-30T17:27:29.808+01:00,   0.256E-03,   1.92157, 782.18856
   4500,2020-10-30T17:27:32.639+01:00,   0.230E-03,   1.94588, 793.45678
   4600,2020-10-30T17:27:35.265+01:00,   0.253E-03,   1.96954, 803.88922
   4700,2020-10-30T17:27:38.216+01:00,   0.253E-03,   1.99488, 815.59931
   4721,2020-10-30T17:27:38.761+01:00,   0.539E-04,   2.00000, 817.76322
