s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8161403E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 4.3368087E-019, 1.0000000E+000, 2.8444655E+002, 1.1900000E+002, 7.3988504E-009, 8.0008296E-001
 7.9056942E-003, 5.7919275E-002, 8.6736174E-019, 1.0000000E+000, 2.8736495E+002, 1.1900000E+002, 8.7528428E-009, 8.0064651E-001
 1.1858541E-002, 5.7903565E-002, 8.6736174E-019, 1.0000000E+000, 2.9026064E+002, 1.2200000E+002, 9.2707254E-009, 8.0409492E-001
 1.5811388E-002, 5.7882166E-002, 1.7347235E-018, 1.0000000E+000, 2.9325982E+002, 1.2400000E+002, 9.2197929E-009, 8.0482416E-001
 1.9764235E-002, 5.7854645E-002, 1.7347235E-018, 1.0000000E+000, 2.9616164E+002, 1.2500000E+002, 7.8096430E-009, 8.0297333E-001
 2.3717082E-002, 5.7820908E-002, 1.7347235E-018, 1.0000000E+000, 2.9911769E+002, 1.2500000E+002, 9.7488497E-009, 8.0241927E-001
 2.7669930E-002, 5.7781177E-002, 1.7347235E-018, 1.0000000E+000, 3.0206923E+002, 1.2500000E+002, 9.6738642E-009, 8.0065961E-001
 3.1622777E-002, 5.7735962E-002, 3.4694470E-018, 1.0000000E+000, 3.0502208E+002, 1.2600000E+002, 9.4705250E-009, 8.0048801E-001
 3.5575624E-002, 5.7685989E-002, 3.4694470E-018, 1.0000000E+000, 3.0792928E+002, 1.2700000E+002, 7.7306536E-009, 7.9938449E-001
 3.9528471E-002, 5.7632071E-002, 3.4694470E-018, 1.0000000E+000, 3.1089467E+002, 1.2700000E+002, 8.7346208E-009, 7.9910585E-001
 4.3481318E-002, 5.7575003E-002, 3.4694470E-018, 1.0000000E+000, 3.1384023E+002, 1.2700000E+002, 9.6105558E-009, 7.9881249E-001
 4.7434165E-002, 5.7515480E-002, 3.4694470E-018, 1.0000000E+000, 3.1679943E+002, 1.2800000E+002, 7.9870619E-009, 7.9830182E-001
 5.1387012E-002, 5.7454083E-002, 3.4694470E-018, 1.0000000E+000, 3.1970842E+002, 1.2800000E+002, 8.5657303E-009, 7.9809253E-001
 5.5339859E-002, 5.7391310E-002, 3.4694470E-018, 1.0000000E+000, 3.2267504E+002, 1.2800000E+002, 9.0862698E-009, 7.9791227E-001
 5.9292706E-002, 5.7327643E-002, 3.4694470E-018, 1.0000000E+000, 3.2558767E+002, 1.2800000E+002, 9.5523020E-009, 7.9776101E-001
 6.3245553E-002, 5.7263609E-002, 6.9388939E-018, 1.0000000E+000, 3.2855059E+002, 1.2800000E+002, 9.9759597E-009, 7.9764279E-001
 6.7198400E-002, 5.7199832E-002, 6.9388939E-018, 1.0000000E+000, 3.3146239E+002, 1.2900000E+002, 9.2443382E-009, 7.9824887E-001
 7.1151247E-002, 5.7137036E-002, 6.9388939E-018, 1.0000000E+000, 3.3442812E+002, 1.2900000E+002, 9.6991688E-009, 7.9828087E-001
 7.5104094E-002, 5.7076012E-002, 1.3877788E-017, 1.0000000E+000, 3.3738234E+002, 1.3000000E+002, 6.6357181E-009, 7.9711961E-001
 7.9056942E-002, 5.7017563E-002, 6.9388939E-018, 1.0000000E+000, 3.4034798E+002, 1.3000000E+002, 6.8409338E-009, 7.9713368E-001
 8.2480520E-002, 5.7040137E-002, 6.9388939E-018, 1.0000000E+000, 3.4436907E+002, 1.3000000E+002, 7.0565115E-009, 7.9713274E-001
 8.5904098E-002, 5.6930501E-002, 6.9388939E-018, 1.0000000E+000, 3.4733336E+002, 1.3000000E+002, 7.1359257E-009, 7.9711139E-001
 8.9327677E-002, 5.6894086E-002, 6.9388939E-018, 1.0000000E+000, 3.5024297E+002, 1.3000000E+002, 7.1595729E-009, 7.9706693E-001
 9.2335585E-002, 5.6955713E-002, 6.9388939E-018, 1.0000000E+000, 3.5431981E+002, 1.3000000E+002, 7.0664038E-009, 7.9693050E-001
 9.5343493E-002, 5.6865249E-002, 6.9388939E-018, 1.0000000E+000, 3.5723006E+002, 1.3000000E+002, 6.9269537E-009, 7.9679200E-001
 9.8351401E-002, 5.6853772E-002, 6.9388939E-018, 1.0000000E+000, 3.6025771E+002, 1.3000000E+002, 6.7172859E-009, 7.9660022E-001
 1.0135931E-001, 5.6847512E-002, 6.9388939E-018, 1.0000000E+000, 3.6316533E+002, 1.2900000E+002, 9.6425503E-009, 7.9743405E-001
 1.0398635E-001, 5.6958675E-002, 6.9388939E-018, 1.0000000E+000, 3.6727880E+002, 1.2900000E+002, 8.8369832E-009, 7.9691170E-001
 1.0661340E-001, 5.6890355E-002, 6.9388939E-018, 1.0000000E+000, 3.7022835E+002, 1.2900000E+002, 8.2130231E-009, 7.9646715E-001
 1.0924044E-001, 5.6904599E-002, 6.9388939E-018, 1.0000000E+000, 3.7320082E+002, 1.2800000E+002, 9.2729230E-009, 7.9580520E-001
 1.1186748E-001, 5.6921597E-002, 6.9388939E-018, 1.0000000E+000, 3.7610775E+002, 1.2800000E+002, 8.4914491E-009, 7.9524125E-001
 1.1449453E-001, 5.6940434E-002, 6.9388939E-018, 1.0000000E+000, 3.7906954E+002, 1.2800000E+002, 7.6871708E-009, 7.9458555E-001
