,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T15:29:49.496+01:00,   0.395E-02,   0.00395, 284.99138
      2,2020-10-28T15:29:51.387+01:00,   0.395E-02,   0.00791, 287.90879
      3,2020-10-28T15:29:53.309+01:00,   0.395E-02,   0.01186, 290.84609
      4,2020-10-28T15:29:55.215+01:00,   0.395E-02,   0.01581, 293.80181
      5,2020-10-28T15:29:57.107+01:00,   0.395E-02,   0.01976, 296.70690
      6,2020-10-28T15:29:59.062+01:00,   0.395E-02,   0.02372, 299.70056
      7,2020-10-28T15:30:00.960+01:00,   0.395E-02,   0.02767, 302.61425
      8,2020-10-28T15:30:02.868+01:00,   0.395E-02,   0.03162, 305.56568
      9,2020-10-28T15:30:04.764+01:00,   0.395E-02,   0.03558, 308.47540
     10,2020-10-28T15:30:06.718+01:00,   0.395E-02,   0.03953, 311.46882
     20,2020-10-28T15:30:25.847+01:00,   0.395E-02,   0.07906, 340.89233
     30,2020-10-28T15:30:47.223+01:00,   0.263E-02,   0.10924, 373.74704
     40,2020-10-28T15:31:07.965+01:00,   0.205E-02,   0.13246, 405.47181
     50,2020-10-28T15:31:28.030+01:00,   0.183E-02,   0.15208, 436.21878
     60,2020-10-28T15:31:47.079+01:00,   0.164E-02,   0.16958, 465.60460
     70,2020-10-28T15:32:06.270+01:00,   0.147E-02,   0.18580, 495.12555
     80,2020-10-28T15:32:24.605+01:00,   0.147E-02,   0.20052, 523.35015
     90,2020-10-28T15:32:43.266+01:00,   0.132E-02,   0.21478, 552.15629
    100,2020-10-28T15:33:00.680+01:00,   0.132E-02,   0.22795, 579.17357
    200,2020-10-28T15:35:56.642+01:00,   0.957E-03,   0.33863, 852.03656
    300,2020-10-28T15:38:47.778+01:00,   0.774E-03,   0.42732,1118.18987
    400,2020-10-28T15:41:35.665+01:00,   0.697E-03,   0.50271,1380.60109
    500,2020-10-28T15:44:23.975+01:00,   0.627E-03,   0.57076,1643.24612
    600,2020-10-28T15:47:09.843+01:00,   0.627E-03,   0.63344,1903.21358
    700,2020-10-28T15:49:55.901+01:00,   0.564E-03,   0.69060,2163.78820
    800,2020-10-28T15:52:41.518+01:00,   0.507E-03,   0.74621,2423.98652
    900,2020-10-28T15:55:25.033+01:00,   0.507E-03,   0.79696,2681.13152
   1000,2020-10-28T15:58:09.006+01:00,   0.507E-03,   0.84770,2939.18166
   1100,2020-10-28T16:00:53.013+01:00,   0.457E-03,   0.89493,3197.65761
   1200,2020-10-28T16:03:35.882+01:00,   0.457E-03,   0.94058,3454.41941
   1300,2020-10-28T16:06:18.912+01:00,   0.457E-03,   0.98624,3711.45501
   1400,2020-10-28T16:09:02.243+01:00,   0.411E-03,   1.03074,3968.80502
   1500,2020-10-28T16:11:43.964+01:00,   0.411E-03,   1.07182,4223.90984
   1600,2020-10-28T16:14:26.555+01:00,   0.411E-03,   1.11290,4480.03729
   1700,2020-10-28T16:17:09.684+01:00,   0.370E-03,   1.15253,4736.94615
   1800,2020-10-28T16:19:51.823+01:00,   0.370E-03,   1.18949,4992.18969
   1900,2020-10-28T16:22:34.565+01:00,   0.332E-03,   1.22272,5248.23066
   2000,2020-10-28T16:25:16.700+01:00,   0.297E-03,   1.25315,5503.43941
   2100,2020-10-28T16:27:58.194+01:00,   0.297E-03,   1.28286,5757.59481
   2200,2020-10-28T16:30:39.689+01:00,   0.266E-03,   1.30998,6011.77333
   2300,2020-10-28T16:33:20.675+01:00,   0.293E-03,   1.33729,6265.26171
   2400,2020-10-28T16:36:02.639+01:00,   0.263E-03,   1.36434,6520.12330
   2500,2020-10-28T16:38:43.116+01:00,   0.263E-03,   1.39061,6772.88779
   2600,2020-10-28T16:41:23.829+01:00,   0.263E-03,   1.41689,7025.88707
   2700,2020-10-28T16:44:04.290+01:00,   0.289E-03,   1.44345,7278.60631
   2800,2020-10-28T16:46:46.306+01:00,   0.259E-03,   1.47037,7533.45718
   2900,2020-10-28T16:49:26.864+01:00,   0.259E-03,   1.49631,7786.27279
   3000,2020-10-28T16:52:07.971+01:00,   0.259E-03,   1.52226,8039.63743
   3100,2020-10-28T16:54:48.535+01:00,   0.259E-03,   1.54820,8292.18927
   3200,2020-10-28T16:57:29.348+01:00,   0.259E-03,   1.57415,8544.94779
   3300,2020-10-28T17:00:10.193+01:00,   0.259E-03,   1.60009,8797.97551
   3400,2020-10-28T17:02:51.126+01:00,   0.259E-03,   1.62604,9050.92322
   3500,2020-10-28T17:05:31.519+01:00,   0.259E-03,   1.65199,9303.33710
   3600,2020-10-28T17:08:12.646+01:00,   0.259E-03,   1.67793,9556.63034
   3700,2020-10-28T17:10:53.314+01:00,   0.259E-03,   1.70388,9809.56126
