s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7978358E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 4.3368087E-019, 1.0000000E+000, 2.8252696E+002, 1.1900000E+002, 7.3988504E-009, 8.0008296E-001
 7.9056942E-003, 5.7921316E-002, 8.6736174E-019, 1.0000000E+000, 2.8543391E+002, 1.1900000E+002, 7.8687881E-009, 8.0016045E-001
 1.1858541E-002, 5.7912073E-002, 8.6736174E-019, 1.0000000E+000, 2.8830696E+002, 1.1900000E+002, 8.4846559E-009, 8.0040136E-001
 1.5811388E-002, 5.7900816E-002, 1.7347235E-018, 1.0000000E+000, 2.9123482E+002, 1.1900000E+002, 9.4950117E-009, 8.0085149E-001
 1.9764235E-002, 5.7887514E-002, 1.7347235E-018, 1.0000000E+000, 2.9411757E+002, 1.2000000E+002, 6.8459252E-009, 7.9981440E-001
 2.3717082E-002, 5.7872219E-002, 1.7347235E-018, 1.0000000E+000, 2.9704457E+002, 1.2000000E+002, 8.1772195E-009, 8.0063981E-001
 2.7669930E-002, 5.7854974E-002, 1.7347235E-018, 1.0000000E+000, 2.9993016E+002, 1.2000000E+002, 9.5305017E-009, 8.0128691E-001
 3.1622777E-002, 5.7835810E-002, 3.4694470E-018, 1.0000000E+000, 3.0286256E+002, 1.2200000E+002, 9.5734038E-009, 8.0385276E-001
 3.5575624E-002, 5.7814753E-002, 3.4694470E-018, 1.0000000E+000, 3.0574190E+002, 1.2300000E+002, 8.4647003E-009, 8.0409539E-001
 3.9528471E-002, 5.7791822E-002, 3.4694470E-018, 1.0000000E+000, 3.0867232E+002, 1.2300000E+002, 9.2718310E-009, 8.0431016E-001
 4.3481318E-002, 5.7767031E-002, 3.4694470E-018, 1.0000000E+000, 3.1160094E+002, 1.2400000E+002, 8.0909755E-009, 8.0446312E-001
 4.7434165E-002, 5.7740392E-002, 3.4694470E-018, 1.0000000E+000, 3.1461833E+002, 1.2400000E+002, 8.7469509E-009, 8.0459612E-001
 5.1387012E-002, 5.7711915E-002, 6.9388939E-018, 1.0000000E+000, 3.1750120E+002, 1.2400000E+002, 9.3886390E-009, 8.0468686E-001
 5.5339859E-002, 5.7681605E-002, 3.4694470E-018, 1.0000000E+000, 3.2043611E+002, 1.2500000E+002, 6.1931309E-009, 8.0304792E-001
 5.9292706E-002, 5.7649469E-002, 3.4694470E-018, 1.0000000E+000, 3.2335579E+002, 1.2500000E+002, 6.4886519E-009, 8.0299180E-001
 6.3245553E-002, 5.7615511E-002, 6.9388939E-018, 1.0000000E+000, 3.2629549E+002, 1.2500000E+002, 6.7264118E-009, 8.0287216E-001
 6.7198400E-002, 5.7579735E-002, 6.9388939E-018, 1.0000000E+000, 3.2918190E+002, 1.2500000E+002, 6.8017085E-009, 8.0259754E-001
 7.1151247E-002, 5.7542145E-002, 6.9388939E-018, 1.0000000E+000, 3.3211415E+002, 1.2400000E+002, 9.9308537E-009, 8.0327981E-001
 7.5104094E-002, 5.7502743E-002, 6.9388939E-018, 1.0000000E+000, 3.3502736E+002, 1.2300000E+002, 7.7589954E-009, 7.9990146E-001
 7.9056942E-002, 5.7461532E-002, 6.9388939E-018, 1.0000000E+000, 3.3796159E+002, 1.2300000E+002, 8.7597184E-009, 8.0035296E-001
 8.2492780E-002, 5.7437286E-002, 6.9388939E-018, 1.0000000E+000, 3.4194350E+002, 1.2500000E+002, 8.2712167E-009, 8.0241735E-001
 8.5928619E-002, 5.7393450E-002, 6.9388939E-018, 1.0000000E+000, 3.4487929E+002, 1.2500000E+002, 8.8298943E-009, 8.0253731E-001
 8.9364458E-002, 5.7353491E-002, 6.9388939E-018, 1.0000000E+000, 3.4782863E+002, 1.2500000E+002, 9.2990313E-009, 8.0257141E-001
 9.2378458E-002, 5.7330332E-002, 6.9388939E-018, 1.0000000E+000, 3.5186464E+002, 1.2500000E+002, 9.9417477E-009, 8.0262084E-001
 9.5392457E-002, 5.7286988E-002, 6.9388939E-018, 1.0000000E+000, 3.5475087E+002, 1.2600000E+002, 6.6843270E-009, 8.0122775E-001
 9.8406457E-002, 5.7248652E-002, 6.9388939E-018, 1.0000000E+000, 3.5768773E+002, 1.2600000E+002, 6.9291378E-009, 8.0119321E-001
 1.0142046E-001, 5.7209253E-002, 6.9388939E-018, 1.0000000E+000, 3.6064384E+002, 1.2600000E+002, 7.1781032E-009, 8.0115931E-001
