s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 1.2576162E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2576162E-016, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-6.7611982E-011,-3.9256155E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5276725E-009,-3.9932275E-009, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-1.1807108E-010,-6.7935422E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1139623E-009,-6.9116133E-009, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-1.5522937E-010,-8.8300556E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8025429E-009,-8.9852850E-009, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-1.8254404E-010,-1.0238601E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8289943E-009,-1.0421145E-008, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-2.0270053E-010,-1.1177395E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1374662E-008,-1.1380095E-008, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-2.1777403E-010,-1.1768870E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2579816E-008,-1.1986644E-008, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-2.2936511E-010,-1.2107614E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3552797E-008,-1.2336979E-008, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-2.3870563E-010,-1.2266563E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4377126E-008,-1.2505268E-008, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-2.4674118E-010,-1.2301823E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5117042E-008,-1.2548564E-008, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-2.5419517E-010,-1.2256418E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5821821E-008,-1.2510613E-008, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-2.6161814E-010,-1.2163173E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6529110E-008,-1.2424791E-008, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-2.6942621E-010,-1.2046960E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7267512E-008,-1.2316386E-008, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-2.7793066E-010,-1.1926430E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8058597E-008,-1.2204360E-008, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-2.8736065E-010,-1.1815341E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8918443E-008,-1.2102701E-008, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-2.9788079E-010,-1.1723587E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9858813E-008,-1.2021467E-008, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-3.0960571E-010,-1.1658053E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0888103E-008,-1.1967658E-008, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-3.2261049E-010,-1.1623228E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2012121E-008,-1.1945839E-008, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-3.3693886E-010,-1.1621688E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3234579E-008,-1.1958626E-008, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-3.5261025E-010,-1.1654508E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4557567E-008,-1.2007118E-008, 0.0000000E+000, 0.0000000E+000
 8.2492784E-002, 0.0000000E+000, 0.0000000E+000,-3.5241726E-010,-1.1595252E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5150251E-008,-1.1947669E-008, 0.0000000E+000, 0.0000000E+000
 8.5928619E-002, 0.0000000E+000, 0.0000000E+000,-3.6546028E-010,-1.1494079E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5918516E-008,-1.1859540E-008, 0.0000000E+000, 0.0000000E+000
 8.9364462E-002, 0.0000000E+000, 0.0000000E+000,-3.7970010E-010,-1.1424917E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7170146E-008,-1.1804617E-008, 0.0000000E+000, 0.0000000E+000
 9.2378460E-002, 0.0000000E+000, 0.0000000E+000,-3.7639333E-010,-1.1309319E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7542260E-008,-1.1685712E-008, 0.0000000E+000, 0.0000000E+000
 9.5392458E-002, 0.0000000E+000, 0.0000000E+000,-3.8889196E-010,-1.1166261E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8220120E-008,-1.1555153E-008, 0.0000000E+000, 0.0000000E+000
 9.8406456E-002, 0.0000000E+000, 0.0000000E+000,-4.0238146E-010,-1.1048365E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9439143E-008,-1.1450747E-008, 0.0000000E+000, 0.0000000E+000
 1.0142045E-001, 0.0000000E+000, 0.0000000E+000,-4.1686778E-010,-1.0956003E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0735880E-008,-1.1372870E-008, 0.0000000E+000, 0.0000000E+000
 1.0404998E-001, 0.0000000E+000, 0.0000000E+000,-4.0733861E-010,-1.0831345E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0743694E-008,-1.1238684E-008, 0.0000000E+000, 0.0000000E+000
 1.0667951E-001, 0.0000000E+000, 0.0000000E+000,-4.1998845E-010,-1.0680384E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1257872E-008,-1.1100372E-008, 0.0000000E+000, 0.0000000E+000
 1.0930903E-001, 0.0000000E+000, 0.0000000E+000,-4.3338283E-010,-1.0544841E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2487563E-008,-1.0978224E-008, 0.0000000E+000, 0.0000000E+000
 1.1193855E-001, 0.0000000E+000, 0.0000000E+000,-4.4754002E-010,-1.0425832E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3778052E-008,-1.0873373E-008, 0.0000000E+000, 0.0000000E+000
 1.1456808E-001, 0.0000000E+000, 0.0000000E+000,-4.6242865E-010,-1.0321496E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5127286E-008,-1.0783925E-008, 0.0000000E+000, 0.0000000E+000
 1.1687780E-001, 0.0000000E+000, 0.0000000E+000,-4.4820900E-010,-1.0195813E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4857921E-008,-1.0644022E-008, 0.0000000E+000, 0.0000000E+000
 1.1918753E-001, 0.0000000E+000, 0.0000000E+000,-4.6136816E-010,-1.0047633E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5268799E-008,-1.0509001E-008, 0.0000000E+000, 0.0000000E+000
 1.2149725E-001, 0.0000000E+000, 0.0000000E+000,-4.7508759E-010,-9.9079395E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6537510E-008,-1.0383027E-008, 0.0000000E+000, 0.0000000E+000
 1.2380698E-001, 0.0000000E+000, 0.0000000E+000,-4.8939005E-010,-9.7781046E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7853889E-008,-1.0267495E-008, 0.0000000E+000, 0.0000000E+000
 1.2611671E-001, 0.0000000E+000, 0.0000000E+000,-5.0425811E-010,-9.6570889E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9216817E-008,-1.0161347E-008, 0.0000000E+000, 0.0000000E+000
 1.2842643E-001, 0.0000000E+000, 0.0000000E+000,-5.1967503E-010,-9.5438687E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0625273E-008,-1.0063544E-008, 0.0000000E+000, 0.0000000E+000
 1.3047957E-001, 0.0000000E+000, 0.0000000E+000,-5.0169996E-010,-9.4176456E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0138018E-008,-9.9193456E-009, 0.0000000E+000, 0.0000000E+000
 1.3253272E-001, 0.0000000E+000, 0.0000000E+000,-5.1557133E-010,-9.2731902E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0483130E-008,-9.7887615E-009, 0.0000000E+000, 0.0000000E+000
 1.3458586E-001, 0.0000000E+000, 0.0000000E+000,-5.2987943E-010,-9.1330150E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1810218E-008,-9.6628944E-009, 0.0000000E+000, 0.0000000E+000
 1.3663900E-001, 0.0000000E+000, 0.0000000E+000,-5.4464551E-010,-8.9983948E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3175766E-008,-9.5430403E-009, 0.0000000E+000, 0.0000000E+000
 1.3869214E-001, 0.0000000E+000, 0.0000000E+000,-5.5985810E-010,-8.8686389E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4579124E-008,-9.4284970E-009, 0.0000000E+000, 0.0000000E+000
 1.4074528E-001, 0.0000000E+000, 0.0000000E+000,-5.7550528E-010,-8.7430161E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6019545E-008,-9.3185214E-009, 0.0000000E+000, 0.0000000E+000
 1.4279842E-001, 0.0000000E+000, 0.0000000E+000,-5.9157609E-010,-8.6208375E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7496394E-008,-9.2124136E-009, 0.0000000E+000, 0.0000000E+000
 1.4485158E-001, 0.0000000E+000, 0.0000000E+000,-6.0806048E-010,-8.5014542E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9009058E-008,-9.1095147E-009, 0.0000000E+000, 0.0000000E+000
 1.4667733E-001, 0.0000000E+000, 0.0000000E+000,-5.7993226E-010,-8.3749728E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7947682E-008,-8.9549050E-009, 0.0000000E+000, 0.0000000E+000
 1.4850308E-001, 0.0000000E+000, 0.0000000E+000,-5.9476363E-010,-8.2317597E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8050789E-008,-8.8265233E-009, 0.0000000E+000, 0.0000000E+000
 1.5032883E-001, 0.0000000E+000, 0.0000000E+000,-6.0992193E-010,-8.0889471E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9460037E-008,-8.6988690E-009, 0.0000000E+000, 0.0000000E+000
 1.5215458E-001, 0.0000000E+000, 0.0000000E+000,-6.2542836E-010,-7.9478122E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0899779E-008,-8.5732405E-009, 0.0000000E+000, 0.0000000E+000
 1.5398033E-001, 0.0000000E+000, 0.0000000E+000,-6.4127680E-010,-7.8079934E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2369614E-008,-8.4492702E-009, 0.0000000E+000, 0.0000000E+000
 1.5580608E-001, 0.0000000E+000, 0.0000000E+000,-6.5746131E-010,-7.6691306E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3869177E-008,-8.3265919E-009, 0.0000000E+000, 0.0000000E+000
 1.5763183E-001, 0.0000000E+000, 0.0000000E+000,-6.7397647E-010,-7.5308860E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5398141E-008,-8.2048625E-009, 0.0000000E+000, 0.0000000E+000
 1.5945758E-001, 0.0000000E+000, 0.0000000E+000,-6.9081674E-010,-7.3929080E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6956214E-008,-8.0837248E-009, 0.0000000E+000, 0.0000000E+000
 1.6128333E-001, 0.0000000E+000, 0.0000000E+000,-7.0797602E-010,-7.2548057E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8543061E-008,-7.9627817E-009, 0.0000000E+000, 0.0000000E+000
 1.6310908E-001, 0.0000000E+000, 0.0000000E+000,-7.2544855E-010,-7.1162018E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0158325E-008,-7.8416504E-009, 0.0000000E+000, 0.0000000E+000
 1.6474774E-001, 0.0000000E+000, 0.0000000E+000,-6.8842282E-010,-6.9771551E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8597714E-008,-7.6655779E-009, 0.0000000E+000, 0.0000000E+000
 1.6638641E-001, 0.0000000E+000, 0.0000000E+000,-7.0433112E-010,-6.8242654E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8508261E-008,-7.5285965E-009, 0.0000000E+000, 0.0000000E+000
 1.6802506E-001, 0.0000000E+000, 0.0000000E+000,-7.2049001E-010,-6.6694825E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0016656E-008,-7.3899725E-009, 0.0000000E+000, 0.0000000E+000
 1.6966373E-001, 0.0000000E+000, 0.0000000E+000,-7.3691854E-010,-6.5139747E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1549657E-008,-7.2508932E-009, 0.0000000E+000, 0.0000000E+000
 1.7130239E-001, 0.0000000E+000, 0.0000000E+000,-7.5361335E-010,-6.3575645E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3107050E-008,-7.1111779E-009, 0.0000000E+000, 0.0000000E+000
 1.7294104E-001, 0.0000000E+000, 0.0000000E+000,-7.7057097E-010,-6.2000627E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4688602E-008,-6.9706337E-009, 0.0000000E+000, 0.0000000E+000
 1.7457971E-001, 0.0000000E+000, 0.0000000E+000,-7.8778803E-010,-6.0412804E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6294120E-008,-6.8290685E-009, 0.0000000E+000, 0.0000000E+000
 1.7621838E-001, 0.0000000E+000, 0.0000000E+000,-8.0526071E-010,-5.8809994E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7923390E-008,-6.6862601E-009, 0.0000000E+000, 0.0000000E+000
 1.7785704E-001, 0.0000000E+000, 0.0000000E+000,-8.2298500E-010,-5.7189855E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9576171E-008,-6.5419705E-009, 0.0000000E+000, 0.0000000E+000
 1.7949569E-001, 0.0000000E+000, 0.0000000E+000,-8.4095695E-010,-5.5550036E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1252226E-008,-6.3959605E-009, 0.0000000E+000, 0.0000000E+000
 1.8113436E-001, 0.0000000E+000, 0.0000000E+000,-8.5917272E-010,-5.3888209E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2951325E-008,-6.2479936E-009, 0.0000000E+000, 0.0000000E+000
 1.8277302E-001, 0.0000000E+000, 0.0000000E+000,-8.7762863E-010,-5.2202118E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4673248E-008,-6.0978404E-009, 0.0000000E+000, 0.0000000E+000
 1.8441167E-001, 0.0000000E+000, 0.0000000E+000,-8.9632122E-010,-5.0489583E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6417790E-008,-5.9452795E-009, 0.0000000E+000, 0.0000000E+000
 1.8588415E-001, 0.0000000E+000, 0.0000000E+000,-8.4097281E-010,-4.8858737E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3814539E-008,-5.7268465E-009, 0.0000000E+000, 0.0000000E+000
