,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-30T17:16:44.569+01:00,   0.395E-02,   0.00395,   1.73150
      2,2020-10-30T17:16:44.684+01:00,   0.395E-02,   0.00791,   2.17953
      3,2020-10-30T17:16:44.772+01:00,   0.395E-02,   0.01186,   2.52232
      4,2020-10-30T17:16:44.872+01:00,   0.395E-02,   0.01581,   2.92328
      5,2020-10-30T17:16:45.127+01:00,   0.395E-02,   0.01976,   3.93183
      6,2020-10-30T17:16:45.216+01:00,   0.395E-02,   0.02372,   4.27647
      7,2020-10-30T17:16:45.299+01:00,   0.395E-02,   0.02767,   4.60144
      8,2020-10-30T17:16:45.382+01:00,   0.395E-02,   0.03162,   4.93008
      9,2020-10-30T17:16:45.468+01:00,   0.395E-02,   0.03558,   5.26136
     10,2020-10-30T17:16:45.558+01:00,   0.395E-02,   0.03953,   5.61006
     20,2020-10-30T17:16:46.410+01:00,   0.395E-02,   0.07906,   8.93038
     30,2020-10-30T17:16:47.364+01:00,   0.263E-02,   0.10931,  12.66630
     40,2020-10-30T17:16:48.358+01:00,   0.205E-02,   0.13253,  16.50335
     50,2020-10-30T17:16:49.354+01:00,   0.183E-02,   0.15215,  20.40404
     60,2020-10-30T17:16:50.264+01:00,   0.164E-02,   0.16966,  23.96483
     70,2020-10-30T17:16:51.845+01:00,   0.147E-02,   0.18588,  30.15366
     80,2020-10-30T17:16:52.755+01:00,   0.147E-02,   0.20061,  33.74058
     90,2020-10-30T17:16:53.735+01:00,   0.132E-02,   0.21474,  37.60314
    100,2020-10-30T17:16:54.618+01:00,   0.132E-02,   0.22799,  41.08592
    200,2020-10-30T17:17:04.233+01:00,   0.963E-03,   0.33856,  78.34554
    300,2020-10-30T17:17:13.466+01:00,   0.779E-03,   0.42703, 114.80395
    400,2020-10-30T17:17:21.319+01:00,   0.701E-03,   0.50247, 145.89482
    500,2020-10-30T17:17:29.140+01:00,   0.631E-03,   0.57035, 176.89626
    600,2020-10-30T17:17:38.983+01:00,   0.631E-03,   0.63346, 216.08602
    700,2020-10-30T17:17:46.451+01:00,   0.568E-03,   0.69053, 245.80041
    800,2020-10-30T17:17:54.076+01:00,   0.511E-03,   0.74535, 276.11816
    900,2020-10-30T17:18:01.474+01:00,   0.511E-03,   0.79642, 305.60450
   1000,2020-10-30T17:18:09.036+01:00,   0.460E-03,   0.84728, 335.71241
   1100,2020-10-30T17:18:16.415+01:00,   0.460E-03,   0.89323, 365.13858
   1200,2020-10-30T17:18:25.564+01:00,   0.460E-03,   0.93919, 401.59805
   1300,2020-10-30T17:18:33.980+01:00,   0.414E-03,   0.98129, 435.15782
   1400,2020-10-30T17:18:42.395+01:00,   0.372E-03,   1.02035, 468.72094
   1500,2020-10-30T17:18:51.171+01:00,   0.333E-03,   1.05641, 503.73135
   1600,2020-10-30T17:18:58.545+01:00,   0.300E-03,   1.08645, 533.16074
   1700,2020-10-30T17:19:05.911+01:00,   0.296E-03,   1.11760, 562.57012
   1800,2020-10-30T17:19:13.262+01:00,   0.296E-03,   1.14722, 591.91577
   1900,2020-10-30T17:19:20.733+01:00,   0.266E-03,   1.17615, 621.68892
   2000,2020-10-30T17:19:28.093+01:00,   0.293E-03,   1.20370, 651.07259
   2100,2020-10-30T17:19:35.535+01:00,   0.264E-03,   1.23222, 680.74912
   2200,2020-10-30T17:19:42.993+01:00,   0.290E-03,   1.25880, 710.53685
   2300,2020-10-30T17:19:50.451+01:00,   0.260E-03,   1.28722, 740.29198
   2400,2020-10-30T17:19:57.823+01:00,   0.287E-03,   1.31335, 769.68535
   2500,2020-10-30T17:20:05.216+01:00,   0.257E-03,   1.34138, 799.19035
   2600,2020-10-30T17:20:12.565+01:00,   0.257E-03,   1.36712, 828.54091
   2700,2020-10-30T17:20:20.239+01:00,   0.254E-03,   1.39470, 858.57983
   2800,2020-10-30T17:20:27.626+01:00,   0.254E-03,   1.42012, 888.02864
   2900,2020-10-30T17:20:35.104+01:00,   0.251E-03,   1.44733, 917.84507
   3000,2020-10-30T17:20:42.581+01:00,   0.251E-03,   1.47244, 947.66170
   3100,2020-10-30T17:20:49.950+01:00,   0.248E-03,   1.49937, 977.04649
   3200,2020-10-30T17:20:57.450+01:00,   0.248E-03,   1.52414,1006.91008
   3300,2020-10-30T17:21:05.003+01:00,   0.273E-03,   1.55070,1036.98782
   3400,2020-10-30T17:21:12.443+01:00,   0.245E-03,   1.57523,1066.65639
   3500,2020-10-30T17:21:20.107+01:00,   0.269E-03,   1.60124,1097.22166
   3600,2020-10-30T17:21:27.676+01:00,   0.242E-03,   1.62578,1127.26538
   3700,2020-10-30T17:21:35.103+01:00,   0.266E-03,   1.65142,1156.88193
   3800,2020-10-30T17:21:42.693+01:00,   0.239E-03,   1.67583,1187.16450
   3900,2020-10-30T17:21:50.132+01:00,   0.263E-03,   1.70092,1216.83044
   4000,2020-10-30T17:21:57.587+01:00,   0.237E-03,   1.72540,1246.55188
   4100,2020-10-30T17:22:04.923+01:00,   0.261E-03,   1.75015,1275.80747
   4200,2020-10-30T17:22:12.384+01:00,   0.234E-03,   1.77516,1305.57529
   4300,2020-10-30T17:22:19.814+01:00,   0.258E-03,   1.79969,1335.16664
   4400,2020-10-30T17:22:27.196+01:00,   0.258E-03,   1.82547,1364.57969
   4500,2020-10-30T17:22:34.917+01:00,   0.258E-03,   1.85125,1395.31765
   4600,2020-10-30T17:22:42.389+01:00,   0.232E-03,   1.87606,1425.12097
   4700,2020-10-30T17:22:49.941+01:00,   0.255E-03,   1.89996,1455.26394
   4800,2020-10-30T17:22:57.300+01:00,   0.255E-03,   1.92546,1484.60399
