s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9723120E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 4.7562192E-004, 5.0000000E+000, 5.1793928E+000, 3.4000000E+001, 5.7611011E-009, 4.3855180E-001
 7.9056942E-003, 5.7927390E-002, 4.3583675E-004, 2.0000000E+000, 7.2347178E+000, 3.4000000E+001, 7.1321206E-009, 4.3817556E-001
 1.1858541E-002, 5.7919221E-002, 3.0072739E-004, 1.0000000E+000, 8.6487784E+000, 3.4000000E+001, 8.5103603E-009, 4.3959550E-001
 1.5811388E-002, 5.7909244E-002, 1.4506274E-004, 1.0000000E+000, 1.0118565E+001, 3.5000000E+001, 1.9089779E-009, 4.3078669E-001
 1.9764235E-002, 5.7897460E-002, 7.5295833E-005, 1.0000000E+000, 1.1548103E+001, 3.5000000E+001, 2.0780613E-009, 4.3165888E-001
 2.3717082E-002, 5.7883871E-002, 7.0010863E-005, 1.0000000E+000, 1.3065006E+001, 3.5000000E+001, 2.7272296E-009, 4.3495292E-001
 2.7669930E-002, 5.7868477E-002, 6.8767491E-005, 1.0000000E+000, 1.4511716E+001, 3.5000000E+001, 3.5966236E-009, 4.3827723E-001
 3.1622777E-002, 5.7851282E-002, 7.0539318E-005, 1.0000000E+000, 1.5995053E+001, 3.5000000E+001, 4.0858053E-009, 4.3958570E-001
 3.5575624E-002, 5.7832286E-002, 1.0073213E-004, 1.0000000E+000, 1.7419711E+001, 3.5000000E+001, 3.7993398E-009, 4.3818848E-001
 3.9528471E-002, 5.7811493E-002, 1.3530967E-004, 1.0000000E+000, 1.8896805E+001, 3.5000000E+001, 4.1140404E-009, 4.3853420E-001
 4.3481318E-002, 5.7788905E-002, 1.7188955E-004, 1.0000000E+000, 2.0324004E+001, 3.5000000E+001, 3.8346370E-009, 4.3689532E-001
 4.7434165E-002, 5.7764525E-002, 1.9873762E-004, 1.0000000E+000, 2.1847428E+001, 3.5000000E+001, 4.0947227E-009, 4.3690018E-001
 5.1387012E-002, 5.7738356E-002, 2.1846169E-004, 1.0000000E+000, 2.3309708E+001, 3.5000000E+001, 4.0466964E-009, 4.3591674E-001
 5.5339859E-002, 5.7710402E-002, 2.3567467E-004, 1.0000000E+000, 2.4832137E+001, 3.5000000E+001, 3.6486121E-009, 4.3378701E-001
 5.9292706E-002, 5.7680664E-002, 2.5473573E-004, 1.0000000E+000, 2.6281661E+001, 3.5000000E+001, 3.7891101E-009, 4.3340434E-001
 6.3245553E-002, 5.7649149E-002, 2.7826863E-004, 1.0000000E+000, 2.7756745E+001, 3.5000000E+001, 4.5101053E-009, 4.3469775E-001
 6.7198400E-002, 5.7615858E-002, 2.6390381E-004, 1.0000000E+000, 2.9377066E+001, 3.5000000E+001, 4.0008526E-009, 4.3236682E-001
 7.1151247E-002, 5.7580797E-002, 3.3451777E-004, 1.0000000E+000, 3.0862605E+001, 3.5000000E+001, 4.4660011E-009, 4.3284007E-001
 7.5104094E-002, 5.7543970E-002, 3.3389281E-004, 1.0000000E+000, 3.2484461E+001, 3.5000000E+001, 5.3437302E-009, 4.3417674E-001
 7.9056942E-002, 5.7505381E-002, 3.6040678E-004, 1.0000000E+000, 3.4219763E+001, 3.5000000E+001, 5.1434100E-009, 4.3280886E-001
 8.2493122E-002, 5.7479788E-002, 3.1249465E-004, 1.0000000E+000, 3.6198824E+001, 3.5000000E+001, 4.5779532E-009, 4.3056736E-001
 8.5929302E-002, 5.7443894E-002, 3.5450716E-004, 1.0000000E+000, 3.7733283E+001, 3.5000000E+001, 5.2945976E-009, 4.3155345E-001
 8.9365482E-002, 5.7406679E-002, 3.3146061E-004, 1.0000000E+000, 3.9437884E+001, 3.5000000E+001, 5.1369713E-009, 4.3039971E-001
 9.2381828E-002, 5.7381535E-002, 2.8969787E-004, 1.0000000E+000, 4.1266184E+001, 3.5000000E+001, 5.0085022E-009, 4.2938904E-001
 9.5398174E-002, 5.7347052E-002, 3.1160885E-004, 1.0000000E+000, 4.2722327E+001, 3.5000000E+001, 5.4083676E-009, 4.2964165E-001
 9.8414520E-002, 5.7311557E-002, 3.2625297E-004, 1.0000000E+000, 4.4204062E+001, 3.5000000E+001, 5.0323985E-009, 4.2807749E-001
 1.0143087E-001, 5.7275053E-002, 2.7402460E-004, 1.0000000E+000, 4.5874697E+001, 3.5000000E+001, 4.9451751E-009, 4.2721956E-001
 1.0406190E-001, 5.7251344E-002, 2.3265790E-004, 1.0000000E+000, 4.7739615E+001, 3.5000000E+001, 4.7018627E-009, 4.2603912E-001
 1.0669293E-001, 5.7218144E-002, 2.5202187E-004, 1.0000000E+000, 4.9220397E+001, 3.5000000E+001, 4.8502432E-009, 4.2586142E-001
 1.0932397E-001, 5.7184181E-002, 2.6409230E-004, 1.0000000E+000, 5.0698248E+001, 3.5000000E+001, 4.7729588E-009, 4.2511649E-001
