,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-30T17:24:12.027+01:00,   0.395E-02,   0.00395,   2.04755
      2,2020-10-30T17:24:12.091+01:00,   0.395E-02,   0.00791,   2.29482
      3,2020-10-30T17:24:12.138+01:00,   0.395E-02,   0.01186,   2.47255
      4,2020-10-30T17:24:12.178+01:00,   0.395E-02,   0.01581,   2.63222
      5,2020-10-30T17:24:12.225+01:00,   0.395E-02,   0.01976,   2.81284
      6,2020-10-30T17:24:12.278+01:00,   0.395E-02,   0.02372,   3.01589
      7,2020-10-30T17:24:12.325+01:00,   0.395E-02,   0.02767,   3.19752
      8,2020-10-30T17:24:12.365+01:00,   0.395E-02,   0.03162,   3.35783
      9,2020-10-30T17:24:12.410+01:00,   0.395E-02,   0.03558,   3.53098
     10,2020-10-30T17:24:12.467+01:00,   0.395E-02,   0.03953,   3.74796
     20,2020-10-30T17:24:12.948+01:00,   0.395E-02,   0.07906,   5.60835
     30,2020-10-30T17:24:13.496+01:00,   0.263E-02,   0.10932,   7.74345
     40,2020-10-30T17:24:14.045+01:00,   0.205E-02,   0.13257,   9.86650
     50,2020-10-30T17:24:14.560+01:00,   0.183E-02,   0.15220,  11.81882
     60,2020-10-30T17:24:15.031+01:00,   0.164E-02,   0.16972,  13.62507
     70,2020-10-30T17:24:15.561+01:00,   0.147E-02,   0.18594,  15.66223
     80,2020-10-30T17:24:16.094+01:00,   0.147E-02,   0.20067,  17.72074
     90,2020-10-30T17:24:16.624+01:00,   0.132E-02,   0.21480,  19.77284
    100,2020-10-30T17:24:17.220+01:00,   0.132E-02,   0.22805,  21.98756
    200,2020-10-30T17:24:24.478+01:00,   0.960E-03,   0.33878,  49.19299
    300,2020-10-30T17:24:32.691+01:00,   0.776E-03,   0.42741,  81.59349
    400,2020-10-30T17:24:38.408+01:00,   0.698E-03,   0.50284, 103.46721
    500,2020-10-30T17:24:43.865+01:00,   0.628E-03,   0.57090, 124.85792
    600,2020-10-30T17:24:50.672+01:00,   0.628E-03,   0.63368, 151.70652
    700,2020-10-30T17:24:54.782+01:00,   0.565E-03,   0.69075, 167.66959
    800,2020-10-30T17:24:58.719+01:00,   0.508E-03,   0.74629, 183.18765
    900,2020-10-30T17:25:02.191+01:00,   0.508E-03,   0.79713, 196.96323
   1000,2020-10-30T17:25:06.084+01:00,   0.508E-03,   0.84797, 212.40153
   1100,2020-10-30T17:25:10.498+01:00,   0.457E-03,   0.89504, 229.92986
   1200,2020-10-30T17:25:14.913+01:00,   0.457E-03,   0.94078, 247.46966
   1300,2020-10-30T17:25:19.262+01:00,   0.457E-03,   0.98652, 264.75682
   1400,2020-10-30T17:25:25.577+01:00,   0.412E-03,   1.03121, 289.89669
   1500,2020-10-30T17:25:30.888+01:00,   0.412E-03,   1.07238, 311.04920
   1600,2020-10-30T17:25:34.432+01:00,   0.412E-03,   1.11354, 325.07794
   1700,2020-10-30T17:25:37.962+01:00,   0.412E-03,   1.15470, 339.11474
   1800,2020-10-30T17:25:41.391+01:00,   0.412E-03,   1.19587, 352.75649
   1900,2020-10-30T17:25:44.870+01:00,   0.412E-03,   1.23703, 366.57816
   2000,2020-10-30T17:25:48.304+01:00,   0.370E-03,   1.27411, 380.25117
   2100,2020-10-30T17:25:51.762+01:00,   0.370E-03,   1.31114, 393.97568
   2200,2020-10-30T17:25:55.171+01:00,   0.333E-03,   1.34521, 407.54703
   2300,2020-10-30T17:25:58.710+01:00,   0.299E-03,   1.37699, 421.64374
   2400,2020-10-30T17:26:03.017+01:00,   0.299E-03,   1.40685, 438.30613
   2500,2020-10-30T17:26:06.825+01:00,   0.268E-03,   1.43384, 453.44758
   2600,2020-10-30T17:26:10.913+01:00,   0.268E-03,   1.46062, 469.69906
   2700,2020-10-30T17:26:14.834+01:00,   0.268E-03,   1.48739, 485.27909
   2800,2020-10-30T17:26:19.120+01:00,   0.268E-03,   1.51417, 502.32149
   2900,2020-10-30T17:26:23.035+01:00,   0.241E-03,   1.53883, 517.86054
   3000,2020-10-30T17:26:27.033+01:00,   0.265E-03,   1.56496, 533.76006
   3100,2020-10-30T17:26:30.935+01:00,   0.265E-03,   1.59143, 549.21466
   3200,2020-10-30T17:26:35.395+01:00,   0.265E-03,   1.61790, 566.94941
   3300,2020-10-30T17:26:39.178+01:00,   0.238E-03,   1.64247, 581.99175
   3400,2020-10-30T17:26:43.064+01:00,   0.262E-03,   1.66750, 597.44680
   3500,2020-10-30T17:26:47.020+01:00,   0.262E-03,   1.69371, 613.15968
   3600,2020-10-30T17:26:51.514+01:00,   0.262E-03,   1.71991, 631.03200
   3700,2020-10-30T17:26:55.401+01:00,   0.236E-03,   1.74432, 646.48877
   3800,2020-10-30T17:26:59.260+01:00,   0.259E-03,   1.76893, 661.85410
   3900,2020-10-30T17:27:03.149+01:00,   0.259E-03,   1.79485, 677.32594
   4000,2020-10-30T17:27:07.561+01:00,   0.259E-03,   1.82077, 694.88259
   4100,2020-10-30T17:27:11.507+01:00,   0.233E-03,   1.84505, 710.59118
   4200,2020-10-30T17:27:17.009+01:00,   0.257E-03,   1.86926, 732.49253
   4300,2020-10-30T17:27:23.144+01:00,   0.231E-03,   1.89414, 756.92397
   4400,2020-10-30T17:27:27.432+01:00,   0.254E-03,   1.91815, 774.00498
   4500,2020-10-30T17:27:31.495+01:00,   0.254E-03,   1.94353, 790.18288
   4600,2020-10-30T17:27:35.395+01:00,   0.254E-03,   1.96892, 805.70304
   4700,2020-10-30T17:27:39.345+01:00,   0.254E-03,   1.99431, 821.40624
   4723,2020-10-30T17:27:40.307+01:00,   0.108E-03,   2.00000, 825.24036
