s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1577419E+000
 3.9528471E-003, 5.7933749E-002, 4.3368087E-019, 1.0000000E+000, 3.4385820E+000
 7.9056942E-003, 5.7927390E-002, 8.6736174E-019, 1.0000000E+000, 4.5702988E+000
 1.1858541E-002, 5.7919221E-002, 8.6736174E-019, 1.0000000E+000, 5.6634370E+000
 1.5811388E-002, 5.7909244E-002, 1.7347235E-018, 1.0000000E+000, 6.8244210E+000
 1.9764235E-002, 5.7897460E-002, 1.7347235E-018, 1.0000000E+000, 7.8800822E+000
 2.3717082E-002, 5.7883871E-002, 3.4694470E-018, 1.0000000E+000, 9.0007831E+000
 2.7669930E-002, 5.7868477E-002, 1.7347235E-018, 1.0000000E+000, 1.0043570E+001
 3.1622777E-002, 5.7851282E-002, 3.4694470E-018, 1.0000000E+000, 1.1204246E+001
 3.5575624E-002, 5.7832286E-002, 3.4694470E-018, 1.0000000E+000, 1.2246436E+001
 3.9528471E-002, 5.7811493E-002, 3.4694470E-018, 1.0000000E+000, 1.3348006E+001
 4.3481318E-002, 5.7788905E-002, 3.4694470E-018, 1.0000000E+000, 1.4442640E+001
 4.7434165E-002, 5.7764525E-002, 3.4694470E-018, 1.0000000E+000, 1.5572744E+001
 5.1387012E-002, 5.7738356E-002, 3.4694470E-018, 1.0000000E+000, 1.6619017E+001
 5.5339859E-002, 5.7710402E-002, 3.4694470E-018, 1.0000000E+000, 1.7769461E+001
 5.9292706E-002, 5.7680664E-002, 3.4694470E-018, 1.0000000E+000, 1.8812103E+001
 6.3245553E-002, 5.7649149E-002, 6.9388939E-018, 1.0000000E+000, 1.9980995E+001
 6.7198400E-002, 5.7615858E-002, 6.9388939E-018, 1.0000000E+000, 2.1029881E+001
 7.1151247E-002, 5.7580797E-002, 6.9388939E-018, 1.0000000E+000, 2.2163416E+001
 7.5104094E-002, 5.7543970E-002, 6.9388939E-018, 1.0000000E+000, 2.3248810E+001
 7.9056942E-002, 5.7505381E-002, 6.9388939E-018, 1.0000000E+000, 2.4350874E+001
 8.2484486E-002, 5.7480034E-002, 6.9388939E-018, 1.0000000E+000, 2.5584540E+001
 8.5912031E-002, 5.7444242E-002, 6.9388939E-018, 1.0000000E+000, 2.6723839E+001
 8.9339576E-002, 5.7407135E-002, 6.9388939E-018, 1.0000000E+000, 2.7847611E+001
 9.2349007E-002, 5.7382047E-002, 6.9388939E-018, 1.0000000E+000, 2.9148686E+001
 9.5358437E-002, 5.7347660E-002, 6.9388939E-018, 1.0000000E+000, 3.0198803E+001
 9.8367868E-002, 5.7312265E-002, 6.9388939E-018, 1.0000000E+000, 3.1301327E+001
 1.0137730E-001, 5.7275867E-002, 6.9388939E-018, 1.0000000E+000, 3.2379351E+001
 1.0400420E-001, 5.7252160E-002, 6.9388939E-018, 1.0000000E+000, 3.3718001E+001
 1.0663110E-001, 5.7219031E-002, 6.9388939E-018, 1.0000000E+000, 3.4761423E+001
 1.0925800E-001, 5.7185143E-002, 6.9388939E-018, 1.0000000E+000, 3.5903299E+001
 1.1188490E-001, 5.7150496E-002, 6.9388939E-018, 1.0000000E+000, 3.7010828E+001
 1.1451180E-001, 5.7115092E-002, 6.9388939E-018, 1.0000000E+000, 3.8112669E+001
 1.1682008E-001, 5.7091695E-002, 6.9388939E-018, 1.0000000E+000, 3.9336161E+001
 1.1912836E-001, 5.7059543E-002, 6.9388939E-018, 1.0000000E+000, 4.0434240E+001
 1.2143664E-001, 5.7026812E-002, 6.9388939E-018, 1.0000000E+000, 4.1555449E+001
 1.2374492E-001, 5.6993501E-002, 6.9388939E-018, 1.0000000E+000, 4.2698893E+001
 1.2605319E-001, 5.6959612E-002, 1.3877788E-017, 1.0000000E+000, 4.3739599E+001
 1.2836147E-001, 5.6925147E-002, 1.3877788E-017, 1.0000000E+000, 4.4868590E+001
 1.3041382E-001, 5.6901498E-002, 0.0000000E+000, 1.0000000E+000, 4.6102362E+001
 1.3246616E-001, 5.6870033E-002, 1.3877788E-017, 1.0000000E+000, 4.7279032E+001
 1.3451851E-001, 5.6838115E-002, 1.3877788E-017, 1.0000000E+000, 4.8348642E+001
 1.3657085E-001, 5.6805746E-002, 1.3877788E-017, 1.0000000E+000, 4.9470427E+001
 1.3862319E-001, 5.6772926E-002, 1.3877788E-017, 1.0000000E+000, 5.0634920E+001
 1.4067554E-001, 5.6739656E-002, 1.3877788E-017, 1.0000000E+000, 5.1740427E+001
