s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 5.0131842E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0131842E-018, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000, 5.0281013E-018, 8.7123494E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9356587E-016, 5.8993362E-018, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000, 5.0404678E-018, 1.4168624E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0222545E-016, 6.4573301E-018, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000, 5.0461729E-018, 1.9078686E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1784794E-016, 6.9540415E-018, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000, 5.0541982E-018, 2.2877727E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1076752E-016, 7.3419709E-018, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000, 5.0558147E-018, 2.1687499E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2656627E-016, 7.2245646E-018, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000, 5.0574271E-018, 2.2345521E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7220710E-016, 7.2919791E-018, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000, 5.0536307E-018, 1.9478060E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2832168E-016, 7.0014367E-018, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000, 5.0621687E-018, 1.8360812E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3358793E-016, 6.8982499E-018, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000, 5.0601858E-018, 1.7362478E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1954460E-016, 6.7964337E-018, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000, 5.0451273E-018, 1.2837814E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4412043E-016, 6.3289087E-018, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000, 5.0396173E-018, 7.6679352E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3885418E-016, 5.8064109E-018, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000, 5.0413639E-018, 4.7538093E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1252293E-016, 5.5167449E-018, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000, 5.0480335E-018, 1.7735450E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1427835E-016, 5.2253880E-018, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000, 5.0234737E-018,-1.5735508E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2832168E-016, 4.8661187E-018, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000, 5.0332993E-018,-6.0975130E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3358793E-016, 4.4235480E-018, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000, 5.0300781E-018,-1.1307186E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2130002E-016, 3.8993594E-018, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000, 5.0263257E-018,-1.6816792E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3183252E-016, 3.3446465E-018, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000, 5.0191615E-018,-2.1667207E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5991918E-016, 2.8524408E-018, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000, 5.0102863E-018,-2.6304236E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2832168E-016, 2.3798627E-018, 0.0000000E+000, 0.0000000E+000
 8.2484484E-002, 0.0000000E+000, 0.0000000E+000, 4.3321415E-018,-3.2086027E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9881668E-016, 1.1235388E-018, 0.0000000E+000, 0.0000000E+000
 8.5912034E-002, 0.0000000E+000, 0.0000000E+000, 4.3405289E-018,-3.7235819E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9881668E-016, 6.1694693E-019, 0.0000000E+000, 0.0000000E+000
 8.9339577E-002, 0.0000000E+000, 0.0000000E+000, 4.3103406E-018,-4.3643236E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6642548E-016,-5.3982957E-020, 0.0000000E+000, 0.0000000E+000
 9.2349008E-002, 0.0000000E+000, 0.0000000E+000, 3.7562032E-018,-4.8593092E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6660893E-016,-1.1031060E-018, 0.0000000E+000, 0.0000000E+000
 9.5358439E-002, 0.0000000E+000, 0.0000000E+000, 3.7588663E-018,-5.2844811E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0896602E-016,-1.5256148E-018, 0.0000000E+000, 0.0000000E+000
 9.8367870E-002, 0.0000000E+000, 0.0000000E+000, 3.7766099E-018,-5.7635549E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2741175E-016,-1.9869450E-018, 0.0000000E+000, 0.0000000E+000
 1.0137730E-001, 0.0000000E+000, 0.0000000E+000, 3.7523153E-018,-6.1594469E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8590885E-016,-2.4071316E-018, 0.0000000E+000, 0.0000000E+000
 1.0400420E-001, 0.0000000E+000, 0.0000000E+000, 3.2517984E-018,-6.4768236E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1433561E-016,-3.2250252E-018, 0.0000000E+000, 0.0000000E+000
 1.0663110E-001, 0.0000000E+000, 0.0000000E+000, 3.2691711E-018,-6.8839872E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5358167E-016,-3.6148161E-018, 0.0000000E+000, 0.0000000E+000
 1.0925800E-001, 0.0000000E+000, 0.0000000E+000, 3.2564537E-018,-7.3371057E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3546741E-016,-4.0806519E-018, 0.0000000E+000, 0.0000000E+000
 1.1188490E-001, 0.0000000E+000, 0.0000000E+000, 3.2713039E-018,-7.5766075E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8792085E-016,-4.3053036E-018, 0.0000000E+000, 0.0000000E+000
 1.1451180E-001, 0.0000000E+000, 0.0000000E+000, 3.2643786E-018,-7.9292668E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8527938E-016,-4.6648882E-018, 0.0000000E+000, 0.0000000E+000
 1.1682008E-001, 0.0000000E+000, 0.0000000E+000, 2.8198828E-018,-8.3098260E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3447503E-016,-5.4899432E-018, 0.0000000E+000, 0.0000000E+000
 1.1912836E-001, 0.0000000E+000, 0.0000000E+000, 2.8346991E-018,-8.6498541E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2545676E-016,-5.8151550E-018, 0.0000000E+000, 0.0000000E+000
 1.2143664E-001, 0.0000000E+000, 0.0000000E+000, 2.8126068E-018,-8.8747248E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2846285E-016,-6.0621180E-018, 0.0000000E+000, 0.0000000E+000
 1.2374492E-001, 0.0000000E+000, 0.0000000E+000, 2.8133742E-018,-9.1176066E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3748112E-016,-6.3042324E-018, 0.0000000E+000, 0.0000000E+000
 1.2605320E-001, 0.0000000E+000, 0.0000000E+000, 2.8179854E-018,-9.3797393E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4349330E-016,-6.5617539E-018, 0.0000000E+000, 0.0000000E+000
 1.2836148E-001, 0.0000000E+000, 0.0000000E+000, 2.7880649E-018,-9.6279193E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5852375E-016,-6.8398544E-018, 0.0000000E+000, 0.0000000E+000
 1.3041382E-001, 0.0000000E+000, 0.0000000E+000, 2.4869125E-018,-9.7470181E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2314341E-016,-7.2601057E-018, 0.0000000E+000, 0.0000000E+000
 1.3246617E-001, 0.0000000E+000, 0.0000000E+000, 2.4875257E-018,-1.0009113E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7580996E-016,-7.5215872E-018, 0.0000000E+000, 0.0000000E+000
 1.3451850E-001, 0.0000000E+000, 0.0000000E+000, 2.4883016E-018,-1.0283277E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1976245E-016,-7.7949758E-018, 0.0000000E+000, 0.0000000E+000
 1.3657086E-001, 0.0000000E+000, 0.0000000E+000, 2.4472611E-018,-1.0530133E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5890516E-016,-8.0828717E-018, 0.0000000E+000, 0.0000000E+000
 1.3862319E-001, 0.0000000E+000, 0.0000000E+000, 2.4542678E-018,-1.0728411E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2990534E-016,-8.2741429E-018, 0.0000000E+000, 0.0000000E+000
 1.4067553E-001, 0.0000000E+000, 0.0000000E+000, 2.4645745E-018,-1.0824189E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6904804E-016,-8.3596141E-018, 0.0000000E+000, 0.0000000E+000
 1.4272788E-001, 0.0000000E+000, 0.0000000E+000, 2.4953692E-018,-1.0988546E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9609573E-016,-8.4931772E-018, 0.0000000E+000, 0.0000000E+000
 1.4478022E-001, 0.0000000E+000, 0.0000000E+000, 2.4785980E-018,-1.1233419E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9271477E-016,-8.7548214E-018, 0.0000000E+000, 0.0000000E+000
 1.4660554E-001, 0.0000000E+000, 0.0000000E+000, 2.2006119E-018,-1.1302575E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9767701E-016,-9.1019634E-018, 0.0000000E+000, 0.0000000E+000
 1.4843085E-001, 0.0000000E+000, 0.0000000E+000, 2.1954789E-018,-1.1431642E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7486812E-016,-9.2361628E-018, 0.0000000E+000, 0.0000000E+000
 1.5025616E-001, 0.0000000E+000, 0.0000000E+000, 2.1744488E-018,-1.1612636E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6726516E-016,-9.4381877E-018, 0.0000000E+000, 0.0000000E+000
 1.5208147E-001, 0.0000000E+000, 0.0000000E+000, 2.1775726E-018,-1.1758354E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4445628E-016,-9.5807818E-018, 0.0000000E+000, 0.0000000E+000
 1.5390679E-001, 0.0000000E+000, 0.0000000E+000, 2.1528325E-018,-1.1850837E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6346368E-016,-9.6980047E-018, 0.0000000E+000, 0.0000000E+000
 1.5573211E-001, 0.0000000E+000, 0.0000000E+000, 2.1749807E-018,-1.1945981E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9387553E-016,-9.7709999E-018, 0.0000000E+000, 0.0000000E+000
 1.5755741E-001, 0.0000000E+000, 0.0000000E+000, 2.1710200E-018,-1.2066413E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6346368E-016,-9.8953928E-018, 0.0000000E+000, 0.0000000E+000
 1.5938273E-001, 0.0000000E+000, 0.0000000E+000, 2.2005713E-018,-1.2210797E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7486812E-016,-1.0010226E-017, 0.0000000E+000, 0.0000000E+000
 1.6120805E-001, 0.0000000E+000, 0.0000000E+000, 2.1950689E-018,-1.2303944E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7106664E-016,-1.0108875E-017, 0.0000000E+000, 0.0000000E+000
 1.6303335E-001, 0.0000000E+000, 0.0000000E+000, 2.2001647E-018,-1.2426370E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5966220E-016,-1.0226205E-017, 0.0000000E+000, 0.0000000E+000
 1.6467178E-001, 0.0000000E+000, 0.0000000E+000, 1.9268814E-018,-1.2552790E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2281848E-016,-1.0625909E-017, 0.0000000E+000, 0.0000000E+000
 1.6631019E-001, 0.0000000E+000, 0.0000000E+000, 1.9200272E-018,-1.2603385E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7363992E-016,-1.0683358E-017, 0.0000000E+000, 0.0000000E+000
 1.6794860E-001, 0.0000000E+000, 0.0000000E+000, 1.9167441E-018,-1.2735776E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1011312E-016,-1.0819032E-017, 0.0000000E+000, 0.0000000E+000
 1.6958703E-001, 0.0000000E+000, 0.0000000E+000, 1.9187261E-018,-1.2880144E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1011312E-016,-1.0961417E-017, 0.0000000E+000, 0.0000000E+000
 1.7122544E-001, 0.0000000E+000, 0.0000000E+000, 1.8935523E-018,-1.2973284E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2705360E-016,-1.1079732E-017, 0.0000000E+000, 0.0000000E+000
 1.7286386E-001, 0.0000000E+000, 0.0000000E+000, 1.9085922E-018,-1.3103029E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4822920E-016,-1.1194437E-017, 0.0000000E+000, 0.0000000E+000
 1.7450228E-001, 0.0000000E+000, 0.0000000E+000, 1.9171947E-018,-1.3135621E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3552384E-016,-1.1218427E-017, 0.0000000E+000, 0.0000000E+000
 1.7614070E-001, 0.0000000E+000, 0.0000000E+000, 1.9668545E-018,-1.3162884E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2705360E-016,-1.1196029E-017, 0.0000000E+000, 0.0000000E+000
 1.7777911E-001, 0.0000000E+000, 0.0000000E+000, 1.9465020E-018,-1.3248031E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7363992E-016,-1.1301528E-017, 0.0000000E+000, 0.0000000E+000
 1.7941754E-001, 0.0000000E+000, 0.0000000E+000, 1.9340371E-018,-1.3381793E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0587800E-016,-1.1447756E-017, 0.0000000E+000, 0.0000000E+000
 1.8105595E-001, 0.0000000E+000, 0.0000000E+000, 1.9162460E-018,-1.3444998E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5246432E-016,-1.1528752E-017, 0.0000000E+000, 0.0000000E+000
 1.8269436E-001, 0.0000000E+000, 0.0000000E+000, 1.9410370E-018,-1.3456311E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3128872E-016,-1.1515274E-017, 0.0000000E+000, 0.0000000E+000
 1.8433279E-001, 0.0000000E+000, 0.0000000E+000, 1.9340066E-018,-1.3500225E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3128872E-016,-1.1566218E-017, 0.0000000E+000, 0.0000000E+000
 1.8580511E-001, 0.0000000E+000, 0.0000000E+000, 1.6930190E-018,-1.3521528E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2724765E-016,-1.1828509E-017, 0.0000000E+000, 0.0000000E+000
