,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T15:25:09.406+01:00,   0.395E-02,   0.00395,   4.00916
      2,2020-10-28T15:25:10.125+01:00,   0.395E-02,   0.00791,   5.14934
      3,2020-10-28T15:25:10.833+01:00,   0.395E-02,   0.01186,   6.25913
      4,2020-10-28T15:25:11.507+01:00,   0.395E-02,   0.01581,   7.37083
      5,2020-10-28T15:25:12.182+01:00,   0.395E-02,   0.01976,   8.44804
      6,2020-10-28T15:25:12.863+01:00,   0.395E-02,   0.02372,   9.54957
      7,2020-10-28T15:25:13.570+01:00,   0.395E-02,   0.02767,  10.64876
      8,2020-10-28T15:25:14.238+01:00,   0.395E-02,   0.03162,  11.75146
      9,2020-10-28T15:25:14.886+01:00,   0.395E-02,   0.03558,  12.79100
     10,2020-10-28T15:25:15.570+01:00,   0.395E-02,   0.03953,  13.90100
     20,2020-10-28T15:25:22.400+01:00,   0.395E-02,   0.07906,  24.89661
     30,2020-10-28T15:25:29.721+01:00,   0.263E-02,   0.10926,  36.51802
     40,2020-10-28T15:25:36.727+01:00,   0.205E-02,   0.13247,  47.84790
     50,2020-10-28T15:25:43.807+01:00,   0.183E-02,   0.15208,  59.06541
     60,2020-10-28T15:25:49.953+01:00,   0.164E-02,   0.16959,  69.08044
     70,2020-10-28T15:25:56.249+01:00,   0.147E-02,   0.18581,  79.18007
     80,2020-10-28T15:26:02.262+01:00,   0.147E-02,   0.20053,  88.98129
     90,2020-10-28T15:26:07.986+01:00,   0.132E-02,   0.21466,  98.43501
    100,2020-10-28T15:26:13.184+01:00,   0.132E-02,   0.22791, 107.04612
    200,2020-10-28T15:27:02.240+01:00,   0.960E-03,   0.33864, 190.52104
    300,2020-10-28T15:27:45.921+01:00,   0.776E-03,   0.42727, 266.33270
    400,2020-10-28T15:28:26.659+01:00,   0.698E-03,   0.50272, 338.11266
    500,2020-10-28T15:29:05.712+01:00,   0.628E-03,   0.57078, 407.62278
    600,2020-10-28T15:29:43.365+01:00,   0.628E-03,   0.63357, 475.08194
    700,2020-10-28T15:30:20.366+01:00,   0.565E-03,   0.69065, 541.45551
    800,2020-10-28T15:30:56.810+01:00,   0.508E-03,   0.74619, 607.28988
    900,2020-10-28T15:31:31.847+01:00,   0.508E-03,   0.79704, 671.08620
   1000,2020-10-28T15:32:06.994+01:00,   0.508E-03,   0.84788, 734.95337
   1100,2020-10-28T15:32:41.941+01:00,   0.457E-03,   0.89495, 798.66988
   1200,2020-10-28T15:33:16.042+01:00,   0.457E-03,   0.94070, 861.28216
   1300,2020-10-28T15:33:50.274+01:00,   0.457E-03,   0.98644, 924.02196
   1400,2020-10-28T15:34:24.209+01:00,   0.412E-03,   1.03113, 986.30081
   1500,2020-10-28T15:34:57.643+01:00,   0.412E-03,   1.07230,1047.83025
   1600,2020-10-28T15:35:30.509+01:00,   0.412E-03,   1.11346,1108.69435
   1700,2020-10-28T15:36:03.804+01:00,   0.412E-03,   1.15463,1170.14013
   1800,2020-10-28T15:36:36.715+01:00,   0.412E-03,   1.19580,1230.96605
   1900,2020-10-28T15:37:09.940+01:00,   0.412E-03,   1.23696,1292.37250
   2000,2020-10-28T15:37:42.421+01:00,   0.370E-03,   1.27402,1352.68988
   2100,2020-10-28T15:38:14.416+01:00,   0.370E-03,   1.31099,1412.37509
   2200,2020-10-28T15:38:46.164+01:00,   0.332E-03,   1.34506,1471.69950
   2300,2020-10-28T15:39:17.492+01:00,   0.298E-03,   1.37682,1530.37055
   2400,2020-10-28T15:39:48.488+01:00,   0.298E-03,   1.40661,1588.46093
   2500,2020-10-28T15:40:18.574+01:00,   0.268E-03,   1.43364,1645.37438
   2600,2020-10-28T15:40:48.993+01:00,   0.268E-03,   1.46042,1702.75219
   2700,2020-10-28T15:41:19.332+01:00,   0.268E-03,   1.48720,1759.90976
   2800,2020-10-28T15:41:49.482+01:00,   0.268E-03,   1.51398,1816.83532
   2900,2020-10-28T15:42:19.736+01:00,   0.241E-03,   1.53867,1873.83215
   3000,2020-10-28T15:42:50.021+01:00,   0.265E-03,   1.56482,1930.94231
   3100,2020-10-28T15:43:20.160+01:00,   0.265E-03,   1.59133,1987.78306
