,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T15:25:09.403+01:00,   0.395E-02,   0.00395,   3.83412
      2,2020-10-28T15:25:10.162+01:00,   0.395E-02,   0.00791,   5.10283
      3,2020-10-28T15:25:10.897+01:00,   0.395E-02,   0.01186,   6.31726
      4,2020-10-28T15:25:11.644+01:00,   0.395E-02,   0.01581,   7.58585
      5,2020-10-28T15:25:12.383+01:00,   0.395E-02,   0.01976,   8.80883
      6,2020-10-28T15:25:13.144+01:00,   0.395E-02,   0.02372,  10.08248
      7,2020-10-28T15:25:13.881+01:00,   0.395E-02,   0.02767,  11.30505
      8,2020-10-28T15:25:14.630+01:00,   0.395E-02,   0.03162,  12.57549
      9,2020-10-28T15:25:15.363+01:00,   0.395E-02,   0.03558,  13.79474
     10,2020-10-28T15:25:16.120+01:00,   0.395E-02,   0.03953,  15.06485
     20,2020-10-28T15:25:23.570+01:00,   0.395E-02,   0.07906,  27.53678
     30,2020-10-28T15:25:31.603+01:00,   0.263E-02,   0.10926,  40.97762
     40,2020-10-28T15:25:39.733+01:00,   0.205E-02,   0.13247,  54.42584
     50,2020-10-28T15:25:47.406+01:00,   0.183E-02,   0.15208,  67.26752
     60,2020-10-28T15:25:54.320+01:00,   0.164E-02,   0.16959,  79.06429
     70,2020-10-28T15:26:01.171+01:00,   0.147E-02,   0.18581,  90.76957
     80,2020-10-28T15:26:07.848+01:00,   0.147E-02,   0.20053, 102.17691
     90,2020-10-28T15:26:14.562+01:00,   0.132E-02,   0.21466, 113.57113
    100,2020-10-28T15:26:20.542+01:00,   0.132E-02,   0.22791, 124.00671
    200,2020-10-28T15:27:19.787+01:00,   0.960E-03,   0.33864, 228.43614
    300,2020-10-28T15:28:15.237+01:00,   0.776E-03,   0.42727, 328.47922
    400,2020-10-28T15:29:09.824+01:00,   0.698E-03,   0.50272, 427.89304
    500,2020-10-28T15:30:02.868+01:00,   0.628E-03,   0.57078, 525.61120
    600,2020-10-28T15:30:55.269+01:00,   0.628E-03,   0.63357, 622.33330
    700,2020-10-28T15:31:47.270+01:00,   0.565E-03,   0.69065, 718.41979
    800,2020-10-28T15:32:38.429+01:00,   0.508E-03,   0.74619, 813.77040
    900,2020-10-28T15:33:28.322+01:00,   0.508E-03,   0.79704, 907.31814
   1000,2020-10-28T15:34:18.100+01:00,   0.508E-03,   0.84788,1000.81187
   1100,2020-10-28T15:35:07.905+01:00,   0.457E-03,   0.89495,1094.50536
   1200,2020-10-28T15:35:57.013+01:00,   0.457E-03,   0.94070,1187.16072
   1300,2020-10-28T15:36:46.031+01:00,   0.457E-03,   0.98644,1279.74970
   1400,2020-10-28T15:37:34.786+01:00,   0.412E-03,   1.03113,1372.00139
   1500,2020-10-28T15:38:22.871+01:00,   0.412E-03,   1.07230,1463.24490
   1600,2020-10-28T15:39:10.744+01:00,   0.412E-03,   1.11346,1554.15215
   1700,2020-10-28T15:39:59.154+01:00,   0.412E-03,   1.15463,1645.82133
   1800,2020-10-28T15:40:47.182+01:00,   0.412E-03,   1.19580,1737.11812
   1900,2020-10-28T15:41:35.662+01:00,   0.412E-03,   1.23696,1829.02558
   2000,2020-10-28T15:42:23.503+01:00,   0.370E-03,   1.27402,1920.11114
   2100,2020-10-28T15:43:10.687+01:00,   0.370E-03,   1.31099,2010.18906
   2200,2020-10-28T15:43:57.708+01:00,   0.332E-03,   1.34506,2100.12481
   2300,2020-10-28T15:44:44.439+01:00,   0.298E-03,   1.37682,2189.57383
   2400,2020-10-28T15:45:30.764+01:00,   0.298E-03,   1.40661,2278.12746
   2500,2020-10-28T15:46:16.122+01:00,   0.268E-03,   1.43364,2365.62143
   2600,2020-10-28T15:47:01.514+01:00,   0.268E-03,   1.46042,2453.02231
   2700,2020-10-28T15:47:46.774+01:00,   0.268E-03,   1.48720,2540.26229
