s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000, 2.4709000E-001
 1.2500000E-001, 1.5152444E-005, 2.2167464E-003, 9.7693113E-004, 3.0000000E+000, 2.9901900E-001
 2.5000000E-001, 1.2367748E-001, 1.6579191E-002, 3.5814181E-003, 1.0000000E+003, 1.8508180E+000
 3.7500000E-001, 2.4407191E-001, 9.2860229E-002, 4.5183041E-003, 1.0000000E+003, 3.3825930E+000
 5.0000000E-001, 3.5765876E-001, 2.3043044E-001, 3.7320015E-003, 1.0000000E+003, 4.9354099E+000
 6.2500000E-001, 4.6178648E-001, 4.0111725E-001, 1.7672041E-003, 1.0000000E+003, 6.4933141E+000
 7.5000000E-001, 5.5480842E-001, 5.7071615E-001, 9.9818070E-004, 1.4100000E+002, 6.6519411E+000
 8.7500000E-001, 6.3560977E-001, 7.1591258E-001, 2.4555317E-003, 1.0000000E+003, 8.1915372E+000
 1.0000000E+000, 7.0452637E-001, 8.1572499E-001, 3.3129168E-003, 1.0000000E+003, 9.7158445E+000
 1.1250000E+000, 7.6219751E-001, 8.6980414E-001, 3.2191666E-003, 1.0000000E+003, 1.1237053E+001
 1.2500000E+000, 8.0975060E-001, 8.8950714E-001, 2.3977436E-003, 1.0000000E+003, 1.2784279E+001
 1.3750000E+000, 8.4852464E-001, 8.9079816E-001, 1.2846595E-003, 1.0000000E+003, 1.4313333E+001
 1.5000000E+000, 8.8017066E-001, 8.8946347E-001, 9.6567593E-004, 1.0000000E+001, 1.4570289E+001
 1.6250000E+000, 9.0550130E-001, 8.8842092E-001, 9.9490493E-004, 2.4000000E+001, 1.4646723E+001
 1.7500000E+000, 9.2534119E-001, 8.9384875E-001, 9.9928707E-004, 2.6900000E+002, 1.4960661E+001
 1.8750000E+000, 9.4122348E-001, 9.0170583E-001, 9.9965998E-004, 1.5700000E+002, 1.5277814E+001
 2.0000000E+000, 9.5385705E-001, 9.1937304E-001, 1.0056943E-003, 1.0000000E+003, 1.6086782E+001
 2.1250000E+000, 9.6385416E-001, 9.3625326E-001, 9.9896896E-004, 7.4000000E+001, 1.6189082E+001
 2.2500000E+000, 9.7181033E-001, 9.5177013E-001, 9.8183459E-004, 1.2000000E+001, 1.6242360E+001
 2.3750000E+000, 9.7807487E-001, 9.6717832E-001, 9.0213429E-004, 1.4000000E+001, 1.6299442E+001
 2.4851732E+000, 9.7836752E-001, 9.8092853E-001, 9.8922929E-004, 1.1000000E+001, 1.6381980E+001
 2.5953463E+000, 9.8621658E-001, 9.9439626E-001, 9.2860123E-004, 1.2000000E+001, 1.6441449E+001
 2.7055195E+000, 9.8909350E-001, 1.0077989E+000, 9.9354159E-004, 1.4000000E+001, 1.6548980E+001
 2.8156927E+000, 9.9129263E-001, 1.0199428E+000, 9.9884207E-004, 2.4000000E+001, 1.6929664E+001
