s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2474023E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2474023E-018, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000, 2.0046665E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0046665E-003, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000,-9.0122477E-002,-4.4590930E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5401976E-011,-9.0122477E-002, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000,-1.2738322E-001,-4.9191497E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1525117E-010,-1.2738322E-001, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000,-1.0719575E-001, 3.6725820E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7485734E-011,-1.0719575E-001, 0.0000000E+000, 0.0000000E+000
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000,-5.1119969E-002, 1.6486726E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1234459E-011,-5.1119969E-002, 0.0000000E+000, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000, 0.0000000E+000, 1.3033237E-002, 3.7515272E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1257895E-011, 1.3033237E-002, 0.0000000E+000, 0.0000000E+000
 8.7500000E-001, 0.0000000E+000, 0.0000000E+000, 6.7634066E-002, 6.1191661E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3562766E-011, 6.7634066E-002, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3677038E-002, 8.6192640E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7765435E-011, 9.3677038E-002, 0.0000000E+000, 0.0000000E+000
 1.1250000E+000, 0.0000000E+000, 0.0000000E+000, 9.0647647E-002, 1.0552398E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4703484E-011, 9.0647647E-002, 0.0000000E+000, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000, 6.7183980E-002, 1.1631855E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0046871E-011, 6.7183980E-002, 0.0000000E+000, 0.0000000E+000
 1.3750000E+000, 0.0000000E+000, 0.0000000E+000, 3.5606315E-002, 1.2053764E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0489097E-011, 3.5606315E-002, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0185058E-002, 1.2183127E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4447218E-011, 2.0185058E-002, 0.0000000E+000, 0.0000000E+000
 1.6250000E+000, 0.0000000E+000, 0.0000000E+000,-2.8638420E-002, 1.2346202E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7462298E-011,-2.8638420E-002, 0.0000000E+000, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000, 0.0000000E+000,-2.6847530E-002, 1.2596875E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9324943E-011,-2.6847530E-002, 0.0000000E+000, 0.0000000E+000
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000,-3.3396261E-002, 1.2847739E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5844201E-011,-3.3396261E-002, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9055206E-002, 1.3001586E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3504177E-011,-2.9055206E-002, 0.0000000E+000, 0.0000000E+000
 2.1250000E+000, 0.0000000E+000, 0.0000000E+000,-2.5062465E-002, 1.3232725E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6542693E-011,-2.5062465E-002, 0.0000000E+000, 0.0000000E+000
 2.2500000E+000, 0.0000000E+000, 0.0000000E+000,-5.7369544E-003, 1.3427693E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1432137E-011,-5.7369544E-003, 0.0000000E+000, 0.0000000E+000
 2.3750000E+000, 0.0000000E+000, 0.0000000E+000,-1.6184307E-002, 1.3728713E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4214387E-011,-1.6184307E-002, 0.0000000E+000, 0.0000000E+000
 2.4851732E+000, 0.0000000E+000, 0.0000000E+000, 4.4800934E-003, 1.3973247E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2756387E-011, 4.4800934E-003, 0.0000000E+000, 0.0000000E+000
 2.5953465E+000, 0.0000000E+000, 0.0000000E+000, 5.5873700E-003, 1.4237401E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3246468E-011, 5.5873700E-003, 0.0000000E+000, 0.0000000E+000
 2.7055194E+000, 0.0000000E+000, 0.0000000E+000, 9.5949802E-003, 1.4548453E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8491509E-011, 9.5949802E-003, 0.0000000E+000, 0.0000000E+000
