s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000, 2.5296024E+002
 1.2500000E-001, 0.0000000E+000, 2.1294228E-003, 4.3368087E-019, 1.0000000E+000, 2.5385593E+002
 2.5000000E-001, 1.2938078E-001, 2.1178258E-003, 3.4694470E-018, 1.0000000E+000, 2.5470473E+002
 3.7500000E-001, 2.7104865E-001, 2.1566461E-003, 1.3877788E-017, 1.0000000E+000, 2.5554711E+002
 5.0000000E-001, 4.1995287E-001, 2.2043751E-003, 1.7347235E-018, 1.0000000E+000, 2.5641739E+002
 6.2500000E-001, 5.5743722E-001, 2.2587109E-003, 2.7755576E-017, 1.0000000E+000, 2.5727039E+002
 7.5000000E-001, 6.4708617E-001, 2.3223865E-003, 6.9388939E-018, 1.0000000E+000, 2.5812567E+002
 8.2082448E-001, 5.6370020E-001, 2.4120807E-003, 5.5511151E-017, 1.0000000E+000, 2.5940857E+002
 8.8240839E-001, 5.3397810E-001, 2.5078217E-003, 1.3877788E-017, 1.0000000E+000, 2.6067923E+002
 9.4399230E-001, 6.6613212E-001, 2.6648400E-003, 5.5511151E-017, 1.0000000E+000, 2.6151239E+002
 9.8475522E-001, 6.7107411E-001, 2.8383908E-003, 1.3877788E-017, 1.0000000E+000, 2.6363544E+002
 1.0255182E+000, 7.2679070E-001, 2.9868973E-003, 1.3877788E-017, 1.0000000E+000, 2.6490738E+002
 1.0662811E+000, 7.6363977E-001, 3.1351920E-003, 1.1102230E-016, 1.0000000E+000, 2.6616394E+002
 1.1026088E+000, 7.7531793E-001, 3.2935995E-003, 5.5511151E-017, 1.0000000E+000, 2.6826639E+002
 1.1389365E+000, 8.1523528E-001, 3.4910323E-003, 2.7755576E-017, 1.0000000E+000, 2.6952567E+002
 1.1752642E+000, 8.3381743E-001, 3.7070866E-003, 2.7755576E-017, 1.0000000E+000, 2.7077887E+002
 1.2115920E+000, 8.4808015E-001, 3.9505793E-003, 1.1102230E-016, 1.0000000E+000, 2.7206824E+002
 1.2479197E+000, 8.5875408E-001, 4.2395572E-003, 5.5511151E-017, 1.0000000E+000, 2.7333194E+002
 1.2801827E+000, 8.5204520E-001, 4.5847168E-003, 5.5511151E-017, 1.0000000E+000, 2.7540927E+002
 1.3124457E+000, 8.6827891E-001, 4.9886850E-003, 5.5511151E-017, 1.0000000E+000, 2.7667499E+002
 1.3447087E+000, 8.7321128E-001, 5.4864888E-003, 2.2204460E-016, 2.0000000E+000, 2.7836087E+002
 1.3769717E+000, 8.7929109E-001, 6.0707390E-003, 1.1102230E-016, 2.0000000E+000, 2.8002744E+002
 1.4092348E+000, 8.8551918E-001, 6.7528781E-003, 4.4408921E-016, 3.0000000E+000, 2.8209827E+002
 1.4414978E+000, 8.9182101E-001, 7.6026744E-003, 8.8817842E-016, 3.0000000E+000, 2.8417905E+002
 1.4737608E+000, 8.9742546E-001, 8.6877881E-003, 1.1102230E-016, 3.0000000E+000, 2.8625687E+002
 1.5060238E+000, 9.0261522E-001, 1.0043298E-002, 1.1102230E-016, 3.0000000E+000, 2.8832990E+002
 1.5705499E+000, 9.0965727E-001, 1.2812933E-002, 2.4980018E-016, 3.0000000E+000, 2.9145049E+002
 1.6350759E+000, 9.1840766E-001, 1.8538369E-002, 2.4980018E-016, 3.0000000E+000, 2.9560248E+002
 1.6996019E+000, 9.2844478E-001, 2.9146565E-002, 2.4980018E-016, 3.0000000E+000, 2.9974703E+002
 1.7641280E+000, 9.3950970E-001, 4.6725409E-002, 4.4408921E-016, 2.5000000E+000, 3.0368858E+002
 1.8318803E+000, 9.5022252E-001, 7.1839824E-002, 6.5556026E-016, 2.4285714E+000, 3.0765970E+002
 1.8673696E+000, 9.5566041E-001, 9.0264436E-002, 8.8817842E-016, 1.0000000E+000, 3.0952683E+002
 1.9383483E+000, 9.5947504E-001, 1.0863789E-001, 3.3306691E-016, 1.0000000E+000, 3.1140917E+002
 2.0093269E+000, 9.6393127E-001, 1.3357427E-001, 2.7755576E-016, 1.0000000E+000, 3.1391968E+002
 2.0448162E+000, 9.6731013E-001, 1.5152976E-001, 4.4408921E-016, 1.0000000E+000, 3.1584870E+002
 2.1228927E+000, 9.7092967E-001, 1.7146737E-001, 6.6613381E-016, 1.0000000E+000, 3.1775356E+002
 2.1619310E+000, 9.7224328E-001, 1.8885559E-001, 4.4408921E-016, 1.0000000E+000, 3.1966062E+002
 2.2400075E+000, 9.7366008E-001, 2.0158189E-001, 4.4408921E-016, 1.0000000E+000, 3.2158658E+002
 2.3219878E+000, 9.7694100E-001, 2.1032949E-001, 4.4408921E-016, 1.0000000E+000, 3.2414028E+002
 2.3649299E+000, 9.8333836E-001, 1.9855707E-001, 4.4408921E-016, 1.0000000E+000, 3.2599802E+002
 2.4078720E+000, 9.8779288E-001, 1.9464959E-001, 8.8817842E-016, 1.0000000E+000, 3.2725754E+002
 2.4937561E+000, 9.9397594E-001, 1.8463621E-001, 4.4408921E-016, 1.0000000E+000, 3.2915233E+002
 2.5366982E+000, 9.9669980E-001, 1.7063648E-001, 4.4408921E-016, 1.0000000E+000, 3.3104965E+002
 2.6225823E+000, 9.9479181E-001, 1.6174351E-001, 3.3306691E-016, 1.0000000E+000, 3.3293678E+002
 2.6655244E+000, 9.9023128E-001, 1.7653608E-001, 4.4408921E-016, 1.0000000E+000, 3.3482556E+002
 2.7084665E+000, 9.8699646E-001, 1.8973187E-001, 4.4408921E-016, 1.0000000E+000, 3.3608347E+002
 2.7943506E+000, 9.8444607E-001, 1.9508031E-001, 3.3306691E-016, 1.0000000E+000, 3.3797594E+002
 2.8372927E+000, 9.8512214E-001, 1.9480187E-001, 4.4408921E-016, 1.0000000E+000, 3.3989597E+002
 2.8802348E+000, 9.8723411E-001, 1.9093948E-001, 4.4408921E-016, 1.0000000E+000, 3.4118033E+002
 2.9661189E+000, 9.9377324E-001, 1.9915486E-001, 4.4408921E-016, 1.0000000E+000, 3.4307494E+002
 3.0133552E+000, 9.9991815E-001, 2.0210344E-001, 4.4408921E-016, 1.0000000E+000, 3.4496408E+002
 3.0605915E+000, 1.0026786E+000, 2.0011520E-001, 4.4408921E-016, 1.0000000E+000, 3.4622290E+002
 3.1550641E+000, 1.0026147E+000, 1.9213694E-001, 3.3306691E-016, 1.0000000E+000, 3.4811069E+002
 3.2023004E+000, 9.9988508E-001, 1.8812658E-001, 4.4408921E-016, 1.0000000E+000, 3.5000104E+002
 3.2495367E+000, 9.9698710E-001, 1.8652122E-001, 4.4408921E-016, 1.0000000E+000, 3.5126459E+002
 3.3440092E+000, 9.9377362E-001, 1.8346189E-001, 3.3306691E-016, 1.0000000E+000, 3.5315537E+002
 3.3912455E+000, 9.9263422E-001, 1.7840712E-001, 4.4408921E-016, 1.0000000E+000, 3.5504508E+002
 3.4384818E+000, 9.9314474E-001, 1.7257998E-001, 4.4408921E-016, 1.0000000E+000, 3.5630747E+002
 3.4857181E+000, 9.9438371E-001, 1.6429682E-001, 4.4408921E-016, 1.0000000E+000, 3.5757938E+002
 3.5801906E+000, 9.9765221E-001, 1.4863720E-001, 4.4408921E-016, 1.0000000E+000, 3.5947330E+002
 3.6274269E+000, 1.0011248E+000, 1.3545842E-001, 4.4408921E-016, 1.0000000E+000, 3.6136243E+002
 3.6746632E+000, 1.0021557E+000, 1.2611369E-001, 4.4408921E-016, 1.0000000E+000, 3.6262741E+002
 3.7218995E+000, 1.0022092E+000, 1.1606773E-001, 2.2204460E-016, 1.0000000E+000, 3.6391754E+002
 3.8163721E+000, 1.0012052E+000, 1.0365318E-001, 3.3306691E-016, 1.0000000E+000, 3.6581210E+002
 3.8636083E+000, 9.9984211E-001, 9.5898627E-002, 4.4408921E-016, 1.0000000E+000, 3.6770627E+002
 3.9108446E+000, 9.9912763E-001, 9.2367961E-002, 2.2204460E-016, 1.0000000E+000, 3.6896866E+002
 4.0053172E+000, 9.9834465E-001, 8.7939421E-002, 4.4408921E-016, 1.0000000E+000, 3.7089453E+002
 4.0525535E+000, 9.9860116E-001, 8.5875249E-002, 4.4408921E-016, 1.0000000E+000, 3.7278439E+002
 4.0997898E+000, 9.9881783E-001, 8.4644890E-002, 4.4408921E-016, 1.0000000E+000, 3.7404514E+002
 4.1470261E+000, 9.9926906E-001, 8.2976178E-002, 4.4408921E-016, 1.0000000E+000, 3.7531070E+002
 4.2414986E+000, 1.0002151E+000, 8.1723536E-002, 4.4408921E-016, 1.0000000E+000, 3.7720242E+002
 4.2887349E+000, 1.0010312E+000, 8.5150315E-002, 4.4408921E-016, 2.0000000E+000, 3.7950430E+002
 4.3359712E+000, 1.0044940E+000, 8.5348190E-002, 4.4408921E-016, 2.0000000E+000, 3.8125430E+002
 4.3832075E+000, 1.0059430E+000, 8.5043203E-002, 4.4408921E-016, 2.0000000E+000, 3.8295722E+002
 4.4776800E+000, 1.0049388E+000, 8.4947236E-002, 4.4408921E-016, 2.0000000E+000, 3.8546715E+002
 4.5249163E+000, 1.0019689E+000, 8.5610125E-002, 4.4408921E-016, 2.0000000E+000, 3.8797257E+002
