s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2474023E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2474023E-018, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000,-1.1901591E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1901591E-016, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000, 1.9870106E-013,-6.5670219E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4517524E-011, 1.9804435E-013, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000, 1.9271340E-013,-1.1039345E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3050234E-011, 1.8167406E-013, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000, 2.1031354E-013,-3.2009075E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2584572E-011, 1.7830447E-013, 0.0000000E+000, 0.0000000E+000
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000, 1.6878410E-013,-5.9129643E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5133992E-011, 1.0965445E-013, 0.0000000E+000, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000, 0.0000000E+000, 1.5280044E-013,-9.0938992E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8859282E-011, 6.1861447E-014, 0.0000000E+000, 0.0000000E+000
 8.7500000E-001, 0.0000000E+000, 0.0000000E+000, 1.8285817E-013,-1.2194927E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0710210E-011, 6.0908907E-014, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6483881E-013,-1.5164711E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5460564E-012, 1.3191701E-014, 0.0000000E+000, 0.0000000E+000
 1.1250000E+000, 0.0000000E+000, 0.0000000E+000, 1.4976820E-013,-1.8143917E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9849193E-012,-3.1670972E-014, 0.0000000E+000, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000, 1.3891110E-013,-2.0541731E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2107193E-011,-6.6506203E-014, 0.0000000E+000, 0.0000000E+000
 1.3750000E+000, 0.0000000E+000, 0.0000000E+000, 1.1988277E-013,-2.2729743E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1490725E-012,-1.0741466E-013, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2740031E-013,-2.4510758E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5460564E-012,-1.1770726E-013, 0.0000000E+000, 0.0000000E+000
 1.6250000E+000, 0.0000000E+000, 0.0000000E+000, 1.2397550E-013,-2.6087924E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9849193E-013,-1.3690374E-013, 0.0000000E+000, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000, 0.0000000E+000, 1.2312285E-013,-2.7573799E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7520887E-012,-1.5261515E-013, 0.0000000E+000, 0.0000000E+000
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000, 1.1084467E-013,-2.8827403E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6566129E-012,-1.7742936E-013, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3082513E-013,-2.9945709E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2864274E-012,-1.6863196E-013, 0.0000000E+000, 0.0000000E+000
 2.1250000E+000, 0.0000000E+000, 0.0000000E+000, 1.0493295E-013,-3.0807227E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4924597E-012,-2.0313932E-013, 0.0000000E+000, 0.0000000E+000
 2.2500000E+000, 0.0000000E+000, 0.0000000E+000, 1.0709300E-013,-3.1627958E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6566129E-012,-2.0918658E-013, 0.0000000E+000, 0.0000000E+000
 2.3620529E+000, 0.0000000E+000, 0.0000000E+000, 1.0606982E-013,-3.2185357E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5583961E-012,-2.1578375E-013, 0.0000000E+000, 0.0000000E+000
 2.4741061E+000, 0.0000000E+000, 0.0000000E+000, 1.1129941E-013,-3.2607351E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3375941E-012,-2.1477409E-013, 0.0000000E+000, 0.0000000E+000
 2.5861590E+000, 0.0000000E+000, 0.0000000E+000, 1.0618351E-013,-3.3087916E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7919805E-012,-2.2469566E-013, 0.0000000E+000, 0.0000000E+000
 2.6982121E+000, 0.0000000E+000, 0.0000000E+000, 1.0163603E-013,-3.3423554E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4154556E-012,-2.3259951E-013, 0.0000000E+000, 0.0000000E+000
