,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T13:30:41.275+01:00,   0.125E+00,   0.12500,   1.30532
      2,2020-10-28T13:30:41.306+01:00,   0.125E+00,   0.25000,   1.36646
      3,2020-10-28T13:30:41.360+01:00,   0.125E+00,   0.37500,   1.45402
      4,2020-10-28T13:30:41.405+01:00,   0.125E+00,   0.50000,   1.54135
      5,2020-10-28T13:30:41.435+01:00,   0.125E+00,   0.62500,   1.60151
      6,2020-10-28T13:30:41.466+01:00,   0.125E+00,   0.75000,   1.66176
      7,2020-10-28T13:30:41.496+01:00,   0.125E+00,   0.87500,   1.72148
      8,2020-10-28T13:30:41.526+01:00,   0.125E+00,   1.00000,   1.78139
      9,2020-10-28T13:30:41.557+01:00,   0.125E+00,   1.12500,   1.84107
     10,2020-10-28T13:30:41.587+01:00,   0.125E+00,   1.25000,   1.90067
     20,2020-10-28T13:30:41.922+01:00,   0.112E+00,   2.47411,   2.54068
     30,2020-10-28T13:30:42.254+01:00,   0.993E-01,   3.58186,   3.17568
     40,2020-10-28T13:30:42.564+01:00,   0.993E-01,   4.57462,   3.77887
     50,2020-10-28T13:30:42.894+01:00,   0.993E-01,   5.56738,   4.40490
     60,2020-10-28T13:30:43.220+01:00,   0.993E-01,   6.56015,   5.02826
     70,2020-10-28T13:30:43.565+01:00,   0.889E-01,   7.46968,   5.68807
     80,2020-10-28T13:30:43.874+01:00,   0.889E-01,   8.35841,   6.29091
     90,2020-10-28T13:30:44.195+01:00,   0.889E-01,   9.24713,   6.90657
    100,2020-10-28T13:30:44.540+01:00,   0.889E-01,  10.13586,   7.54964
    200,2020-10-28T13:30:48.108+01:00,   0.889E-01,  19.02313,  14.23140
    300,2020-10-28T13:30:54.493+01:00,   0.889E-01,  27.91040,  26.33501
    400,2020-10-28T13:31:02.242+01:00,   0.889E-01,  36.79766,  40.69229
    500,2020-10-28T13:31:10.023+01:00,   0.799E-01,  44.96892,  55.15715
    600,2020-10-28T13:31:17.589+01:00,   0.799E-01,  52.96118,  68.99570
    689,2020-10-28T13:31:25.720+01:00,   0.564E-02,  60.00000,  84.06124
