,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T13:27:18.830+01:00,   0.125E+00,   0.12500,   1.06320
      2,2020-10-28T13:27:21.027+01:00,   0.125E+00,   0.25000,   5.45162
      3,2020-10-28T13:27:23.282+01:00,   0.125E+00,   0.37500,   9.92363
      4,2020-10-28T13:27:25.483+01:00,   0.125E+00,   0.50000,  14.31982
      5,2020-10-28T13:27:27.837+01:00,   0.125E+00,   0.62500,  18.91582
      6,2020-10-28T13:27:30.031+01:00,   0.125E+00,   0.75000,  23.29745
      7,2020-10-28T13:27:32.232+01:00,   0.125E+00,   0.87500,  27.69462
      8,2020-10-28T13:27:34.431+01:00,   0.125E+00,   1.00000,  32.08668
      9,2020-10-28T13:27:36.621+01:00,   0.125E+00,   1.12500,  36.46012
     10,2020-10-28T13:27:38.831+01:00,   0.125E+00,   1.25000,  40.87435
     20,2020-10-28T13:27:42.404+01:00,   0.112E+00,   2.47411,  47.97996
     30,2020-10-28T13:27:44.943+01:00,   0.993E-01,   3.58186,  53.01658
     40,2020-10-28T13:27:47.308+01:00,   0.993E-01,   4.57462,  57.73092
     50,2020-10-28T13:27:49.723+01:00,   0.993E-01,   5.56738,  62.53206
     60,2020-10-28T13:27:52.079+01:00,   0.993E-01,   6.56015,  67.20797
     70,2020-10-28T13:27:54.542+01:00,   0.889E-01,   7.46968,  72.10359
     80,2020-10-28T13:27:57.022+01:00,   0.889E-01,   8.35841,  76.98786
     90,2020-10-28T13:27:59.401+01:00,   0.889E-01,   9.24713,  81.71333
    100,2020-10-28T13:28:01.808+01:00,   0.889E-01,  10.13586,  86.46563
    200,2020-10-28T13:28:25.999+01:00,   0.889E-01,  19.02313, 134.46287
    300,2020-10-28T13:28:51.701+01:00,   0.889E-01,  27.91040, 184.80930
    400,2020-10-28T13:29:18.050+01:00,   0.889E-01,  36.79766, 236.66220
    500,2020-10-28T13:29:44.161+01:00,   0.799E-01,  44.96892, 287.76027
    600,2020-10-28T13:30:09.351+01:00,   0.799E-01,  52.96118, 337.25667
    689,2020-10-28T13:30:32.501+01:00,   0.564E-02,  60.00000, 382.88561
