s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3947177E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3947177E-018, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000,-1.4535595E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4535595E-016, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000, 2.0656810E-013,-1.0123674E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1292286E-010, 2.0555573E-013, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000, 2.0662938E-013,-1.2967577E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8160790E-011, 1.9366180E-013, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000, 2.0644819E-013,-3.5386920E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7229468E-011, 1.7106127E-013, 0.0000000E+000, 0.0000000E+000
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000, 1.9818103E-013,-6.3232379E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0244548E-011, 1.3494865E-013, 0.0000000E+000, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000, 0.0000000E+000, 1.8988011E-013,-9.5884555E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8160790E-011, 9.3995557E-014, 0.0000000E+000, 0.0000000E+000
 8.7500000E-001, 0.0000000E+000, 0.0000000E+000, 1.6975932E-013,-1.2826733E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5599653E-011, 4.1491986E-014, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6451729E-013,-1.5916640E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5460564E-012, 5.3508869E-015, 0.0000000E+000, 0.0000000E+000
 1.1250000E+000, 0.0000000E+000, 0.0000000E+000, 1.4990320E-013,-1.8669382E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3132257E-012,-3.6790619E-014, 0.0000000E+000, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000, 1.2717116E-013,-2.0986889E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0011718E-011,-8.2697729E-014, 0.0000000E+000, 0.0000000E+000
 1.3750000E+000, 0.0000000E+000, 0.0000000E+000, 1.1819523E-013,-2.3190654E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0803951E-012,-1.1371131E-013, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2498180E-013,-2.4880243E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4237822E-012,-1.2382063E-013, 0.0000000E+000, 0.0000000E+000
 1.6250000E+000, 0.0000000E+000, 0.0000000E+000, 1.1531309E-013,-2.6384142E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9162419E-012,-1.4852833E-013, 0.0000000E+000, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000, 0.0000000E+000, 1.0605028E-013,-2.7803752E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7198724E-013, 0.0000000E+000, 0.0000000E+000
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000, 9.9740660E-014,-2.9007993E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2177500E-012,-1.9033927E-013, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2200019E-013,-3.0118774E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4505806E-012,-1.7918755E-013, 0.0000000E+000, 0.0000000E+000
 2.1250000E+000, 0.0000000E+000, 0.0000000E+000, 9.6555652E-014,-3.1140850E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7252903E-012,-2.1485284E-013, 0.0000000E+000, 0.0000000E+000
 2.2500000E+000, 0.0000000E+000, 0.0000000E+000, 1.0301449E-013,-3.2010047E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4237822E-012,-2.1708599E-013, 0.0000000E+000, 0.0000000E+000
 2.3620529E+000, 0.0000000E+000, 0.0000000E+000, 8.8386139E-014,-3.2457568E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8570595E-012,-2.3618954E-013, 0.0000000E+000, 0.0000000E+000
 2.4741061E+000, 0.0000000E+000, 0.0000000E+000, 1.1615342E-013,-3.2815226E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4154556E-012,-2.1199884E-013, 0.0000000E+000, 0.0000000E+000
 2.5861590E+000, 0.0000000E+000, 0.0000000E+000, 9.7355096E-014,-3.3326148E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0778615E-012,-2.3590639E-013, 0.0000000E+000, 0.0000000E+000
 2.6982121E+000, 0.0000000E+000, 0.0000000E+000, 9.3559126E-014,-3.3594386E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7141190E-012,-2.4238474E-013, 0.0000000E+000, 0.0000000E+000
 2.8102651E+000, 0.0000000E+000, 0.0000000E+000, 8.9258906E-014,-3.3812405E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1946536E-012,-2.4886515E-013, 0.0000000E+000, 0.0000000E+000
 2.9223180E+000, 0.0000000E+000, 0.0000000E+000, 9.7726577E-014,-3.3908789E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8570595E-012,-2.4136132E-013, 0.0000000E+000, 0.0000000E+000
 3.0343711E+000, 0.0000000E+000, 0.0000000E+000, 1.0302099E-013,-3.4049470E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3375941E-012,-2.3747371E-013, 0.0000000E+000, 0.0000000E+000
 3.1464241E+000, 0.0000000E+000, 0.0000000E+000, 9.8236870E-014,-3.4051294E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7919805E-013,-2.4227607E-013, 0.0000000E+000, 0.0000000E+000
 3.2584772E+000, 0.0000000E+000, 0.0000000E+000, 1.0856897E-013,-3.4245702E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5583961E-012,-2.3388805E-013, 0.0000000E+000, 0.0000000E+000
 3.3705301E+000, 0.0000000E+000, 0.0000000E+000, 1.2187269E-013,-3.4357516E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7919805E-013,-2.2170246E-013, 0.0000000E+000, 0.0000000E+000
 3.4825833E+000, 0.0000000E+000, 0.0000000E+000, 1.0793388E-013,-3.4609212E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0778615E-012,-2.3815823E-013, 0.0000000E+000, 0.0000000E+000
 3.5818594E+000, 0.0000000E+000, 0.0000000E+000, 8.5864697E-014,-3.4807431E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9316017E-012,-2.6220961E-013, 0.0000000E+000, 0.0000000E+000
 3.6811357E+000, 0.0000000E+000, 0.0000000E+000, 8.4198606E-014,-3.4971210E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0521212E-012,-2.6551349E-013, 0.0000000E+000, 0.0000000E+000
 3.7804117E+000, 0.0000000E+000, 0.0000000E+000, 5.8547743E-014,-3.5204341E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4658009E-012,-2.9349566E-013, 0.0000000E+000, 0.0000000E+000
 3.8796880E+000, 0.0000000E+000, 0.0000000E+000, 3.6003561E-014,-3.5465550E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2247619E-012,-3.1865194E-013, 0.0000000E+000, 0.0000000E+000
 3.9789643E+000, 0.0000000E+000, 0.0000000E+000, 4.8585302E-015,-3.5756763E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7948052E-013,-3.5270910E-013, 0.0000000E+000, 0.0000000E+000
 4.0782404E+000, 0.0000000E+000, 0.0000000E+000,-3.2150380E-014,-3.6083945E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7589610E-012,-3.9298983E-013, 0.0000000E+000, 0.0000000E+000
 4.1775165E+000, 0.0000000E+000, 0.0000000E+000,-7.2384404E-014,-3.6404169E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8632035E-013,-4.3642609E-013, 0.0000000E+000, 0.0000000E+000
 4.2767930E+000, 0.0000000E+000, 0.0000000E+000,-1.0538081E-013,-3.6702608E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7948052E-013,-4.7240689E-013, 0.0000000E+000, 0.0000000E+000
 4.3760691E+000, 0.0000000E+000, 0.0000000E+000,-1.4127787E-013,-3.7055669E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9316017E-012,-5.1183456E-013, 0.0000000E+000, 0.0000000E+000
 4.4753451E+000, 0.0000000E+000, 0.0000000E+000,-1.9631530E-013,-3.7436744E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4658009E-012,-5.7068274E-013, 0.0000000E+000, 0.0000000E+000
 4.5746217E+000, 0.0000000E+000, 0.0000000E+000,-2.0913828E-013,-3.7842547E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2247619E-012,-5.8756375E-013, 0.0000000E+000, 0.0000000E+000
 4.6738977E+000, 0.0000000E+000, 0.0000000E+000,-2.4086615E-013,-3.8280129E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4670418E-029,-6.2366745E-013, 0.0000000E+000, 0.0000000E+000
 4.7731738E+000, 0.0000000E+000, 0.0000000E+000,-2.5250951E-013,-3.8712691E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0521212E-012,-6.3963642E-013, 0.0000000E+000, 0.0000000E+000
 4.8724499E+000, 0.0000000E+000, 0.0000000E+000,-2.3477539E-013,-3.9211697E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6384416E-012,-6.2689237E-013, 0.0000000E+000, 0.0000000E+000
 4.9717264E+000, 0.0000000E+000, 0.0000000E+000,-2.4188072E-013,-3.9767904E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2247619E-012,-6.3955976E-013, 0.0000000E+000, 0.0000000E+000
 5.0710025E+000, 0.0000000E+000, 0.0000000E+000,-2.4125778E-013,-4.0331826E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9316017E-012,-6.4457604E-013, 0.0000000E+000, 0.0000000E+000
 5.1702785E+000, 0.0000000E+000, 0.0000000E+000,-2.5687630E-013,-4.0922004E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4814770E-029,-6.6609634E-013, 0.0000000E+000, 0.0000000E+000
 5.2695551E+000, 0.0000000E+000, 0.0000000E+000,-2.6912910E-013,-4.1592299E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4658009E-012,-6.8505209E-013, 0.0000000E+000, 0.0000000E+000
 5.3688312E+000, 0.0000000E+000, 0.0000000E+000,-2.7802147E-013,-4.2283126E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9316017E-012,-7.0085273E-013, 0.0000000E+000, 0.0000000E+000
 5.4681072E+000, 0.0000000E+000, 0.0000000E+000,-2.9220034E-013,-4.2995520E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7589610E-012,-7.2215554E-013, 0.0000000E+000, 0.0000000E+000
 5.5673838E+000, 0.0000000E+000, 0.0000000E+000,-3.2775600E-013,-4.3638349E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7948052E-013,-7.6413950E-013, 0.0000000E+000, 0.0000000E+000
