s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000, 9.7781999E-001
 1.2500000E-001, 0.0000000E+000, 1.9784634E-003, 4.3368087E-019, 1.0000000E+000, 2.3458310E+000
 2.5000000E-001, 1.2435300E-001, 1.2435300E-001, 2.7755576E-017, 1.0000000E+001, 1.0693725E+001
 3.7500000E-001, 2.4491866E-001, 2.4491866E-001, 5.5511151E-017, 1.0000000E+001, 1.9005557E+001
 5.0000000E-001, 3.5835740E-001, 3.5835740E-001, 5.5511151E-017, 1.0000000E+001, 2.7315648E+001
 6.2500000E-001, 4.6211716E-001, 4.6211716E-001, 5.5511151E-017, 1.0000000E+001, 3.5618012E+001
 7.5000000E-001, 5.5459972E-001, 5.5459972E-001, 1.1102230E-016, 1.0000000E+001, 4.3921609E+001
 8.7500000E-001, 6.3514895E-001, 6.3514895E-001, 1.1102230E-016, 1.0000000E+001, 5.2236219E+001
 1.0000000E+000, 7.0390560E-001, 7.0390560E-001, 1.1102230E-016, 1.0000000E+001, 6.0554330E+001
 1.1250000E+000, 7.6159416E-001, 7.6159416E-001, 1.1102230E-016, 1.0000000E+001, 6.8880128E+001
 1.2500000E+000, 8.0930107E-001, 8.0930107E-001, 1.1102230E-016, 1.0000000E+001, 7.7178178E+001
 1.3750000E+000, 8.4828364E-001, 8.4828364E-001, 1.1102230E-016, 4.0000000E+000, 8.0965280E+001
 1.5000000E+000, 8.7982670E-001, 8.7982670E-001, 1.1102230E-016, 4.0000000E+000, 8.3624414E+001
 1.6250000E+000, 9.0514825E-001, 9.0514825E-001, 1.1102230E-016, 1.0000000E+000, 8.5156976E+001
 1.7500000E+000, 9.2534623E-001, 9.2534623E-001, 1.1102230E-016, 1.0000000E+000, 8.6703828E+001
 1.8750000E+000, 9.4137554E-001, 9.4137554E-001, 2.2204460E-016, 1.0000000E+000, 8.8246697E+001
 2.0000000E+000, 9.5404526E-001, 9.5404526E-001, 1.1102230E-016, 1.0000000E+000, 8.9792672E+001
 2.1250000E+000, 9.6402758E-001, 9.6402758E-001, 2.2204460E-016, 1.0000000E+000, 9.1333772E+001
 2.2500000E+000, 9.7187275E-001, 9.7187275E-001, 2.2204460E-016, 1.0000000E+000, 9.2877076E+001
 2.3620530E+000, 9.7187275E-001, 9.7187275E-001, 1.1102230E-016, 1.0000000E+000, 9.4919038E+001
 2.4741060E+000, 9.8239898E-001, 9.8239898E-001, 2.2204460E-016, 1.0000000E+000, 9.6469827E+001
 2.5861590E+000, 9.8590783E-001, 9.8590783E-001, 1.1102230E-016, 1.0000000E+000, 9.8014115E+001
 2.6982121E+000, 9.8872115E-001, 9.8872115E-001, 2.2204460E-016, 1.0000000E+000, 9.9569596E+001
 2.8102651E+000, 9.9097539E-001, 9.9097539E-001, 2.2204460E-016, 1.0000000E+000, 1.0111698E+002
 2.9223181E+000, 9.9278071E-001, 9.9278071E-001, 2.2204460E-016, 1.0000000E+000, 1.0267254E+002
 3.0343711E+000, 9.9422594E-001, 9.9422594E-001, 2.2204460E-016, 1.0000000E+000, 1.0422732E+002
 3.1464241E+000, 9.9538252E-001, 9.9538252E-001, 2.2204460E-016, 1.0000000E+000, 1.0578093E+002
 3.2584771E+000, 9.9630786E-001, 9.9630786E-001, 2.2204460E-016, 1.0000000E+000, 1.0733386E+002
