s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 1.6699519E-001, 6.9369864E-002, 1.5916780E+001, 2.7755576E-017, 1.0000000E+001, 2.4000000E+001, 2.6207873E-001, 1.8883190E-009
 4.0000000E-003, 1.4275408E-001, 8.3547586E-002,-3.2813487E+000, 0.0000000E+000, 1.0000000E+000, 2.3000000E+001, 2.6312744E-001, 4.4637097E-009
 6.0000000E-003, 1.5008654E-001, 8.7712484E-002,-8.6153498E-001, 2.7755576E-017, 1.0000000E+000, 2.2000000E+001, 2.6480954E-001, 5.9808765E-009
 8.0000000E-003, 1.6489157E-001, 8.9451473E-002, 7.6049757E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6150966E-001, 6.4815452E-009
 1.0000000E-002, 1.7432278E-001, 9.1225519E-002, 1.9009013E+000, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6152965E-001, 3.6425743E-009
 1.2000000E-002, 1.7721089E-001, 9.3862005E-002, 2.4115238E+000, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6136332E-001, 4.4711673E-009
 1.4000000E-002, 1.7729682E-001, 9.7367343E-002, 2.2828671E+000, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6117861E-001, 4.1612269E-009
 1.6000000E-002, 1.7626505E-001, 1.0141269E-001, 1.6761143E+000, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6087226E-001, 2.9270617E-009
 1.8000000E-002, 1.7359052E-001, 1.0560528E-001, 8.1721047E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6111995E-001, 5.0868121E-009
 2.0000000E-002, 1.6921515E-001, 1.0959170E-001,-6.4286543E-002, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6604470E-001, 4.3476931E-009
 2.2000000E-002, 1.6459424E-001, 1.1309691E-001,-7.6762083E-001, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6256059E-001, 2.4316544E-009
 2.4000000E-002, 1.6187401E-001, 1.1597592E-001,-1.1540910E+000, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6218635E-001, 3.3059704E-009
 2.6000000E-002, 1.6265280E-001, 1.1827433E-001,-1.1710387E+000, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6198228E-001, 3.3772656E-009
 2.8000000E-002, 1.6726397E-001, 1.2024256E-001,-8.5291451E-001, 5.5511151E-017, 1.0000000E+000, 2.3000000E+001, 2.6165688E-001, 2.6702534E-009
 3.0000000E-002, 1.7477606E-001, 1.2225860E-001,-3.0325597E-001, 1.3877788E-017, 1.0000000E+000, 2.2000000E+001, 2.6044006E-001, 5.3143799E-009
 3.2000000E-002, 1.8351541E-001, 1.2467745E-001, 3.3290611E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6980042E-001, 9.0391671E-009
 3.4000000E-002, 1.9174558E-001, 1.2768125E-001, 9.0146500E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6315853E-001, 4.8076249E-009
 3.6000000E-002, 1.9817411E-001, 1.3121286E-001, 1.2740779E+000, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6292533E-001, 8.2508904E-009
 3.8000000E-002, 2.0215678E-001, 1.3502421E-001, 1.3783772E+000, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6248621E-001, 9.1962211E-009
 4.0000000E-002, 2.0367434E-001, 1.3880524E-001, 1.2135308E+000, 2.7755576E-017, 1.0000000E+000, 2.2000000E+001, 2.6171291E-001, 7.6615292E-009
 4.2000000E-002, 2.0321303E-001, 1.4232135E-001, 8.4516549E-001, 2.7755576E-017, 1.0000000E+000, 2.2000000E+001, 2.6083543E-001, 4.6678804E-009
 4.4000000E-002, 2.0161578E-001, 1.4549259E-001, 3.8209134E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6524812E-001, 2.2323153E-009
 4.6000000E-002, 1.9990007E-001, 1.4839276E-001,-5.5854627E-002, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6568670E-001, 3.4512311E-009
 4.8000000E-002, 1.9903521E-001, 1.5118772E-001,-3.6839058E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6243560E-001, 5.4635797E-009
 5.0000000E-002, 1.9971638E-001, 1.5405416E-001,-4.9610088E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.5955820E-001, 5.4291593E-009
 5.2000000E-002, 2.0120905E-001, 1.5667648E-001,-5.3304265E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.5800503E-001, 4.6224152E-009
 5.4000000E-002, 2.0448966E-001, 1.5944389E-001,-2.9807148E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.5698191E-001, 3.1886546E-009
 5.6000000E-002, 2.0887028E-001, 1.6238129E-001, 2.2753814E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6170776E-001, 8.9152755E-009
 5.8000000E-002, 2.1350411E-001, 1.6542797E-001, 3.5034564E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.7019401E-001, 4.5222298E-009
 6.0000000E-002, 2.1761118E-001, 1.6849931E-001, 6.0812611E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6174048E-001, 2.6960761E-009
 6.2000000E-002, 2.2066218E-001, 1.7152218E-001, 7.4327435E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6100319E-001, 3.8040626E-009
 6.4000000E-002, 2.2243246E-001, 1.7445805E-001, 7.3752473E-001, 2.7755576E-017, 1.0000000E+000, 2.2000000E+001, 2.6119654E-001, 4.0974085E-009
 6.6000000E-002, 2.2299079E-001, 1.7731130E-001, 6.0720620E-001, 1.1102230E-016, 1.0000000E+000, 2.2000000E+001, 2.6177579E-001, 3.4868748E-009
 6.8000000E-002, 2.2265788E-001, 1.8012200E-001, 3.9532627E-001, 2.7755576E-017, 1.0000000E+000, 2.2000000E+001, 2.6468176E-001, 2.4589953E-009
 7.0000000E-002, 2.2192068E-001, 1.8294822E-001, 1.5880560E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.7309083E-001, 4.7199690E-009
 7.2000000E-002, 2.2130873E-001, 1.8584460E-001,-4.5913434E-002, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6587454E-001, 2.6400391E-009
 7.4000000E-002, 2.2126791E-001, 1.8884486E-001,-1.7555079E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6348248E-001, 3.5366023E-009
 7.6000000E-002, 2.2206503E-001, 1.9195359E-001,-2.0831572E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6239681E-001, 3.7014263E-009
 7.8000000E-002, 2.2374402E-001, 1.9514859E-001,-1.4649653E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6261088E-001, 3.4137592E-009
 8.0000000E-002, 2.2613785E-001, 1.9839197E-001,-1.3526026E-002, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6358139E-001, 2.6026291E-009
 8.2000000E-002, 2.2892802E-001, 2.0164493E-001, 1.5329818E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6685211E-001, 5.7723361E-009
 8.4000000E-002, 2.3173252E-001, 2.0488117E-001, 3.1247154E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6228699E-001, 2.6047472E-009
 8.6000000E-002, 2.3419936E-001, 2.0809463E-001, 4.2811975E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6531133E-001, 7.6913433E-009
 8.8000000E-002, 2.3608367E-001, 2.1129954E-001, 4.7770417E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6370746E-001, 2.3582663E-009
 9.0000000E-002, 2.3729295E-001, 2.1452362E-001, 4.5600517E-001, 5.5511151E-017, 1.0000000E+000, 2.2000000E+001, 2.6435253E-001, 2.4160793E-009
 9.2000000E-002, 2.3789417E-001, 2.1779762E-001, 3.7476862E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6845022E-001, 9.1506104E-009
 9.4000000E-002, 2.3808383E-001, 2.2114490E-001, 2.5838220E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.7013809E-001, 4.7032844E-009
 9.6000000E-002, 2.3813112E-001, 2.2457476E-001, 1.3705361E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.7203110E-001, 5.5222611E-009
 9.8000000E-002, 2.3830929E-001, 2.2808206E-001, 3.9256922E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6842598E-001, 8.8615567E-009
 1.0000000E-001, 2.3883131E-001, 2.3165025E-001,-1.4693512E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6605422E-001, 9.9533072E-009
 1.0200000E-001, 2.3858999E-001, 2.3463426E-001,-1.4378811E-001, 1.1102230E-016, 1.0000000E+000, 2.2000000E+001, 2.6437596E-001, 2.4169635E-009
 1.0400000E-001, 2.3899087E-001, 2.3751650E-001,-8.7997010E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6656672E-001, 9.1803165E-009
 1.0600000E-001, 2.3980505E-001, 2.4037058E-001,-3.1938780E-003, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6727299E-001, 6.2847981E-009
 1.0800000E-001, 2.4076073E-001, 2.4322882E-001, 9.2686303E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6754714E-001, 2.6767985E-009
 1.1000000E-001, 2.4161233E-001, 2.4611670E-001, 1.7644619E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6807667E-001, 3.1591173E-009
 1.1200000E-001, 2.4220243E-001, 2.4905336E-001, 2.2956350E-001, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6868351E-001, 5.9169793E-009
 1.1400000E-001, 2.4244903E-001, 2.5205039E-001, 2.4307044E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6853484E-001, 6.8957403E-009
 1.1600000E-001, 2.4233207E-001, 2.5511162E-001, 2.1813880E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6886367E-001, 6.2907146E-009
 1.1800000E-001, 2.4190292E-001, 2.5823343E-001, 1.6439715E-001, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6915566E-001, 4.2581342E-009
 1.2000000E-001, 2.4128073E-001, 2.6140672E-001, 9.7024833E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.7038250E-001, 2.8070014E-009
 1.2200000E-001, 2.4061999E-001, 2.6462029E-001, 3.2819328E-002, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.7009194E-001, 4.5546993E-009
 1.2400000E-001, 2.4006637E-001, 2.6786494E-001,-1.3841982E-002, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6780091E-001, 5.8733239E-009
 1.2600000E-001, 2.3972001E-001, 2.7113666E-001,-3.4097820E-002, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6693890E-001, 6.5352929E-009
 1.2800000E-001, 2.3961596E-001, 2.7443771E-001,-2.6046637E-002, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6666359E-001, 6.2869587E-009
 1.3000000E-001, 2.3972316E-001, 2.7777510E-001, 5.5409096E-003, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6685742E-001, 5.2704616E-009
 1.3200000E-001, 2.3995962E-001, 2.8115745E-001, 5.0991324E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6830986E-001, 4.0479993E-009
 1.3400000E-001, 2.4021729E-001, 2.8459165E-001, 9.8401025E-002, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.7006317E-001, 2.8769844E-009
 1.3600000E-001, 2.4038956E-001, 2.8808088E-001, 1.3659015E-001, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6783082E-001, 2.3976059E-009
 1.3800000E-001, 2.4039456E-001, 2.9162451E-001, 1.5759188E-001, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6822556E-001, 3.1516823E-009
 1.4000000E-001, 2.4019068E-001, 2.9521945E-001, 1.5818427E-001, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6841892E-001, 3.4063860E-009
 1.4200000E-001, 2.3978141E-001, 2.9886207E-001, 1.4013714E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6859061E-001, 3.0621623E-009
 1.4400000E-001, 2.3921016E-001, 3.0254976E-001, 1.0930808E-001, 1.1102230E-016, 1.0000000E+000, 2.1000000E+001, 2.6964734E-001, 2.8560775E-009
 1.4600000E-001, 2.3854653E-001, 3.0628171E-001, 7.3882129E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.7090687E-001, 3.5950714E-009
 1.4800000E-001, 2.3786764E-001, 3.1005880E-001, 4.2246277E-002, 2.7755576E-017, 1.0000000E+000, 2.1000000E+001, 2.6990946E-001, 4.4384327E-009
 1.5000000E-001, 2.3723946E-001, 3.1388320E-001, 2.1081947E-002, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6879951E-001, 4.9735209E-009
 1.5200000E-001, 2.3544355E-001, 3.1704161E-001,-1.1824824E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6764056E-001, 4.7826468E-009
 1.5400000E-001, 2.3393307E-001, 3.2010847E-001,-1.0220168E-001, 5.5511151E-017, 1.0000000E+000, 2.1000000E+001, 2.6807839E-001, 4.5030457E-009
